"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"922.25","12.1875","3008 33B2 DDD9 0140 0000 0030","1.1167380135807468","-54.0","2021-04-10 15:13:57.524"
"922.25","-14.625","3008 33B2 DDD9 0140 0000 0030","1.1535535524900022","-53.5","2021-04-10 15:13:57.547"
"922.25","4.875","3008 33B2 DDD9 0140 0000 0030","1.141281706186917","-54.0","2021-04-10 15:13:57.606"
"922.25","26.8125","3008 33B2 DDD9 0140 0000 0030","1.0615147052168636","-54.0","2021-04-10 15:13:57.627"
"922.25","-1.5","E200 001D 1910 0116 1310 566E","5.307573526084319","-70.0","2021-04-10 15:13:57.639"
"908.25","2.125","E200 001D 1910 0118 1310 566F","5.375068680751287","-67.5","2021-04-10 15:13:57.659"
"908.25","-9.75","3008 33B2 DDD9 0140 0000 0030","5.105088062083414","-51.5","2021-04-10 15:13:57.71"
"908.25","0.25","E200 001D 1910 0116 1310 566E","6.043884304269426","-67.5","2021-04-10 15:13:57.722"
"908.25","1.25","E200 001D 1910 0118 1310 566F","5.381204603902829","-68.0","2021-04-10 15:13:57.736"
"908.25","0.25","E200 001D 1910 0120 1310 5670","5.221670601962723","-70.0","2021-04-10 15:13:57.745"
"908.25","-18.25","E200 001D 1910 0116 1310 566E","5.786175531904639","-67.0","2021-04-10 15:13:57.749"
"908.25","-9.75","3008 33B2 DDD9 0140 0000 0030","5.086680292628786","-51.5","2021-04-10 15:13:57.75"
"908.25","0.25","E200 001D 1910 0118 1310 566F","5.5284667595398505","-68.0","2021-04-10 15:13:57.766"
"908.25","-2.4375","3008 33B2 DDD9 0140 0000 0030","5.086680292628786","-51.5","2021-04-10 15:13:57.811"
"908.25","2.625","E200 001D 1910 0118 1310 566F","5.301437602932776","-68.5","2021-04-10 15:13:57.823"
"909.75","0.5625","E200 001D 1910 0116 1310 566E","5.252350217720435","-67.5","2021-04-10 15:13:57.862"
"909.75","0.0","3008 33B2 DDD9 0140 0000 0030","4.614214209960009","-52.0","2021-04-10 15:13:57.894"
"909.75","-0.8125","E200 001D 1910 0118 1310 566F","4.81056375080937","-67.5","2021-04-10 15:13:57.914"
"909.75","0.0625","E200 001D 1910 0116 1310 566E","5.246214294568893","-67.0","2021-04-10 15:13:57.925"
"909.75","-23.1875","E200 001D 1910 0116 1310 566E","5.516194913236766","-67.0","2021-04-10 15:13:57.966"
"909.75","2.4375","3008 33B2 DDD9 0140 0000 0030","4.583534594202296","-52.0","2021-04-10 15:13:57.968"
"909.75","0.0625","E200 001D 1910 0118 1310 566F","1.662835174068035","-67.0","2021-04-10 15:13:57.986"
"909.75","43.9375","E200 001D 1910 0116 1310 566E","5.21553467881118","-66.5","2021-04-10 15:13:58.001"
"909.75","-9.75","3008 33B2 DDD9 0140 0000 0030","4.651029748869264","-52.5","2021-04-10 15:13:58.002"
"909.75","0.4375","E200 001D 1910 0118 1310 566F","1.6689710972195777","-67.5","2021-04-10 15:13:58.032"
"922.75","35.375","3008 33B2 DDD9 0140 0000 0030","1.0185632431560658","-54.0","2021-04-10 15:13:58.114"
"922.75","1.75","E200 001D 1910 0118 1310 566F","5.393476450205914","-70.5","2021-04-10 15:13:58.13"
