"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"906.75","17.0625","3008 33B2 DDD9 0140 0000 0060","0.8651651643675016","-51.0","2021-04-10 16:18:59.153"
"906.75","-113.5","E200 001D 1910 0118 1310 566F","6.129787228391022","-65.5","2021-04-10 16:18:59.154"
"906.75","-89.0625","E200 001D 1910 0116 1310 566E","0.5276893910326605","-64.5","2021-04-10 16:18:59.155"
"906.75","4.875","3008 33B2 DDD9 0140 0000 0060","0.9142525495798421","-51.0","2021-04-10 16:18:59.178"
"906.75","-10.9375","E200 001D 1910 0116 1310 566E","0.2945243112740431","-64.5","2021-04-10 16:18:59.179"
"906.75","-2.4375","E200 001D 1910 0118 1310 566F","5.902758071783947","-67.0","2021-04-10 16:18:59.18"
"906.75","0.5","E200 001D 1910 0122 1310 5F19","2.84706834231575","-72.0","2021-04-10 16:18:59.196"
"906.75","62.25","E200 001D 1910 0116 1310 566E","0.1902136176978195","-65.5","2021-04-10 16:18:59.245"
"906.75","4.875","3008 33B2 DDD9 0140 0000 0060","0.9203884727313847","-51.0","2021-04-10 16:18:59.245"
"906.75","-30.5","E200 001D 1910 0118 1310 566F","5.872078456026235","-67.0","2021-04-10 16:18:59.247"
"907.75","-9.75","3008 33B2 DDD9 0140 0000 0060","0.6872233929727672","-51.5","2021-04-10 16:18:59.284"
"907.75","52.4375","E200 001D 1910 0116 1310 566E","5.896622148632405","-64.0","2021-04-10 16:18:59.285"
"907.75","-42.6875","E200 001D 1910 0118 1310 566F","5.540738605842936","-67.5","2021-04-10 16:18:59.286"
"907.75","-1.4375","E200 001D 1910 0120 1310 5670","5.399612373357457","-71.0","2021-04-10 16:18:59.3"
"907.75","-48.8125","E200 001D 1910 0116 1310 566E","6.037748381117884","-65.0","2021-04-10 16:18:59.349"
"907.75","-17.0625","3008 33B2 DDD9 0140 0000 0060","0.6504078540635119","-51.0","2021-04-10 16:18:59.35"
"907.75","113.5","E200 001D 1910 0118 1310 566F","5.062136600022616","-65.5","2021-04-10 16:18:59.351"
"907.75","0.875","E200 001D 1910 0120 1310 5670","5.141903600992669","-70.0","2021-04-10 16:18:59.362"
"907.75","-0.25","E200 001D 1910 0122 1310 5F19","5.577554144752192","-72.0","2021-04-10 16:18:59.377"
