"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"910.25","-13.375","E200 001D 1910 0116 1310 566E","3.074097498922825","-67.0","2021-04-10 17:00:01.146"
"910.25","7.3125","3008 33B2 DDD9 0140 0000 0020","4.933282213840222","-53.0","2021-04-10 17:00:01.149"
"910.25","17.0625","3008 33B2 DDD9 0140 0000 0020","4.9394181369917645","-52.5","2021-04-10 17:00:01.169"
"910.25","-124.5","E200 001D 1910 0116 1310 566E","3.067961575771282","-68.0","2021-04-10 17:00:01.171"
"910.25","2.4375","3008 33B2 DDD9 0140 0000 0020","4.945554060143307","-52.5","2021-04-10 17:00:01.224"
"910.25","34.125","E200 001D 1910 0116 1310 566E","3.2090878082567613","-67.0","2021-04-10 17:00:01.225"
"910.25","14.625","3008 33B2 DDD9 0140 0000 0020","4.945554060143307","-52.5","2021-04-10 17:00:01.247"
"910.25","75.625","E200 001D 1910 0116 1310 566E","2.724349879284899","-67.5","2021-04-10 17:00:01.247"
"910.25","4.875","3008 33B2 DDD9 0140 0000 0020","4.914874444385594","-52.5","2021-04-10 17:00:01.301"
"910.25","-28.0625","E200 001D 1910 0116 1310 566E","3.0372819600135696","-66.0","2021-04-10 17:00:01.301"
"910.25","89.0625","E200 001D 1910 0116 1310 566E","2.6568547246179306","-66.5","2021-04-10 17:00:01.323"
"910.25","20.75","3008 33B2 DDD9 0140 0000 0020","4.9394181369917645","-52.5","2021-04-10 17:00:01.324"
"923.75","9.75","3008 33B2 DDD9 0140 0000 0020","0.7731263170943632","-53.5","2021-04-10 17:00:01.402"
"923.75","4.875","3008 33B2 DDD9 0140 0000 0020","0.760854470791278","-53.5","2021-04-10 17:00:01.425"
"923.75","-7.3125","3008 33B2 DDD9 0140 0000 0020","0.8099418560036186","-53.5","2021-04-10 17:00:01.479"
"923.75","63.4375","3008 33B2 DDD9 0140 0000 0020","0.662679700366597","-53.5","2021-04-10 17:00:01.501"
"916.75","25.625","3008 33B2 DDD9 0140 0000 0020","2.84706834231575","-52.0","2021-04-10 17:00:01.554"
"916.75","20.75","3008 33B2 DDD9 0140 0000 0020","2.8532042654672924","-52.0","2021-04-10 17:00:01.581"
"916.75","19.5","3008 33B2 DDD9 0140 0000 0020","2.8532042654672924","-52.0","2021-04-10 17:00:01.633"
"916.75","19.5","3008 33B2 DDD9 0140 0000 0020","2.859340188618835","-52.0","2021-04-10 17:00:01.656"
"916.75","21.9375","3008 33B2 DDD9 0140 0000 0020","2.834796496012665","-52.0","2021-04-10 17:00:01.711"
"916.75","1.5625","E200 001D 1910 0116 1310 566E","5.203262832508095","-69.0","2021-04-10 17:00:01.726"
"916.75","19.5","3008 33B2 DDD9 0140 0000 0020","2.859340188618835","-52.0","2021-04-10 17:00:01.742"
"911.75","148.875","E200 001D 1910 0116 1310 566E","1.8775924843720249","-67.5","2021-04-10 17:00:01.754"
