"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"903.75","39.0625","3008 33B2 DDD9 0140 0000 0600","6.080699843178682","-55.5","2021-04-10 17:26:15.907"
"903.75","-14.625","3008 33B2 DDD9 0140 0000 0600","6.14819499784565","-55.5","2021-04-10 17:26:15.931"
"926.75","-2.4375","3008 33B2 DDD9 0140 0000 0600","0.7485826244881929","-50.5","2021-04-10 17:26:15.985"
"926.75","14.625","3008 33B2 DDD9 0140 0000 0600","0.7301748550335652","-50.5","2021-04-10 17:26:16.007"
"926.75","2.4375","3008 33B2 DDD9 0140 0000 0600","0.760854470791278","-50.5","2021-04-10 17:26:16.059"
"926.75","17.0625","3008 33B2 DDD9 0140 0000 0600","0.6933593161243098","-50.5","2021-04-10 17:26:16.082"
"926.75","29.25","3008 33B2 DDD9 0140 0000 0600","0.662679700366597","-50.5","2021-04-10 17:26:16.136"
"926.75","-2.4375","3008 33B2 DDD9 0140 0000 0600","0.7424467013366504","-50.5","2021-04-10 17:26:16.161"
"920.25","-36.5625","3008 33B2 DDD9 0140 0000 0600","2.5034566458293663","-53.0","2021-04-10 17:26:16.239"
"920.25","4.875","3008 33B2 DDD9 0140 0000 0600","2.454369260617026","-53.0","2021-04-10 17:26:16.262"
"920.25","46.375","3008 33B2 DDD9 0140 0000 0600","2.3623304133438876","-52.5","2021-04-10 17:26:16.316"
"920.25","24.375","3008 33B2 DDD9 0140 0000 0600","2.356194490192345","-52.5","2021-04-10 17:26:16.34"
"904.75","17.0625","3008 33B2 DDD9 0140 0000 0600","5.853670686571607","-55.0","2021-04-10 17:26:16.394"
"904.75","21.9375","3008 33B2 DDD9 0140 0000 0600","5.859806609723149","-55.0","2021-04-10 17:26:16.416"
"904.75","-4.875","3008 33B2 DDD9 0140 0000 0600","5.853670686571607","-55.5","2021-04-10 17:26:16.47"
"904.75","19.5","3008 33B2 DDD9 0140 0000 0600","5.841398840268521","-55.5","2021-04-10 17:26:16.493"
"904.75","-14.625","3008 33B2 DDD9 0140 0000 0600","5.902758071783947","-55.0","2021-04-10 17:26:16.544"
"904.75","-4.875","3008 33B2 DDD9 0140 0000 0600","5.9088939949354895","-55.5","2021-04-10 17:26:16.57"
"918.25","-9.75","3008 33B2 DDD9 0140 0000 0600","2.9636508821950587","-53.0","2021-04-10 17:26:16.645"
"918.25","23.1875","3008 33B2 DDD9 0140 0000 0600","2.9022916506796332","-53.5","2021-04-10 17:26:16.668"
"918.25","21.9375","3008 33B2 DDD9 0140 0000 0600","2.8838838812250054","-53.5","2021-04-10 17:26:16.721"
"918.25","17.0625","3008 33B2 DDD9 0140 0000 0600","2.9329712664373457","-53.5","2021-04-10 17:26:16.747"
"910.25","34.125","3008 33B2 DDD9 0140 0000 0600","4.669437518323892","-55.5","2021-04-10 17:26:16.8"
"910.25","2.4375","E200 001D 1910 0116 1310 566E","2.693670263527186","-67.5","2021-04-10 17:26:16.821"
"910.25","9.75","3008 33B2 DDD9 0140 0000 0600","4.7307967498393175","-55.0","2021-04-10 17:26:16.822"
"910.25","112.25","E200 001D 1910 0116 1310 566E","2.3009711818284617","-65.5","2021-04-10 17:26:16.876"
"910.25","26.8125","3008 33B2 DDD9 0140 0000 0600","4.71238898038469","-56.0","2021-04-10 17:26:16.876"
"910.25","2.4375","3008 33B2 DDD9 0140 0000 0600","4.700117134081604","-55.5","2021-04-10 17:26:16.898"
"910.25","20.75","E200 001D 1910 0116 1310 566E","2.356194490192345","-67.5","2021-04-10 17:26:16.899"
"910.25","9.75","3008 33B2 DDD9 0140 0000 0600","4.71238898038469","-55.0","2021-04-10 17:26:16.954"
"910.25","67.125","E200 001D 1910 0116 1310 566E","2.3439226438892597","-66.5","2021-04-10 17:26:16.954"
"910.25","29.25","3008 33B2 DDD9 0140 0000 0600","4.706253057233147","-55.5","2021-04-10 17:26:16.975"
"910.25","-145.25","E200 001D 1910 0116 1310 566E","2.834796496012665","-67.5","2021-04-10 17:26:16.977"
"923.75","-12.1875","3008 33B2 DDD9 0140 0000 0600","1.6198837120072371","-51.5","2021-04-10 17:26:17.052"
"923.75","20.75","3008 33B2 DDD9 0140 0000 0600","1.533980787885641","-51.5","2021-04-10 17:26:17.076"
"923.75","12.1875","3008 33B2 DDD9 0140 0000 0600","1.5155730184310134","-51.5","2021-04-10 17:26:17.129"
"923.75","7.3125","3008 33B2 DDD9 0140 0000 0600","1.521708941582556","-51.5","2021-04-10 17:26:17.151"
"916.75","2.4375","3008 33B2 DDD9 0140 0000 0600","3.3072625786814425","-54.5","2021-04-10 17:26:17.205"
"916.75","9.75","3008 33B2 DDD9 0140 0000 0600","3.2520392703175593","-54.0","2021-04-10 17:26:17.226"
"916.75","45.125","3008 33B2 DDD9 0140 0000 0600","3.2397674240144743","-54.0","2021-04-10 17:26:17.278"
"916.75","42.6875","3008 33B2 DDD9 0140 0000 0600","3.2520392703175593","-54.0","2021-04-10 17:26:17.302"
"916.75","41.5","3008 33B2 DDD9 0140 0000 0600","3.215223731408304","-54.0","2021-04-10 17:26:17.355"
"916.75","9.75","3008 33B2 DDD9 0140 0000 0600","3.2827188860752723","-53.5","2021-04-10 17:26:17.379"
"911.75","2.4375","3008 33B2 DDD9 0140 0000 0600","4.430136515413731","-54.5","2021-04-10 17:26:17.437"
"911.75","0.25","E200 001D 1910 0116 1310 566E","1.4910293258248433","-68.0","2021-04-10 17:26:17.459"
"911.75","4.875","3008 33B2 DDD9 0140 0000 0600","4.405592822807561","-54.5","2021-04-10 17:26:17.471"
"911.75","-0.0625","E200 001D 1910 0116 1310 566E","1.552388557340269","-69.0","2021-04-10 17:26:17.487"
"911.75","-9.75","3008 33B2 DDD9 0140 0000 0600","4.411728745959104","-55.0","2021-04-10 17:26:17.532"
"911.75","-1.4375","E200 001D 1910 0116 1310 566E","1.6812429435226628","-67.5","2021-04-10 17:26:17.551"
"911.75","2.4375","3008 33B2 DDD9 0140 0000 0600","4.399456899656019","-55.0","2021-04-10 17:26:17.567"
"911.75","-101.3125","E200 001D 1910 0116 1310 566E","1.9082721001297376","-65.5","2021-04-10 17:26:17.568"
"911.25","7.3125","3008 33B2 DDD9 0140 0000 0600","4.534447208989955","-55.0","2021-04-10 17:26:17.621"
"911.25","-68.3125","E200 001D 1910 0116 1310 566E","2.030990563160589","-66.5","2021-04-10 17:26:17.622"
"911.25","-2.4375","3008 33B2 DDD9 0140 0000 0600","4.546719055293041","-55.5","2021-04-10 17:26:17.644"
"911.25","0.1875","E200 001D 1910 0116 1310 566E","1.7732817907958012","-67.5","2021-04-10 17:26:17.663"
"911.25","17.0625","3008 33B2 DDD9 0140 0000 0600","4.4976316700806995","-55.0","2021-04-10 17:26:17.708"
"911.25","9.75","3008 33B2 DDD9 0140 0000 0600","4.534447208989955","-55.0","2021-04-10 17:26:17.731"
"911.25","-39.0625","3008 33B2 DDD9 0140 0000 0600","4.540583132141498","-55.0","2021-04-10 17:26:17.785"
"911.25","-2.3125","E200 001D 1910 0116 1310 566E","1.846912868614312","-68.5","2021-04-10 17:26:17.795"
"903.25","9.75","3008 33B2 DDD9 0140 0000 0600","6.264777537724958","-55.5","2021-04-10 17:26:17.822"
"903.25","7.3125","3008 33B2 DDD9 0140 0000 0600","6.240233845118788","-55.5","2021-04-10 17:26:17.875"
"903.25","9.75","3008 33B2 DDD9 0140 0000 0600","6.2463697682703305","-56.0","2021-04-10 17:26:17.897"
"903.25","17.0625","3008 33B2 DDD9 0140 0000 0600","6.227961998815704","-55.5","2021-04-10 17:26:17.95"
"903.25","0.875","E200 001D 1910 0119 1310 5A03","5.8045833013592665","-71.0","2021-04-10 17:26:17.965"
"903.25","24.375","3008 33B2 DDD9 0140 0000 0600","6.191146459906448","-55.5","2021-04-10 17:26:17.984"
"906.75","-14.625","3008 33B2 DDD9 0140 0000 0600","5.4671075280244255","-56.0","2021-04-10 17:26:18.035"
"906.75","-20.75","E200 001D 1910 0116 1310 566E","4.822835597112456","-66.5","2021-04-10 17:26:18.059"
"906.75","-17.0625","3008 33B2 DDD9 0140 0000 0600","5.4671075280244255","-55.5","2021-04-10 17:26:18.06"
"906.75","0.0","3008 33B2 DDD9 0140 0000 0600","5.485515297479052","-55.5","2021-04-10 17:26:18.113"
"906.75","1.4375","E200 001D 1910 0116 1310 566E","4.583534594202296","-68.0","2021-04-10 17:26:18.128"
"906.75","25.625","3008 33B2 DDD9 0140 0000 0600","5.424156065963627","-55.5","2021-04-10 17:26:18.144"
"906.75","-2.4375","3008 33B2 DDD9 0140 0000 0600","5.473243451175968","-56.0","2021-04-10 17:26:18.197"
"906.75","-9.75","3008 33B2 DDD9 0140 0000 0600","5.45483568172134","-56.0","2021-04-10 17:26:18.221"
"906.75","-1.125","E200 001D 1910 0116 1310 566E","4.6878452877785195","-68.0","2021-04-10 17:26:18.231"
"907.75","39.0625","3008 33B2 DDD9 0140 0000 0600","5.184855063053467","-55.0","2021-04-10 17:26:18.292"
"907.75","0.4375","E200 001D 1910 0116 1310 566E","4.025165587411922","-68.5","2021-04-10 17:26:18.306"
"907.75","23.1875","3008 33B2 DDD9 0140 0000 0600","5.209398755659637","-56.0","2021-04-10 17:26:18.323"
"907.75","9.75","3008 33B2 DDD9 0140 0000 0600","5.2339424482658075","-55.0","2021-04-10 17:26:18.376"
"907.75","0.0","3008 33B2 DDD9 0140 0000 0600","5.221670601962723","-55.5","2021-04-10 17:26:18.4"
"907.75","-1.9375","E200 001D 1910 0116 1310 566E","4.166291819897402","-68.5","2021-04-10 17:26:18.415"
"917.25","0.0","3008 33B2 DDD9 0140 0000 0600","3.160000423044421","-54.0","2021-04-10 17:26:18.464"
"917.25","-2.4375","3008 33B2 DDD9 0140 0000 0600","3.215223731408304","-54.0","2021-04-10 17:26:18.487"
"917.25","9.75","3008 33B2 DDD9 0140 0000 0600","3.1906800388021335","-54.0","2021-04-10 17:26:18.54"
"917.25","2.4375","3008 33B2 DDD9 0140 0000 0600","3.184544115650591","-54.0","2021-04-10 17:26:18.564"
"917.25","-2.4375","3008 33B2 DDD9 0140 0000 0600","3.2029518851052186","-54.0","2021-04-10 17:26:18.617"
"917.25","-12.1875","3008 33B2 DDD9 0140 0000 0600","3.2029518851052186","-54.0","2021-04-10 17:26:18.64"
"904.25","-0.875","E200 001D 1910 0119 1310 5A03","5.105088062083414","-71.0","2021-04-10 17:26:18.677"
"904.25","19.5","3008 33B2 DDD9 0140 0000 0600","5.9518454569962875","-55.0","2021-04-10 17:26:18.723"
"904.25","14.625","3008 33B2 DDD9 0140 0000 0600","6.068427996875596","-55.5","2021-04-10 17:26:18.747"
"904.25","4.875","3008 33B2 DDD9 0140 0000 0600","6.007068765360171","-55.0","2021-04-10 17:26:18.798"
"904.25","19.5","3008 33B2 DDD9 0140 0000 0600","5.976389149602458","-55.5","2021-04-10 17:26:18.822"
