"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"903.25","4.875","3008 33B2 DDD9 0140 0000 0500","0.9265243958829272","-50.5","2021-04-10 17:24:25.395"
"903.25","9.75","3008 33B2 DDD9 0140 0000 0500","0.8713010875190442","-50.5","2021-04-10 17:24:25.417"
"906.75","12.1875","3008 33B2 DDD9 0140 0000 0500","0.006135923151542565","-50.5","2021-04-10 17:24:25.488"
"906.75","17.0625","3008 33B2 DDD9 0140 0000 0500","6.252505691421874","-50.5","2021-04-10 17:24:25.509"
"906.75","0.9375","E200 001D 1910 0116 1310 566E","4.601942363656923","-68.0","2021-04-10 17:24:25.523"
"906.75","4.875","3008 33B2 DDD9 0140 0000 0500","0.02454369260617026","-50.5","2021-04-10 17:24:25.572"
"906.75","2.4375","3008 33B2 DDD9 0140 0000 0500","0.018407769454627694","-50.5","2021-04-10 17:24:25.596"
"907.75","-7.3125","3008 33B2 DDD9 0140 0000 0500","6.056156150572511","-50.0","2021-04-10 17:24:25.648"
"907.75","1.5","E200 001D 1910 0116 1310 566E","3.9515345095934116","-68.5","2021-04-10 17:24:25.662"
"907.75","0.0","3008 33B2 DDD9 0140 0000 0500","6.043884304269426","-50.0","2021-04-10 17:24:25.681"
"907.75","0.125","E200 001D 1910 0116 1310 566E","4.006757817957295","-67.5","2021-04-10 17:24:25.693"
"907.75","12.1875","3008 33B2 DDD9 0140 0000 0500","6.013204688511713","-50.0","2021-04-10 17:24:25.744"
"907.75","-0.5625","E200 001D 1910 0116 1310 566E","4.178563666200486","-68.0","2021-04-10 17:24:25.76"
"907.75","-2.4375","3008 33B2 DDD9 0140 0000 0500","6.019340611663256","-50.0","2021-04-10 17:24:25.776"
"907.75","20.75","3008 33B2 DDD9 0140 0000 0500","5.982525072754001","-50.0","2021-04-10 17:24:25.829"
"917.25","19.5","3008 33B2 DDD9 0140 0000 0500","3.5465635815916023","-47.5","2021-04-10 17:24:25.873"
"917.25","39.0625","3008 33B2 DDD9 0140 0000 0500","3.509748042682347","-47.5","2021-04-10 17:24:25.925"
"917.25","26.8125","3008 33B2 DDD9 0140 0000 0500","3.522019888985432","-47.0","2021-04-10 17:24:25.949"
"917.25","12.1875","3008 33B2 DDD9 0140 0000 0500","3.552699504743145","-47.0","2021-04-10 17:24:26.003"
"917.25","17.0625","3008 33B2 DDD9 0140 0000 0500","3.54042765844006","-47.0","2021-04-10 17:24:26.026"
"904.25","2.4375","3008 33B2 DDD9 0140 0000 0500","0.662679700366597","-50.5","2021-04-10 17:24:26.079"
"904.25","7.3125","3008 33B2 DDD9 0140 0000 0500","0.6688156235181395","-50.5","2021-04-10 17:24:26.1"
"904.25","-2.4375","3008 33B2 DDD9 0140 0000 0500","0.6688156235181395","-50.5","2021-04-10 17:24:26.155"
"904.25","-2.4375","3008 33B2 DDD9 0140 0000 0500","0.6810874698212247","-50.5","2021-04-10 17:24:26.178"
"904.25","26.8125","3008 33B2 DDD9 0140 0000 0500","0.6135923151542565","-50.5","2021-04-10 17:24:26.23"
"904.25","14.625","3008 33B2 DDD9 0140 0000 0500","0.6442719309119693","-50.5","2021-04-10 17:24:26.253"
"923.25","12.1875","3008 33B2 DDD9 0140 0000 0500","1.8530487917658545","-45.5","2021-04-10 17:24:26.332"
"923.25","4.875","3008 33B2 DDD9 0140 0000 0500","1.8714565612204823","-45.5","2021-04-10 17:24:26.356"
"923.25","0.0","3008 33B2 DDD9 0140 0000 0500","1.8346410223112268","-45.0","2021-04-10 17:24:26.41"
"923.25","7.3125","3008 33B2 DDD9 0140 0000 0500","1.859184714917397","-45.0","2021-04-10 17:24:26.432"
"917.75","7.3125","3008 33B2 DDD9 0140 0000 0500","3.436116964863836","-47.0","2021-04-10 17:24:26.486"
"917.75","25.625","3008 33B2 DDD9 0140 0000 0500","3.380893656499953","-47.0","2021-04-10 17:24:26.507"
"917.75","9.75","3008 33B2 DDD9 0140 0000 0500","3.4177091954092087","-47.0","2021-04-10 17:24:26.561"
"917.75","17.0625","3008 33B2 DDD9 0140 0000 0500","3.423845118560751","-47.0","2021-04-10 17:24:26.586"
"917.75","19.5","3008 33B2 DDD9 0140 0000 0500","3.4054373491061236","-47.0","2021-04-10 17:24:26.64"
"917.75","-2.4375","3008 33B2 DDD9 0140 0000 0500","3.436116964863836","-47.0","2021-04-10 17:24:26.663"
"927.25","14.625","3008 33B2 DDD9 0140 0000 0500","0.6565437772150544","-44.5","2021-04-10 17:24:26.728"
"927.25","9.75","3008 33B2 DDD9 0140 0000 0500","0.6565437772150544","-44.5","2021-04-10 17:24:26.75"
"927.25","12.1875","3008 33B2 DDD9 0140 0000 0500","0.6320000846088841","-44.5","2021-04-10 17:24:26.806"
"927.25","-2.4375","3008 33B2 DDD9 0140 0000 0500","0.6933593161243098","-44.5","2021-04-10 17:24:26.827"
"924.75","4.875","3008 33B2 DDD9 0140 0000 0500","1.3928545554001621","-45.5","2021-04-10 17:24:26.891"
"924.75","17.0625","3008 33B2 DDD9 0140 0000 0500","1.4051264017032472","-45.0","2021-04-10 17:24:26.921"
"924.75","9.75","3008 33B2 DDD9 0140 0000 0500","1.3928545554001621","-45.0","2021-04-10 17:24:26.976"
"924.75","12.1875","3008 33B2 DDD9 0140 0000 0500","1.3867186322486196","-45.0","2021-04-10 17:24:26.997"
"924.75","4.875","3008 33B2 DDD9 0140 0000 0500","1.41126232485479","-45.0","2021-04-10 17:24:27.053"
"924.75","-7.3125","3008 33B2 DDD9 0140 0000 0500","1.4419419406125027","-45.0","2021-04-10 17:24:27.075"
"905.75","-2.4375","3008 33B2 DDD9 0140 0000 0500","0.2761165418194154","-50.0","2021-04-10 17:24:27.141"
"905.75","14.625","3008 33B2 DDD9 0140 0000 0500","0.2699806186678728","-50.5","2021-04-10 17:24:27.162"
"905.75","-2.4375","3008 33B2 DDD9 0140 0000 0500","0.2945243112740431","-50.5","2021-04-10 17:24:27.216"
"905.75","23.1875","3008 33B2 DDD9 0140 0000 0500","0.23316507975861744","-50.0","2021-04-10 17:24:27.239"
"905.75","-0.5","E200 001D 1910 0116 1310 566E","5.203262832508095","-68.5","2021-04-10 17:24:27.251"
"925.25","17.0625","3008 33B2 DDD9 0140 0000 0500","1.2517283229146832","-44.5","2021-04-10 17:24:27.301"
"925.25","9.75","3008 33B2 DDD9 0140 0000 0500","1.2640001692177683","-44.5","2021-04-10 17:24:27.325"
"925.25","9.75","3008 33B2 DDD9 0140 0000 0500","1.2701360923693108","-44.5","2021-04-10 17:24:27.379"
"925.25","-2.4375","3008 33B2 DDD9 0140 0000 0500","1.2701360923693108","-44.5","2021-04-10 17:24:27.402"
"925.25","9.75","3008 33B2 DDD9 0140 0000 0500","1.2885438618239387","-44.5","2021-04-10 17:24:27.457"
"925.25","4.875","3008 33B2 DDD9 0140 0000 0500","1.282407938672396","-44.5","2021-04-10 17:24:27.479"
"905.25","17.0625","3008 33B2 DDD9 0140 0000 0500","0.3865631585471816","-50.0","2021-04-10 17:24:27.553"
"905.25","-0.4375","E200 001D 1910 0116 1310 566E","5.50392306693368","-68.0","2021-04-10 17:24:27.57"
"905.25","14.625","3008 33B2 DDD9 0140 0000 0500","0.39269908169872414","-50.0","2021-04-10 17:24:27.587"
"905.25","7.3125","3008 33B2 DDD9 0140 0000 0500","0.4172427743048944","-50.0","2021-04-10 17:24:27.64"
"905.25","20.75","3008 33B2 DDD9 0140 0000 0500","0.3865631585471816","-50.0","2021-04-10 17:24:27.661"
"926.25","9.75","3008 33B2 DDD9 0140 0000 0500","0.9633399347921826","-44.5","2021-04-10 17:24:27.717"
"926.25","24.375","3008 33B2 DDD9 0140 0000 0500","0.9326603190344698","-44.5","2021-04-10 17:24:27.739"
"926.25","9.75","3008 33B2 DDD9 0140 0000 0500","0.9817477042468103","-44.5","2021-04-10 17:24:27.781"
"926.25","7.3125","3008 33B2 DDD9 0140 0000 0500","0.9817477042468103","-44.5","2021-04-10 17:24:27.802"
"926.25","4.875","3008 33B2 DDD9 0140 0000 0500","0.9756117810952678","-44.5","2021-04-10 17:24:27.856"
"926.25","2.4375","3008 33B2 DDD9 0140 0000 0500","0.9940195505498954","-44.5","2021-04-10 17:24:27.879"
"906.25","17.0625","3008 33B2 DDD9 0140 0000 0500","0.11658253987930872","-50.5","2021-04-10 17:24:27.931"
"906.25","-12.1875","3008 33B2 DDD9 0140 0000 0500","0.1902136176978195","-50.0","2021-04-10 17:24:27.953"
"906.25","4.875","3008 33B2 DDD9 0140 0000 0500","0.14726215563702155","-50.5","2021-04-10 17:24:28.006"
"906.25","14.625","3008 33B2 DDD9 0140 0000 0500","0.12885438618239387","-50.0","2021-04-10 17:24:28.03"
"906.25","-0.5625","E200 001D 1910 0116 1310 566E","5.00077736850719","-68.0","2021-04-10 17:24:28.046"
"906.25","4.875","3008 33B2 DDD9 0140 0000 0500","0.12885438618239387","-50.5","2021-04-10 17:24:28.093"
"906.25","-0.125","E200 001D 1910 0116 1310 566E","4.994641445355648","-68.0","2021-04-10 17:24:28.105"
"918.75","3.3125","3008 33B2 DDD9 0140 0000 0500","6.2463697682703305","-47.5","2021-04-10 17:24:28.135"
"918.75","12.1875","3008 33B2 DDD9 0140 0000 0500","3.153864499892878","-47.5","2021-04-10 17:24:28.193"
"918.75","19.5","3008 33B2 DDD9 0140 0000 0500","3.1354567304382504","-47.0","2021-04-10 17:24:28.216"
"918.75","-12.1875","3008 33B2 DDD9 0140 0000 0500","3.1968159619536762","-47.5","2021-04-10 17:24:28.27"
"918.75","35.375","3008 33B2 DDD9 0140 0000 0500","3.074097498922825","-47.5","2021-04-10 17:24:28.293"
"902.75","-2.4375","3008 33B2 DDD9 0140 0000 0500","1.055378782065321","-50.0","2021-04-10 17:24:28.347"
"902.75","-7.3125","3008 33B2 DDD9 0140 0000 0500","1.0492428589137786","-50.5","2021-04-10 17:24:28.368"
"902.75","7.3125","3008 33B2 DDD9 0140 0000 0500","1.0246991663076084","-50.5","2021-04-10 17:24:28.421"
"902.75","-0.1875","E200 001D 1910 0119 1310 5A03","6.2463697682703305","-71.0","2021-04-10 17:24:28.441"
"902.75","-14.625","3008 33B2 DDD9 0140 0000 0500","1.0676506283684062","-50.5","2021-04-10 17:24:28.455"
"902.75","1.0625","E200 001D 1910 0119 1310 5A03","6.160466844148735","-71.0","2021-04-10 17:24:28.468"
"902.75","12.1875","3008 33B2 DDD9 0140 0000 0500","1.0185632431560658","-50.0","2021-04-10 17:24:28.518"
"912.25","7.3125","3008 33B2 DDD9 0140 0000 0500","4.914874444385594","-48.5","2021-04-10 17:24:28.567"
"912.25","-1.1875","E200 001D 1910 0116 1310 566E","4.638757902566179","-68.5","2021-04-10 17:24:28.589"
"912.25","17.0625","3008 33B2 DDD9 0140 0000 0500","4.865787059173254","-48.5","2021-04-10 17:24:28.628"
"912.25","4.875","3008 33B2 DDD9 0140 0000 0500","4.890330751779424","-48.5","2021-04-10 17:24:28.651"
"912.25","14.625","3008 33B2 DDD9 0140 0000 0500","4.853515212870168","-49.0","2021-04-10 17:24:28.705"
"912.25","-0.5","E200 001D 1910 0116 1310 566E","1.3499030933393643","-68.0","2021-04-10 17:24:28.726"
"913.75","-7.3125","3008 33B2 DDD9 0140 0000 0500","4.522175362686871","-48.0","2021-04-10 17:24:28.747"
"913.75","-0.375","E200 001D 1910 0116 1310 566E","0.607456392002714","-68.0","2021-04-10 17:24:28.761"
"913.75","2.4375","3008 33B2 DDD9 0140 0000 0500","4.516039439535327","-48.5","2021-04-10 17:24:28.809"
"913.75","0.9375","E200 001D 1910 0116 1310 566E","0.4970097752749477","-69.0","2021-04-10 17:24:28.82"
"913.75","7.3125","3008 33B2 DDD9 0140 0000 0500","4.528311285838413","-48.0","2021-04-10 17:24:28.841"
"913.75","0.0","E200 001D 1910 0116 1310 566E","0.6258641614573416","-69.5","2021-04-10 17:24:28.864"
"913.75","17.0625","3008 33B2 DDD9 0140 0000 0500","4.473087977474529","-48.0","2021-04-10 17:24:28.903"
"913.75","2.5","E200 001D 1910 0116 1310 566E","0.4356505437595221","-68.5","2021-04-10 17:24:28.915"
"913.75","9.75","3008 33B2 DDD9 0140 0000 0500","4.503767593232243","-48.5","2021-04-10 17:24:28.934"
"908.75","12.1875","3008 33B2 DDD9 0140 0000 0500","5.737088146692298","-49.5","2021-04-10 17:24:29.001"
"908.75","0.0","3008 33B2 DDD9 0140 0000 0500","5.792311455056181","-49.5","2021-04-10 17:24:29.025"
"908.75","-1.75","E200 001D 1910 0116 1310 566E","0.47860200582032003","-68.0","2021-04-10 17:24:29.049"
"908.75","17.0625","3008 33B2 DDD9 0140 0000 0500","5.7616318392984684","-49.5","2021-04-10 17:24:29.086"
