"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"910.25","9.75","3008 33B2 DDD9 0140 0000 0400","2.742757648739526","-42.5","2021-04-10 17:19:47.904"
"910.25","17.0625","3008 33B2 DDD9 0140 0000 0400","2.730485802436441","-42.5","2021-04-10 17:19:47.928"
"910.25","0.0","3008 33B2 DDD9 0140 0000 0400","2.7550294950426117","-42.5","2021-04-10 17:19:47.981"
"910.25","19.5","3008 33B2 DDD9 0140 0000 0400","2.718213956133356","-42.0","2021-04-10 17:19:48.003"
"923.75","2.4375","3008 33B2 DDD9 0140 0000 0400","5.178719139901925","-41.5","2021-04-10 17:19:48.082"
"923.75","2.4375","3008 33B2 DDD9 0140 0000 0400","5.1725832167503825","-41.5","2021-04-10 17:19:48.104"
"923.75","2.4375","3008 33B2 DDD9 0140 0000 0400","5.160311370447297","-41.5","2021-04-10 17:19:48.158"
"923.75","9.75","3008 33B2 DDD9 0140 0000 0400","5.154175447295755","-41.5","2021-04-10 17:19:48.179"
"916.75","7.3125","3008 33B2 DDD9 0140 0000 0400","0.9878836273983529","-42.0","2021-04-10 17:19:48.233"
"916.75","9.75","3008 33B2 DDD9 0140 0000 0400","0.9817477042468103","-42.5","2021-04-10 17:19:48.255"
"916.75","12.1875","3008 33B2 DDD9 0140 0000 0400","0.9817477042468103","-42.0","2021-04-10 17:19:48.308"
"916.75","12.1875","3008 33B2 DDD9 0140 0000 0400","0.9940195505498954","-42.5","2021-04-10 17:19:48.33"
"916.75","7.3125","3008 33B2 DDD9 0140 0000 0400","0.9940195505498954","-42.5","2021-04-10 17:19:48.385"
"916.75","0.0","3008 33B2 DDD9 0140 0000 0400","1.000155473701438","-42.0","2021-04-10 17:19:48.407"
"911.75","2.4375","3008 33B2 DDD9 0140 0000 0400","2.350058567040802","-42.5","2021-04-10 17:19:48.466"
"911.75","-2.4375","3008 33B2 DDD9 0140 0000 0400","2.350058567040802","-43.0","2021-04-10 17:19:48.488"
"911.75","-2.4375","3008 33B2 DDD9 0140 0000 0400","2.3623304133438876","-42.5","2021-04-10 17:19:48.542"
"911.75","9.75","3008 33B2 DDD9 0140 0000 0400","2.3439226438892597","-42.5","2021-04-10 17:19:48.564"
"911.75","17.0625","3008 33B2 DDD9 0140 0000 0400","2.3193789512830896","-42.5","2021-04-10 17:19:48.616"
"911.25","2.4375","3008 33B2 DDD9 0140 0000 0400","2.4727770300716534","-42.5","2021-04-10 17:19:48.66"
"911.25","2.4375","3008 33B2 DDD9 0140 0000 0400","2.478912953223196","-42.5","2021-04-10 17:19:48.712"
"911.25","0.0","3008 33B2 DDD9 0140 0000 0400","2.4850488763747385","-42.5","2021-04-10 17:19:48.735"
"911.25","4.875","3008 33B2 DDD9 0140 0000 0400","2.4727770300716534","-42.5","2021-04-10 17:19:48.786"
"911.25","-4.875","3008 33B2 DDD9 0140 0000 0400","2.4850488763747385","-42.5","2021-04-10 17:19:48.809"
