"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"917.75","0.0","3008 33B2 DDD9 0140 0000 0200","0.4540583132141498","-42.5","2021-04-10 17:23:25.171"
"917.75","9.75","3008 33B2 DDD9 0140 0000 0200","0.42337869745643697","-42.5","2021-04-10 17:23:25.192"
"927.25","-4.875","3008 33B2 DDD9 0140 0000 0200","3.877903431774901","-42.5","2021-04-10 17:23:25.252"
"927.25","-9.75","3008 33B2 DDD9 0140 0000 0200","3.8717675086233583","-42.5","2021-04-10 17:23:25.275"
"927.25","-2.4375","3008 33B2 DDD9 0140 0000 0200","3.865631585471816","-42.5","2021-04-10 17:23:25.327"
"927.25","-14.625","3008 33B2 DDD9 0140 0000 0200","3.877903431774901","-42.5","2021-04-10 17:23:25.35"
"927.25","12.1875","3008 33B2 DDD9 0140 0000 0200","3.847223816017188","-42.5","2021-04-10 17:23:25.404"
"924.75","-4.875","3008 33B2 DDD9 0140 0000 0200","4.651029748869264","-42.0","2021-04-10 17:23:25.445"
"924.75","-4.875","3008 33B2 DDD9 0140 0000 0200","4.6448938257177215","-42.5","2021-04-10 17:23:25.501"
"924.75","-12.1875","3008 33B2 DDD9 0140 0000 0200","4.651029748869264","-42.5","2021-04-10 17:23:25.523"
"924.75","14.625","3008 33B2 DDD9 0140 0000 0200","4.589670517353839","-42.5","2021-04-10 17:23:25.578"
"924.75","2.4375","3008 33B2 DDD9 0140 0000 0200","4.626486056263094","-42.0","2021-04-10 17:23:25.599"
"905.75","7.3125","3008 33B2 DDD9 0140 0000 0200","3.7551849687440497","-42.5","2021-04-10 17:23:25.677"
"905.75","4.875","3008 33B2 DDD9 0140 0000 0200","3.773592738198677","-42.5","2021-04-10 17:23:25.7"
"905.75","14.625","3008 33B2 DDD9 0140 0000 0200","3.7429131224409646","-42.5","2021-04-10 17:23:25.753"
"905.75","9.75","3008 33B2 DDD9 0140 0000 0200","3.761320891895592","-42.5","2021-04-10 17:23:25.774"
"925.25","2.4375","3008 33B2 DDD9 0140 0000 0200","4.473087977474529","-42.0","2021-04-10 17:23:25.834"
"925.25","-2.4375","3008 33B2 DDD9 0140 0000 0200","4.485359823777615","-42.0","2021-04-10 17:23:25.859"
