"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"926.25","2.4375","3008 33B2 DDD9 0140 0000 0020","5.062136600022616","-42.0","2021-04-10 17:09:27.644"
"906.25","7.3125","3008 33B2 DDD9 0140 0000 0020","4.4362724385652745","-42.5","2021-04-10 17:09:27.696"
"906.25","0.8125","E200 001D 1910 0116 1310 566E","4.6878452877785195","-69.0","2021-04-10 17:09:27.708"
"906.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","4.442408361716817","-42.5","2021-04-10 17:09:27.729"
"906.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","4.442408361716817","-42.5","2021-04-10 17:09:27.781"
"906.25","2.4375","3008 33B2 DDD9 0140 0000 0020","4.442408361716817","-42.5","2021-04-10 17:09:27.806"
"906.25","9.75","3008 33B2 DDD9 0140 0000 0020","4.430136515413731","-42.5","2021-04-10 17:09:27.859"
"906.25","2.4375","3008 33B2 DDD9 0140 0000 0020","4.4362724385652745","-43.0","2021-04-10 17:09:27.882"
"918.75","-7.3125","3008 33B2 DDD9 0140 0000 0020","1.0799224746714913","-43.0","2021-04-10 17:09:27.95"
"918.75","2.4375","3008 33B2 DDD9 0140 0000 0020","1.0369710126106935","-43.0","2021-04-10 17:09:27.973"
"918.75","-4.875","3008 33B2 DDD9 0140 0000 0020","1.0615147052168636","-43.0","2021-04-10 17:09:28.025"
"918.75","-7.3125","3008 33B2 DDD9 0140 0000 0020","1.0492428589137786","-43.0","2021-04-10 17:09:28.049"
"902.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","5.399612373357457","-42.5","2021-04-10 17:09:28.104"
"902.75","4.875","3008 33B2 DDD9 0140 0000 0020","5.393476450205914","-42.5","2021-04-10 17:09:28.137"
"902.75","-4.875","3008 33B2 DDD9 0140 0000 0020","5.405748296509","-42.5","2021-04-10 17:09:28.189"
"902.75","-12.1875","3008 33B2 DDD9 0140 0000 0020","5.424156065963627","-42.5","2021-04-10 17:09:28.212"
"902.75","-4.875","3008 33B2 DDD9 0140 0000 0020","5.418020142812084","-42.5","2021-04-10 17:09:28.265"
"902.75","-4.875","3008 33B2 DDD9 0140 0000 0020","5.399612373357457","-42.5","2021-04-10 17:09:28.287"
"912.25","9.75","3008 33B2 DDD9 0140 0000 0020","2.773437264497239","-43.5","2021-04-10 17:09:28.357"
"912.25","17.0625","3008 33B2 DDD9 0140 0000 0020","2.7550294950426117","-43.0","2021-04-10 17:09:28.379"
