"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"904.75","-13.375","E200 001D 1910 0119 1310 5A03","5.203262832508095","-66.0","2021-04-10 18:12:48.678"
"904.75","14.625","3008 33B2 DDD9 0140 0000 0080","1.4051264017032472","-55.5","2021-04-10 18:12:48.679"
"904.75","0.0625","E200 001D 1910 0116 1310 566E","5.755495916146925","-68.0","2021-04-10 18:12:48.69"
"904.75","-67.125","E200 001D 1910 0119 1310 5A03","5.1725832167503825","-67.0","2021-04-10 18:12:48.71"
"904.75","31.6875","3008 33B2 DDD9 0140 0000 0080","1.3928545554001621","-55.5","2021-04-10 18:12:48.713"
"918.25","96.375","E200 001D 1910 0116 1310 566E","4.227651051412827","-67.0","2021-04-10 18:12:48.733"
"918.25","53.6875","3008 33B2 DDD9 0140 0000 0080","3.8288160465625602","-56.0","2021-04-10 18:12:48.786"
"918.25","7.3125","E200 001D 1910 0116 1310 566E","4.295146206079795","-66.5","2021-04-10 18:12:48.787"
"918.25","-9.75","3008 33B2 DDD9 0140 0000 0080","3.9453985864418692","-56.5","2021-04-10 18:12:48.809"
"918.25","-0.25","E200 001D 1910 0116 1310 566E","4.215379205109742","-67.5","2021-04-10 18:12:48.821"
"918.25","-23.1875","E200 001D 1910 0116 1310 566E","4.196971435655114","-67.0","2021-04-10 18:12:48.871"
"918.25","-12.1875","3008 33B2 DDD9 0140 0000 0080","3.933126740138784","-56.0","2021-04-10 18:12:48.873"
"918.25","-50.0","E200 001D 1910 0116 1310 566E","4.362641360746763","-66.5","2021-04-10 18:12:48.895"
"918.25","-39.0625","3008 33B2 DDD9 0140 0000 0080","3.933126740138784","-56.0","2021-04-10 18:12:48.897"
"918.25","1.0625","E200 001D 1910 0118 1310 566F","0.2638446955163303","-68.5","2021-04-10 18:12:48.915"
"910.25","31.6875","3008 33B2 DDD9 0140 0000 0080","6.000932842208628","-55.0","2021-04-10 18:12:48.983"
"910.25","57.3125","E200 001D 1910 0116 1310 566E","2.5402721847386216","-64.0","2021-04-10 18:12:48.984"
"910.25","-170.875","E200 001D 1910 0118 1310 566F","1.6505633277649499","-67.0","2021-04-10 18:12:48.985"
"910.25","-19.5","E200 001D 1910 0118 1310 566F","1.4603497100671303","-68.5","2021-04-10 18:12:49.006"
