"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"922.75","-2.4375","3008 33B2 DDD9 0140 0000 0040","3.859495662320273","-52.0","2021-04-10 18:48:04.657"
"922.75","0.0","3008 33B2 DDD9 0140 0000 0040","3.834951969714103","-52.0","2021-04-10 18:48:04.709"
"922.75","21.9375","3008 33B2 DDD9 0140 0000 0040","3.7981364308048478","-51.5","2021-04-10 18:48:04.731"
"915.25","14.625","3008 33B2 DDD9 0140 0000 0040","5.859806609723149","-51.5","2021-04-10 18:48:04.785"
"915.25","23.1875","E200 001D 1910 0116 1310 566E","5.780039608753096","-67.0","2021-04-10 18:48:04.786"
"915.25","17.0625","3008 33B2 DDD9 0140 0000 0040","5.835262917116979","-51.5","2021-04-10 18:48:04.807"
"915.25","-73.1875","E200 001D 1910 0116 1310 566E","6.043884304269426","-66.0","2021-04-10 18:48:04.809"
"915.25","-18.25","E200 001D 1910 0116 1310 566E","5.964117303299373","-65.0","2021-04-10 18:48:04.861"
"915.25","2.4375","3008 33B2 DDD9 0140 0000 0040","5.841398840268521","-51.5","2021-04-10 18:48:04.862"
"915.25","19.5","3008 33B2 DDD9 0140 0000 0040","5.841398840268521","-51.0","2021-04-10 18:48:04.884"
"915.25","-10.9375","E200 001D 1910 0116 1310 566E","5.859806609723149","-66.0","2021-04-10 18:48:04.885"
"915.25","-25.625","E200 001D 1910 0116 1310 566E","5.884350302329319","-66.5","2021-04-10 18:48:04.939"
"915.25","0.0","3008 33B2 DDD9 0140 0000 0040","5.8475347634200645","-51.0","2021-04-10 18:48:04.939"
"915.25","-41.5","E200 001D 1910 0116 1310 566E","5.841398840268521","-65.5","2021-04-10 18:48:04.962"
"915.25","-9.75","3008 33B2 DDD9 0140 0000 0040","5.872078456026235","-51.0","2021-04-10 18:48:04.963"
"919.75","14.625","3008 33B2 DDD9 0140 0000 0040","4.6448938257177215","-52.0","2021-04-10 18:48:05.039"
