"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"903.75","17.0625","3008 33B2 DDD9 0140 0000 0500","2.411417798556228","-47.5","2021-04-10 19:40:32.776"
"903.75","19.5","3039 6062 C3AD 3FC0 001F 4997","2.761165418194154","-58.0","2021-04-10 19:40:32.783"
"903.75","-1.3125","E200 001D 700E 0075 2100 3221","0.662679700366597","-58.5","2021-04-10 19:40:32.797"
"903.75","2.8125","3008 33B2 DDD9 0140 0000 1100","1.1290098598838318","-65.5","2021-04-10 19:40:32.822"
"903.75","0.0","3008 33B2 DDD9 0140 0000 0500","2.386874105950058","-48.0","2021-04-10 19:40:32.861"
"903.75","-1.3125","E280 1160 6000 0207 A652 2062","0.5829126993965437","-66.0","2021-04-10 19:40:32.872"
"923.75","3.0","3039 6062 C3AD 3FC0 001F 4997","1.8377089838869982","-55.0","2021-04-10 19:40:32.883"
"923.75","6.0625","E280 1160 6000 0207 A650 3C3C","5.7094764925103565","-66.5","2021-04-10 19:40:32.886"
"923.75","-0.5625","E280 6890 0000 4006 F494 519E","0.5951845456996288","-65.5","2021-04-10 19:40:32.888"
"923.75","32.3125","3008 33B2 DDD9 0140 0000 1000","5.826059032389665","-64.5","2021-04-10 19:40:32.891"
"923.75","6.6875","3035 15B8 9802 DE90 4000 11E7","0.45099035163837853","-60.0","2021-04-10 19:40:32.894"
"923.75","1.5","E200 001D 700E 0075 2100 3221","2.1966604882522383","-61.0","2021-04-10 19:40:32.899"
"923.75","-1.1875","E280 1160 6000 0207 A652 186D","1.782485675523115","-62.0","2021-04-10 19:40:32.902"
"923.75","0.1875","3008 33B2 DDD9 0140 0000 1100","6.025476534814799","-67.0","2021-04-10 19:40:32.914"
"923.75","0.9375","0000 0000 02A1 1000 0000 0000","4.558990901596125","-67.5","2021-04-10 19:40:32.926"
"923.75","-2.0","3039 5DFA 8332 E480 001D 4299","5.3198453723874035","-71.0","2021-04-10 19:40:32.95"
"923.75","20.75","E200 001D 700E 0075 2100 3221","2.12916533358527","-59.0","2021-04-10 19:40:32.953"
"923.75","7.3125","3039 6062 C3AD 3FC0 001F 4997","2.0923497946760143","-55.0","2021-04-10 19:40:32.954"
"923.75","48.8125","3008 33B2 DDD9 0140 0000 1000","2.890019804376548","-66.5","2021-04-10 19:40:32.955"
"923.75","-2.4375","E280 1160 6000 0207 A652 186D","5.00077736850719","-61.0","2021-04-10 19:40:32.956"
"923.75","-57.3125","3035 15B8 9802 DE90 4000 11E7","3.693825737228624","-59.5","2021-04-10 19:40:32.957"
"923.75","-17.0625","3008 33B2 DDD9 0140 0000 0500","2.804116880254952","-44.5","2021-04-10 19:40:32.958"
"923.75","180.625","E280 6890 0000 4006 F494 519E","3.522019888985432","-65.0","2021-04-10 19:40:32.958"
"923.75","-3.5","E280 1160 6000 0207 A650 3C3C","2.8102528034064944","-66.0","2021-04-10 19:40:32.978"
"923.75","12.1875","E280 1160 6000 0207 A652 186D","4.92714629068868","-61.5","2021-04-10 19:40:33.021"
"923.75","0.0","3008 33B2 DDD9 0140 0000 0500","2.7550294950426117","-44.0","2021-04-10 19:40:33.022"
"923.75","-36.5625","3035 15B8 9802 DE90 4000 11E7","3.6079228131070282","-61.0","2021-04-10 19:40:33.023"
"923.75","122.0625","3008 33B2 DDD9 0140 0000 1000","2.6384469551633027","-66.5","2021-04-10 19:40:33.024"
"923.75","-20.75","3039 6062 C3AD 3FC0 001F 4997","2.067806102069844","-54.5","2021-04-10 19:40:33.024"
"923.75","4.875","E200 001D 700E 0075 2100 3221","2.116893487282185","-60.5","2021-04-10 19:40:33.025"
"923.75","14.625","E280 6890 0000 4006 F494 519E","3.6570101983193686","-63.5","2021-04-10 19:40:33.026"
"923.75","1.5","E200 001D 700E 0069 2100 2A9E","5.2339424482658075","-69.5","2021-04-10 19:40:33.05"
"923.75","-3.0","E280 1160 6000 0207 A650 3C3C","5.964117303299373","-65.5","2021-04-10 19:40:33.059"
"923.75","-2.1875","3039 5DFA 8332 E480 001D 4299","5.411884219660542","-71.0","2021-04-10 19:40:33.071"
"923.75","-2.4375","3008 33B2 DDD9 0140 0000 0500","2.761165418194154","-44.5","2021-04-10 19:40:33.073"
"902.75","57.9375","E200 001D 700E 0075 2100 3221","3.9576704327449543","-58.5","2021-04-10 19:40:33.085"
"902.75","-15.25","3039 6062 C3AD 3FC0 001F 4997","3.1906800388021335","-55.0","2021-04-10 19:40:33.093"
"902.75","5.1875","E280 6890 0000 4006 F494 519E","5.184855063053467","-64.0","2021-04-10 19:40:33.205"
"902.75","2.3125","3008 33B2 DDD9 0140 0000 1100","4.675573441475434","-65.5","2021-04-10 19:40:33.231"
"914.75","0.125","E280 1160 6000 0207 A652 186D","5.9518454569962875","-63.0","2021-04-10 19:40:33.308"
"914.75","0.375","E280 1160 6000 0207 A650 3C3C","1.2640001692177683","-67.5","2021-04-10 19:40:33.321"
"914.75","2.1875","E200 001D 700E 0069 2100 2A9E","6.111379458936394","-70.0","2021-04-10 19:40:33.332"
"914.75","-111.0625","E280 1160 6000 0207 A652 186D","3.0250101137104846","-63.0","2021-04-10 19:40:33.365"
"914.75","-20.75","3039 6062 C3AD 3FC0 001F 4997","5.589825991055276","-52.5","2021-04-10 19:40:33.366"
"914.75","2.4375","3008 33B2 DDD9 0140 0000 0500","5.47937937432751","-46.5","2021-04-10 19:40:33.366"
"914.75","78.125","E200 001D 700E 0075 2100 3221","6.031612457966341","-58.0","2021-04-10 19:40:33.369"
"914.75","-0.375","E280 1160 6000 0209 5014 ECA0","5.283029833478148","-66.0","2021-04-10 19:40:33.382"
"914.75","-1.9375","E280 6890 0000 4006 F494 519E","4.1172044346850605","-68.0","2021-04-10 19:40:33.391"
"914.75","0.1875","E280 1160 6000 0207 A650 3C3C","1.2885438618239387","-67.5","2021-04-10 19:40:33.401"
"914.75","20.75","E200 001D 700E 0075 2100 3221","6.068427996875596","-58.0","2021-04-10 19:40:33.404"
"914.75","-14.625","3008 33B2 DDD9 0140 0000 0500","5.50392306693368","-46.5","2021-04-10 19:40:33.405"
"914.75","-28.0625","3039 6062 C3AD 3FC0 001F 4997","5.577554144752192","-53.0","2021-04-10 19:40:33.406"
"914.75","19.5","E280 1160 6000 0207 A652 186D","2.804116880254952","-59.5","2021-04-10 19:40:33.41"
"914.75","2.625","E280 6890 0000 4006 F494 519E","4.086524818927348","-67.5","2021-04-10 19:40:33.426"
"914.75","-1.5","3008 33B2 DDD9 0140 0000 1000","5.896622148632405","-65.5","2021-04-10 19:40:33.437"
"914.75","-0.625","E280 1160 6000 0209 5014 ECA0","2.1046216409791","-67.5","2021-04-10 19:40:33.448"
"922.75","17.6875","3008 33B2 DDD9 0140 0000 1000","0.039883500485026674","-66.5","2021-04-10 19:40:33.489"
"922.75","4.25","3008 33B2 DDD9 0140 0000 0500","6.166602767300278","-45.0","2021-04-10 19:40:33.494"
"922.75","3.3125","3039 6062 C3AD 3FC0 001F 4997","2.1813206803733816","-54.5","2021-04-10 19:40:33.498"
"922.75","18.875","E280 1160 6000 0207 A650 3C3C","0.03681553890925539","-66.5","2021-04-10 19:40:33.501"
"922.75","9.75","E280 6890 0000 4006 F494 519E","0.944932165337555","-65.5","2021-04-10 19:40:33.503"
"922.75","1.8125","E280 1160 6000 0207 A652 186D","5.421088104387856","-62.0","2021-04-10 19:40:33.506"
"922.75","3.625","E200 001D 700E 0075 2100 3221","5.626641529964532","-60.5","2021-04-10 19:40:33.508"
"922.75","59.8125","3039 6062 C3AD 3FC0 001F 4997","2.2641556429192065","-54.0","2021-04-10 19:40:33.533"
"922.75","9.75","3008 33B2 DDD9 0140 0000 0500","3.055689729468197","-45.5","2021-04-10 19:40:33.534"
"922.75","-87.875","3008 33B2 DDD9 0140 0000 1000","3.3624858870453256","-66.5","2021-04-10 19:40:33.535"
"922.75","42.6875","E280 1160 6000 0207 A652 186D","5.344389064993574","-62.0","2021-04-10 19:40:33.536"
"922.75","18.25","E200 001D 700E 0075 2100 3221","2.4911847995262812","-60.0","2021-04-10 19:40:33.537"
"922.75","46.375","E280 1160 6000 0207 A650 3C3C","3.0925052683774528","-66.0","2021-04-10 19:40:33.538"
"922.75","65.875","3035 15B8 9802 DE90 4000 11E7","4.000621894805752","-61.5","2021-04-10 19:40:33.538"
"922.75","-58.5625","E280 6890 0000 4006 F494 519E","4.239922897715912","-65.5","2021-04-10 19:40:33.539"
"922.75","3.5625","E280 1160 6000 0209 5014 ECA0","0.05522330836388308","-70.5","2021-04-10 19:40:33.55"
"922.75","-0.25","E200 001D 700E 0069 2100 2A9E","5.688000761479957","-70.0","2021-04-10 19:40:33.568"
