"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"912.75","-23.1875","3039 6062 C3AD 3FC0 001F 4997","0.4663301595172349","-52.5","2021-04-10 19:24:29.827"
"912.75","47.5625","3008 33B2 DDD9 0140 0000 0030","5.516194913236766","-52.5","2021-04-10 19:24:29.828"
"912.75","220.9375","E200 001D 700E 0075 2100 3221","6.178874613603362","-59.5","2021-04-10 19:24:29.829"
"912.75","92.75","E280 1160 6000 0207 A652 186D","3.6079228131070282","-64.5","2021-04-10 19:24:29.83"
"912.75","3.1875","E280 6890 0000 4006 F494 519E","0.7669903939428205","-67.5","2021-04-10 19:24:29.852"
"921.25","0.4375","0000 0000 02A1 1000 0000 0000","5.810719224510809","-66.0","2021-04-10 19:24:29.913"
"921.25","25.625","3035 15B8 9802 DE90 4000 11E7","4.565126824747668","-60.5","2021-04-10 19:24:29.964"
"921.25","14.625","3039 6062 C3AD 3FC0 001F 4997","2.718213956133356","-53.0","2021-04-10 19:24:29.966"
"921.25","9.75","3008 33B2 DDD9 0140 0000 0030","3.2090878082567613","-52.5","2021-04-10 19:24:29.966"
"921.25","-1.0625","3008 33B2 DDD9 0140 0000 1000","0.5583690067903734","-67.0","2021-04-10 19:24:29.978"
"921.25","-1.0625","E200 001D 700E 0075 2100 3221","2.8654761117703775","-60.5","2021-04-10 19:24:29.99"
"921.25","1.3125","E280 6890 0000 4006 F494 519E","1.4726215563702154","-67.5","2021-04-10 19:24:30.01"
"921.25","0.0","3039 6062 C3AD 3FC0 001F 4997","2.6875343403756435","-53.5","2021-04-10 19:24:30.012"
"921.25","25.625","3035 15B8 9802 DE90 4000 11E7","4.552854978444583","-60.5","2021-04-10 19:24:30.013"
"921.25","14.625","3008 33B2 DDD9 0140 0000 0030","3.227495577711389","-52.5","2021-04-10 19:24:30.015"
"921.25","-43.9375","E200 001D 700E 0075 2100 3221","2.9084275738311756","-60.0","2021-04-10 19:24:30.016"
"921.25","2.875","3008 33B2 DDD9 0140 0000 1000","0.5399612373357456","-67.0","2021-04-10 19:24:30.045"
"921.25","-2.9375","3039 5DFA 8332 E480 001D 4299","0.1227184630308513","-70.0","2021-04-10 19:24:30.063"
"913.25","-34.125","3008 33B2 DDD9 0140 0000 0030","5.4671075280244255","-52.0","2021-04-10 19:24:30.107"
"913.25","52.4375","E200 001D 700E 0075 2100 3221","0.02454369260617026","-59.0","2021-04-10 19:24:30.11"
"913.25","23.1875","3039 6062 C3AD 3FC0 001F 4997","0.2699806186678728","-54.0","2021-04-10 19:24:30.111"
"913.25","0.625","E200 001D 2610 0105 2640 4B0C","6.252505691421874","-68.5","2021-04-10 19:24:30.123"
"913.25","-0.25","0000 0000 02A1 1000 0000 0000","1.4480778637640452","-66.5","2021-04-10 19:24:30.141"
"913.25","-1.25","E280 1160 6000 0207 A652 186D","0.6320000846088841","-65.5","2021-04-10 19:24:30.152"
"913.25","-45.125","3039 6062 C3AD 3FC0 001F 4997","0.09817477042468103","-53.0","2021-04-10 19:24:30.155"
"913.25","-18.25","E200 001D 700E 0075 2100 3221","0.19634954084936207","-58.0","2021-04-10 19:24:30.156"
"913.25","-29.25","3008 33B2 DDD9 0140 0000 0030","5.522330836388308","-53.0","2021-04-10 19:24:30.157"
"913.25","2.6875","0000 0000 02A1 1000 0000 0000","1.2578642460662257","-66.0","2021-04-10 19:24:30.168"
"913.25","1.1875","E200 001D 2610 0105 2640 4B0C","6.227961998815704","-68.5","2021-04-10 19:24:30.183"
"913.25","4.875","3008 33B2 DDD9 0140 0000 0030","5.448699758569798","-54.0","2021-04-10 19:24:30.227"
"913.25","-42.6875","3039 6062 C3AD 3FC0 001F 4997","0.4049709280018093","-54.0","2021-04-10 19:24:30.23"
"913.25","-18.25","E200 001D 700E 0075 2100 3221","0.18407769454627693","-59.0","2021-04-10 19:24:30.23"
"913.25","-3.0","E280 6890 0000 4006 F494 519E","1.0799224746714913","-69.0","2021-04-10 19:24:30.24"
"913.25","-1.1875","E280 1160 6000 0207 A652 186D","0.5460971604872883","-65.5","2021-04-10 19:24:30.253"
"913.25","-4.6875","E280 1160 6000 0209 5014 ECA0","0.22089323345553233","-68.5","2021-04-10 19:24:30.269"
"913.25","-7.3125","3039 6062 C3AD 3FC0 001F 4997","0.19634954084936207","-53.0","2021-04-10 19:24:30.272"
"913.25","-184.3125","E200 001D 700E 0075 2100 3221","0.7240389318820226","-60.0","2021-04-10 19:24:30.273"
"913.25","-29.25","3008 33B2 DDD9 0140 0000 0030","5.460971604872882","-53.5","2021-04-10 19:24:30.274"
"913.25","3.125","E280 1160 6000 0207 A652 186D","0.3620194659410113","-66.0","2021-04-10 19:24:30.291"
"913.25","2.25","E280 6890 0000 4006 F494 519E","0.9878836273983529","-69.0","2021-04-10 19:24:30.303"
"921.75","42.6875","3008 33B2 DDD9 0140 0000 0030","3.11091303783208","-53.0","2021-04-10 19:24:30.366"
"921.75","-14.625","3039 6062 C3AD 3FC0 001F 4997","2.693670263527186","-53.5","2021-04-10 19:24:30.367"
"921.75","85.4375","E200 001D 700E 0075 2100 3221","2.3623304133438876","-60.0","2021-04-10 19:24:30.369"
"921.75","-9.75","3035 15B8 9802 DE90 4000 11E7","4.356505437595221","-60.5","2021-04-10 19:24:30.371"
"921.75","1.625","E280 6890 0000 4006 F494 519E","1.3130875544301088","-67.5","2021-04-10 19:24:30.381"
