"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"910.25","-32.9375","3039 6062 C3AD 3FC0 001F 4997","1.533980787885641","-53.0","2021-04-10 19:33:49.058"
"910.25","2.4375","3008 33B2 DDD9 0140 0000 0060","4.945554060143307","-44.5","2021-04-10 19:33:49.06"
"910.25","98.875","E200 001D 700E 0075 2100 3221","1.6689710972195777","-58.5","2021-04-10 19:33:49.06"
"910.25","-1.875","E280 1160 6000 0207 A650 3C3C","0.01227184630308513","-67.0","2021-04-10 19:33:49.07"
"910.25","4.1875","3008 33B2 DDD9 0140 0000 1100","1.3867186322486196","-65.0","2021-04-10 19:33:49.079"
"910.25","0.0","E280 1160 6000 0207 A652 186D","4.522175362686871","-63.5","2021-04-10 19:33:49.09"
"908.25","0.0","3008 33B2 DDD9 0140 0000 0060","5.553010452146021","-45.0","2021-04-10 19:33:49.103"
"908.25","9.75","3039 6062 C3AD 3FC0 001F 4997","2.1537090261914402","-54.5","2021-04-10 19:33:49.104"
"908.25","-101.3125","E200 001D 700E 0075 2100 3221","2.7550294950426117","-59.0","2021-04-10 19:33:49.104"
"908.25","2.3125","3008 33B2 DDD9 0140 0000 1100","5.47937937432751","-64.5","2021-04-10 19:33:49.121"
"908.25","-1.5625","E280 1160 6000 0207 A650 3C3C","4.135612204139688","-65.5","2021-04-10 19:33:49.134"
"908.25","0.0","3008 33B2 DDD9 0140 0000 0060","5.559146375297564","-45.5","2021-04-10 19:33:49.175"
"908.25","62.25","E200 001D 700E 0075 2100 3221","2.4605051837685683","-59.0","2021-04-10 19:33:49.176"
"908.25","19.5","3039 6062 C3AD 3FC0 001F 4997","2.3316507975861747","-56.0","2021-04-10 19:33:49.177"
"908.25","0.75","E280 1160 6000 0207 A652 186D","5.350524988145116","-64.0","2021-04-10 19:33:49.19"
"908.25","-1.875","3008 33B2 DDD9 0140 0000 1100","5.583690067903734","-65.5","2021-04-10 19:33:49.204"
"908.25","2.0","E280 1160 6000 0207 A650 3C3C","3.9085830475326135","-65.5","2021-04-10 19:33:49.214"
"908.25","26.8125","E280 1160 6000 0207 A652 186D","5.45483568172134","-64.0","2021-04-10 19:33:49.217"
"908.25","-4.875","E200 001D 700E 0075 2100 3221","2.5832236467994196","-57.0","2021-04-10 19:33:49.218"
"908.25","-9.75","3008 33B2 DDD9 0140 0000 0060","5.577554144752192","-45.0","2021-04-10 19:33:49.219"
"908.25","-42.6875","3039 6062 C3AD 3FC0 001F 4997","2.184388641949153","-53.5","2021-04-10 19:33:49.22"
"908.25","0.0625","3008 33B2 DDD9 0140 0000 1100","5.491651220630596","-65.5","2021-04-10 19:33:49.246"
"926.25","-0.125","3008 33B2 DDD9 0140 0000 1000","5.21553467881118","-65.0","2021-04-10 19:33:49.315"
