"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"920.25","30.5","3039 6062 C3AD 3FC0 001F 4997","3.1968159619536762","-53.0","2021-04-10 19:33:03.026"
"920.25","31.6875","E280 1160 6000 0207 A652 186D","0.4111068511533518","-62.0","2021-04-10 19:33:03.027"
"920.25","89.0625","E200 001D 700E 0075 2100 3221","3.3502140407422405","-61.5","2021-04-10 19:33:03.028"
"920.25","19.5","3008 33B2 DDD9 0140 0000 0080","3.2397674240144743","-51.5","2021-04-10 19:33:03.029"
"920.25","-4.5625","E200 001D 2610 0105 2640 4B0C","0.8958447801252144","-69.5","2021-04-10 19:33:03.041"
"920.25","0.625","E280 6890 0000 4006 F494 519E","1.8100973297050567","-68.5","2021-04-10 19:33:03.052"
"920.25","-0.0625","3035 15B8 9802 DE90 4000 11E7","1.7916895602504288","-66.5","2021-04-10 19:33:03.067"
"920.25","9.75","3008 33B2 DDD9 0140 0000 0080","3.2765829629237295","-52.0","2021-04-10 19:33:03.071"
"920.25","31.6875","E280 1160 6000 0207 A652 186D","0.30679615757712825","-63.5","2021-04-10 19:33:03.071"
"920.25","-14.625","3039 6062 C3AD 3FC0 001F 4997","3.2520392703175593","-52.5","2021-04-10 19:33:03.073"
"920.25","-91.5","E200 001D 700E 0075 2100 3221","3.380893656499953","-60.0","2021-04-10 19:33:03.074"
"920.25","-1.75","0000 0000 02A1 1000 0000 0000","0.3988350048502667","-66.5","2021-04-10 19:33:03.086"
"920.25","1.25","E200 001D 2610 0105 2640 4B0C","0.5583690067903734","-71.0","2021-04-10 19:33:03.106"
"903.75","3.5625","E280 6890 0000 4006 F494 519E","1.5585244804918115","-63.0","2021-04-10 19:33:03.124"
"903.75","-17.0625","3008 33B2 DDD9 0140 0000 0080","1.8223691760081417","-53.0","2021-04-10 19:33:03.176"
"903.75","-12.1875","3039 6062 C3AD 3FC0 001F 4997","3.472932503773092","-58.5","2021-04-10 19:33:03.178"
"903.75","-0.4375","E200 001D 700E 0075 2100 3221","3.6754179677739964","-61.5","2021-04-10 19:33:03.195"
"903.75","3.8125","E280 1160 6000 0207 A652 186D","1.000155473701438","-67.5","2021-04-10 19:33:03.218"
"903.75","3.3125","E280 6890 0000 4006 F494 519E","1.552388557340269","-64.5","2021-04-10 19:33:03.227"
"903.75","0.0","3008 33B2 DDD9 0140 0000 0080","1.9082721001297376","-52.0","2021-04-10 19:33:03.23"
"903.75","18.25","E200 001D 700E 0075 2100 3221","3.6754179677739964","-60.0","2021-04-10 19:33:03.232"
"903.75","163.5625","3039 6062 C3AD 3FC0 001F 4997","3.552699504743145","-58.0","2021-04-10 19:33:03.233"
"903.75","0.9375","E280 1160 6000 0207 A652 186D","1.1719613219446299","-67.5","2021-04-10 19:33:03.246"
"903.75","43.9375","3008 33B2 DDD9 0140 0000 0080","1.859184714917397","-51.0","2021-04-10 19:33:03.294"
"903.75","91.5","E200 001D 700E 0075 2100 3221","3.5036121195308043","-61.0","2021-04-10 19:33:03.297"
"903.75","-0.8125","0000 0000 02A1 1000 0000 0000","0.04295146206079795","-65.5","2021-04-10 19:33:03.307"
"923.75","2.6875","E280 6890 0000 4006 F494 519E","0.46019423636569234","-67.0","2021-04-10 19:33:03.318"
"923.75","11.5625","3008 33B2 DDD9 0140 0000 1000","6.154330920997192","-67.5","2021-04-10 19:33:03.32"
"923.75","10.625","3035 15B8 9802 DE90 4000 11E7","0.18100973297050565","-62.0","2021-04-10 19:33:03.322"
"923.75","5.1875","3039 6062 C3AD 3FC0 001F 4997","1.6935147898257479","-54.5","2021-04-10 19:33:03.325"
"923.75","-0.25","E280 1160 6000 0207 A650 3C3C","2.6599226861937018","-69.5","2021-04-10 19:33:03.327"
"923.75","9.125","E280 1160 6000 0207 A652 186D","1.8070293681292853","-63.0","2021-04-10 19:33:03.337"
"923.75","5.75","E200 001D 2610 0105 2440 4ABC","0.09203884727313846","-66.5","2021-04-10 19:33:03.342"
"923.75","3.0","E200 001D 700E 0069 2100 2A9E","4.583534594202296","-70.0","2021-04-10 19:33:03.362"
"923.75","4.625","3039 5DFA 8332 E480 001D 4299","5.589825991055276","-70.5","2021-04-10 19:33:03.372"
"923.75","17.0625","3008 33B2 DDD9 0140 0000 0080","2.184388641949153","-51.5","2021-04-10 19:33:03.384"
"923.75","14.625","3039 6062 C3AD 3FC0 001F 4997","1.846912868614312","-54.0","2021-04-10 19:33:03.386"
"923.75","-41.5","3035 15B8 9802 DE90 4000 11E7","3.650874275167826","-62.0","2021-04-10 19:33:03.387"
"923.75","78.125","E280 6890 0000 4006 F494 519E","3.5281558121369745","-66.0","2021-04-10 19:33:03.389"
"923.75","1.1875","E200 001D 700E 0075 2100 3221","1.736466251886546","-63.5","2021-04-10 19:33:03.4"
"923.75","-0.1875","E280 1160 6000 0207 A652 186D","5.049864753719531","-62.5","2021-04-10 19:33:03.409"
"923.75","-0.625","3039 5DFA 8332 E480 001D 4299","5.540738605842936","-69.5","2021-04-10 19:33:03.419"
"923.75","26.8125","3008 33B2 DDD9 0140 0000 0080","2.184388641949153","-51.0","2021-04-10 19:33:03.453"
"923.75","14.625","3039 6062 C3AD 3FC0 001F 4997","1.8162332528565992","-53.0","2021-04-10 19:33:03.454"
"923.75","-241.6875","3035 15B8 9802 DE90 4000 11E7","3.9085830475326135","-62.0","2021-04-10 19:33:03.454"
"923.75","0.625","E280 6890 0000 4006 F494 519E","0.5154175447295755","-67.0","2021-04-10 19:33:03.47"
"923.75","0.0","E280 1160 6000 0207 A652 186D","5.049864753719531","-62.0","2021-04-10 19:33:03.481"
"923.75","0.0","E200 001D 700E 0075 2100 3221","1.7855536370988863","-63.5","2021-04-10 19:33:03.493"
"923.75","103.75","3035 15B8 9802 DE90 4000 11E7","3.454524734318464","-62.5","2021-04-10 19:33:03.496"
