"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"908.75","9.75","3008 33B2 DDD9 0140 0000 0020","0.28225246497095796","-45.0","2021-04-10 23:58:52.997"
"908.75","4.875","E200 001D 1910 0116 1310 566E","4.565126824747668","-63.5","2021-04-10 23:58:52.999"
"908.75","97.625","E280 1160 6000 0207 A652 4164","5.47937937432751","-68.5","2021-04-10 23:58:53.0"
"908.75","17.0625","3008 33B2 DDD9 0140 0000 0020","0.2699806186678728","-45.0","2021-04-10 23:58:53.021"
"908.75","67.125","E200 001D 1910 0116 1310 566E","4.190835512503572","-63.0","2021-04-10 23:58:53.022"
"908.75","-19.5","E280 1160 6000 0207 A652 4164","5.632777453116074","-67.5","2021-04-10 23:58:53.023"
"915.75","-23.1875","E200 001D 1910 0116 1310 566E","0.3190680038802134","-64.5","2021-04-10 23:58:53.076"
"915.75","19.5","3008 33B2 DDD9 0140 0000 0020","4.411728745959104","-44.5","2021-04-10 23:58:53.077"
"915.75","-129.375","E280 1160 6000 0207 A652 4164","2.748893571891069","-68.0","2021-04-10 23:58:53.078"
"915.75","70.75","E280 1160 6000 0207 A652 4164","2.2089323345553233","-66.5","2021-04-10 23:58:53.099"
"915.75","39.0625","E200 001D 1910 0116 1310 566E","0.1227184630308513","-65.5","2021-04-10 23:58:53.1"
"915.75","7.3125","3008 33B2 DDD9 0140 0000 0020","4.4362724385652745","-44.5","2021-04-10 23:58:53.101"
"915.75","25.625","E200 001D 1910 0116 1310 566E","0.1718058482431918","-65.0","2021-04-10 23:58:53.154"
"915.75","-46.375","E280 1160 6000 0207 A652 4164","2.5341362615870793","-67.0","2021-04-10 23:58:53.156"
"915.75","4.875","3008 33B2 DDD9 0140 0000 0020","4.448544284868359","-44.5","2021-04-10 23:58:53.156"
"915.75","13.375","E200 001D 1910 0116 1310 566E","0.28225246497095796","-64.0","2021-04-10 23:58:53.178"
"915.75","19.5","E280 1160 6000 0207 A652 4164","2.2457478734645786","-67.5","2021-04-10 23:58:53.179"
"915.75","4.875","3008 33B2 DDD9 0140 0000 0020","4.442408361716817","-44.5","2021-04-10 23:58:53.18"
"915.75","4.875","3008 33B2 DDD9 0140 0000 0020","4.430136515413731","-45.0","2021-04-10 23:58:53.231"
"915.75","18.25","E200 001D 1910 0116 1310 566E","0.20248546400090464","-65.0","2021-04-10 23:58:53.233"
"915.75","-97.625","E280 1160 6000 0207 A652 4164","2.337786720737717","-67.5","2021-04-10 23:58:53.234"
"915.75","2.4375","3008 33B2 DDD9 0140 0000 0020","4.448544284868359","-44.5","2021-04-10 23:58:53.256"
"915.75","2.4375","E200 001D 1910 0116 1310 566E","0.1595340019401067","-65.5","2021-04-10 23:58:53.256"
"915.75","40.25","E280 1160 6000 0207 A652 4164","2.2641556429192065","-68.0","2021-04-10 23:58:53.258"
"902.75","64.6875","E200 001D 1910 0116 1310 566E","2.024854640009046","-64.5","2021-04-10 23:58:53.329"
"902.75","2.4375","3008 33B2 DDD9 0140 0000 0020","1.9573594853420782","-45.0","2021-04-10 23:58:53.331"
"902.75","-17.0625","E280 1160 6000 0207 A652 4164","2.024854640009046","-65.5","2021-04-10 23:58:53.332"
"902.75","0.5","E200 001D 1910 0119 1310 5A03","1.0246991663076084","-69.0","2021-04-10 23:58:53.356"
"902.75","31.6875","E200 001D 1910 0116 1310 566E","2.1966604882522383","-64.5","2021-04-10 23:58:53.362"
"902.75","2.4375","3008 33B2 DDD9 0140 0000 0020","1.9696313316451632","-45.0","2021-04-10 23:58:53.363"
"902.75","-48.8125","E280 1160 6000 0207 A652 4164","2.1659808724945253","-65.5","2021-04-10 23:58:53.366"
"902.75","-0.5","E200 001D 1910 0119 1310 5A03","1.0676506283684062","-69.0","2021-04-10 23:58:53.384"
"902.75","-26.8125","E280 1160 6000 0207 A652 4164","2.141437179888355","-65.5","2021-04-10 23:58:53.429"
