"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"914.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","2.6998061866787286","-48.0","2021-04-11 00:03:41.037"
"914.25","-59.8125","E200 001D 1910 0116 1310 566E","1.184233168247715","-66.0","2021-04-11 00:03:41.038"
"914.25","65.875","E280 1160 6000 0207 A652 4164","2.5586799541932495","-67.0","2021-04-11 00:03:41.039"
"914.25","12.1875","3008 33B2 DDD9 0140 0000 0040","2.6875343403756435","-47.5","2021-04-11 00:03:41.06"
"914.25","106.1875","E280 1160 6000 0207 A652 4164","2.5341362615870793","-68.0","2021-04-11 00:03:41.062"
"914.25","59.8125","E200 001D 1910 0116 1310 566E","0.8406214717613314","-64.5","2021-04-11 00:03:41.062"
"914.25","7.3125","E200 001D 1910 0116 1310 566E","1.0369710126106935","-67.0","2021-04-11 00:03:41.113"
"914.25","9.75","3008 33B2 DDD9 0140 0000 0040","2.693670263527186","-47.5","2021-04-11 00:03:41.116"
"914.25","-1.125","E280 1160 6000 0207 A652 4164","5.859806609723149","-68.0","2021-04-11 00:03:41.127"
"914.25","104.9375","E280 1160 6000 0207 A652 4164","2.4175537217077703","-67.0","2021-04-11 00:03:41.146"
"914.25","10.9375","E200 001D 1910 0116 1310 566E","1.1658253987930873","-66.0","2021-04-11 00:03:41.148"
"914.25","19.5","3008 33B2 DDD9 0140 0000 0040","2.6691265709210157","-47.5","2021-04-11 00:03:41.148"
"924.25","14.625","3008 33B2 DDD9 0140 0000 0040","0.17794177139473438","-47.5","2021-04-11 00:03:41.209"
"924.25","1.25","E280 1160 6000 0207 A652 4164","1.1903690913992575","-72.5","2021-04-11 00:03:41.248"
"924.25","12.1875","3008 33B2 DDD9 0140 0000 0040","0.16566992509164924","-47.5","2021-04-11 00:03:41.256"
"924.25","-2.5","E280 1160 6000 0207 A652 4164","0.9940195505498954","-72.0","2021-04-11 00:03:41.331"
"924.25","7.3125","3008 33B2 DDD9 0140 0000 0040","0.1718058482431918","-48.0","2021-04-11 00:03:41.369"
"911.25","185.5","E280 1160 6000 0207 A652 4164","3.5833791205008576","-67.0","2021-04-11 00:03:41.41"
"911.25","31.6875","E200 001D 1910 0116 1310 566E","2.4850488763747385","-65.0","2021-04-11 00:03:41.411"
"911.25","12.1875","3008 33B2 DDD9 0140 0000 0040","3.429981041712294","-47.5","2021-04-11 00:03:41.431"
"911.25","-21.9375","E280 1160 6000 0207 A652 4164","4.184699589352029","-68.0","2021-04-11 00:03:41.432"
"911.25","13.375","E200 001D 1910 0116 1310 566E","2.662990647769473","-66.0","2021-04-11 00:03:41.433"
"911.25","2.4375","3008 33B2 DDD9 0140 0000 0040","3.442252888015379","-47.5","2021-04-11 00:03:41.485"
"911.25","20.75","E200 001D 1910 0116 1310 566E","2.4727770300716534","-65.5","2021-04-11 00:03:41.486"
"911.25","-12.1875","E280 1160 6000 0207 A652 4164","4.2092432819582","-68.5","2021-04-11 00:03:41.488"
"911.25","17.0625","3008 33B2 DDD9 0140 0000 0040","3.4177091954092087","-48.0","2021-04-11 00:03:41.51"
"911.25","-25.625","E200 001D 1910 0116 1310 566E","2.5893595699509624","-65.5","2021-04-11 00:03:41.511"
"911.25","-129.375","E280 1160 6000 0207 A652 4164","4.479223900626073","-68.0","2021-04-11 00:03:41.511"
"911.25","-41.5","E200 001D 1910 0116 1310 566E","2.8716120349219203","-66.0","2021-04-11 00:03:41.563"
"911.25","2.4375","3008 33B2 DDD9 0140 0000 0040","3.423845118560751","-47.5","2021-04-11 00:03:41.565"
"911.25","0.25","E280 1160 6000 0207 A652 4164","0.9326603190344698","-67.5","2021-04-11 00:03:41.582"
"911.25","-67.125","E200 001D 1910 0116 1310 566E","2.8716120349219203","-65.5","2021-04-11 00:03:41.597"
"911.25","-61.0","E280 1160 6000 0207 A652 4164","4.331961744989051","-67.0","2021-04-11 00:03:41.598"
"911.25","12.1875","3008 33B2 DDD9 0140 0000 0040","3.429981041712294","-48.0","2021-04-11 00:03:41.599"
"927.25","-4.875","3008 33B2 DDD9 0140 0000 0040","5.730952223540755","-47.0","2021-04-11 00:03:41.666"
"927.25","-4.875","3008 33B2 DDD9 0140 0000 0040","5.749359992995383","-47.0","2021-04-11 00:03:41.69"
"927.25","-4.875","3008 33B2 DDD9 0140 0000 0040","5.755495916146925","-47.0","2021-04-11 00:03:41.731"
"927.25","9.75","3008 33B2 DDD9 0140 0000 0040","5.724816300389213","-47.0","2021-04-11 00:03:41.77"
"905.25","-7.3125","E280 1160 6000 0207 A652 4164","0.7485826244881929","-66.0","2021-04-11 00:03:41.823"
"905.25","7.3125","3008 33B2 DDD9 0140 0000 0040","4.9394181369917645","-47.0","2021-04-11 00:03:41.823"
"905.25","-18.25","E200 001D 1910 0116 1310 566E","0.6320000846088841","-66.5","2021-04-11 00:03:41.824"
"905.25","-59.8125","E280 1160 6000 0207 A652 4164","0.760854470791278","-65.0","2021-04-11 00:03:41.845"
"905.25","-15.8125","E200 001D 1910 0116 1310 566E","0.4663301595172349","-66.0","2021-04-11 00:03:41.847"
"905.25","4.875","3008 33B2 DDD9 0140 0000 0040","4.945554060143307","-47.5","2021-04-11 00:03:41.848"
"905.25","-0.5","E200 001D 1910 0119 1310 5A03","6.050020227420969","-70.0","2021-04-11 00:03:41.858"
"905.25","53.6875","E280 1160 6000 0207 A652 4164","0.4724660826687775","-66.0","2021-04-11 00:03:41.909"
"905.25","0.0","3008 33B2 DDD9 0140 0000 0040","4.933282213840222","-47.0","2021-04-11 00:03:41.911"
"905.25","7.3125","E200 001D 1910 0116 1310 566E","0.3620194659410113","-66.5","2021-04-11 00:03:41.912"
"905.25","-0.5","E200 001D 1910 0119 1310 5A03","6.178874613603362","-69.5","2021-04-11 00:03:41.933"
"905.25","70.75","E280 1160 6000 0207 A652 4164","0.760854470791278","-66.5","2021-04-11 00:03:41.946"
"905.25","-9.75","3008 33B2 DDD9 0140 0000 0040","4.9394181369917645","-47.0","2021-04-11 00:03:41.946"
"905.25","20.75","E200 001D 1910 0116 1310 566E","0.4172427743048944","-65.5","2021-04-11 00:03:41.947"
"905.25","1.4375","E200 001D 1910 0119 1310 5A03","6.056156150572511","-70.5","2021-04-11 00:03:41.963"
"905.25","-7.3125","3008 33B2 DDD9 0140 0000 0040","4.945554060143307","-47.0","2021-04-11 00:03:42.01"
"905.25","-34.125","E200 001D 1910 0116 1310 566E","0.5154175447295755","-65.5","2021-04-11 00:03:42.011"
"905.25","-41.5","E280 1160 6000 0207 A652 4164","0.6504078540635119","-66.5","2021-04-11 00:03:42.012"
"905.75","100.0625","E280 1160 6000 0207 A652 4164","0.25770877236478773","-65.5","2021-04-11 00:03:42.042"
"905.75","68.3125","E200 001D 1910 0116 1310 566E","6.258641614573416","-65.5","2021-04-11 00:03:42.042"
"905.75","-19.5","3008 33B2 DDD9 0140 0000 0040","4.853515212870168","-47.5","2021-04-11 00:03:42.043"
"905.75","34.125","E280 1160 6000 0207 A652 4164","0.4356505437595221","-66.0","2021-04-11 00:03:42.095"
"905.75","145.25","E200 001D 1910 0116 1310 566E","6.160466844148735","-66.0","2021-04-11 00:03:42.096"
"905.75","-12.1875","3008 33B2 DDD9 0140 0000 0040","4.853515212870168","-47.5","2021-04-11 00:03:42.098"
"905.75","-7.3125","3008 33B2 DDD9 0140 0000 0040","4.816699673960914","-47.5","2021-04-11 00:03:42.121"
"905.75","-46.375","E200 001D 1910 0116 1310 566E","0.19634954084936207","-65.0","2021-04-11 00:03:42.121"
"905.75","-14.625","E280 1160 6000 0207 A652 4164","0.4663301595172349","-65.0","2021-04-11 00:03:42.122"
"905.75","89.0625","E200 001D 1910 0116 1310 566E","6.258641614573416","-66.0","2021-04-11 00:03:42.174"
"905.75","21.9375","E280 1160 6000 0207 A652 4164","0.4172427743048944","-67.0","2021-04-11 00:03:42.175"
"905.75","4.875","3008 33B2 DDD9 0140 0000 0040","4.798291904506286","-47.5","2021-04-11 00:03:42.177"
"905.75","-2.4375","3008 33B2 DDD9 0140 0000 0040","4.804427827657828","-47.5","2021-04-11 00:03:42.199"
"905.75","-96.375","E200 001D 1910 0116 1310 566E","0.4295146206079795","-66.5","2021-04-11 00:03:42.2"
"905.75","-43.9375","E280 1160 6000 0207 A652 4164","0.5399612373357456","-66.0","2021-04-11 00:03:42.2"
"917.25","0.0","3008 33B2 DDD9 0140 0000 0040","2.0064468705544187","-47.5","2021-04-11 00:03:42.275"
"917.25","107.375","E200 001D 1910 0116 1310 566E","5.4671075280244255","-65.0","2021-04-11 00:03:42.277"
"917.25","65.875","E280 1160 6000 0207 A652 4164","1.012427320004523","-67.0","2021-04-11 00:03:42.278"
"917.25","146.4375","E280 1160 6000 0207 A652 4164","1.0062913968529805","-67.0","2021-04-11 00:03:42.299"
"917.25","19.5","3008 33B2 DDD9 0140 0000 0040","1.9634954084936207","-48.0","2021-04-11 00:03:42.3"
"917.25","-50.0","E200 001D 1910 0116 1310 566E","5.835262917116979","-65.0","2021-04-11 00:03:42.301"
"917.25","14.625","3008 33B2 DDD9 0140 0000 0040","1.9819031779482483","-47.5","2021-04-11 00:03:42.354"
"917.25","217.25","E280 1160 6000 0207 A652 4164","0.7485826244881929","-67.0","2021-04-11 00:03:42.356"
"917.25","-114.6875","E200 001D 1910 0116 1310 566E","5.970253226450915","-67.0","2021-04-11 00:03:42.357"
"917.25","-10.9375","E200 001D 1910 0116 1310 566E","5.64504929941916","-66.0","2021-04-11 00:03:42.378"
"917.25","7.3125","3008 33B2 DDD9 0140 0000 0040","1.9819031779482483","-47.5","2021-04-11 00:03:42.379"
"917.25","-12.1875","E280 1160 6000 0207 A652 4164","1.1535535524900022","-66.5","2021-04-11 00:03:42.38"
"920.75","2.4375","3008 33B2 DDD9 0140 0000 0040","1.0983302441261191","-47.5","2021-04-11 00:03:42.433"
"920.75","68.3125","E280 1160 6000 0207 A652 4164","5.675728915176872","-69.0","2021-04-11 00:03:42.434"
"920.75","68.3125","E200 001D 1910 0116 1310 566E","3.54042765844006","-67.0","2021-04-11 00:03:42.435"
"920.75","4.875","3008 33B2 DDD9 0140 0000 0040","1.0983302441261191","-47.5","2021-04-11 00:03:42.456"
"920.75","10.9375","E200 001D 1910 0116 1310 566E","3.6754179677739964","-66.5","2021-04-11 00:03:42.457"
"920.75","0.25","E280 1160 6000 0207 A652 4164","5.460971604872882","-69.5","2021-04-11 00:03:42.477"
"920.75","7.3125","3008 33B2 DDD9 0140 0000 0040","1.1044661672776617","-47.5","2021-04-11 00:03:42.52"
"920.75","34.125","E200 001D 1910 0116 1310 566E","3.6140587362585705","-66.0","2021-04-11 00:03:42.523"
"920.75","2.625","E280 1160 6000 0207 A652 4164","5.47937937432751","-70.5","2021-04-11 00:03:42.542"
"920.75","17.0625","3008 33B2 DDD9 0140 0000 0040","1.0676506283684062","-47.5","2021-04-11 00:03:42.557"
"920.75","0.0","E200 001D 1910 0116 1310 566E","3.730641276137879","-66.0","2021-04-11 00:03:42.557"
"920.75","1.5625","E280 1160 6000 0207 A652 4164","5.5100589900852235","-69.5","2021-04-11 00:03:42.578"
"920.75","4.875","3008 33B2 DDD9 0140 0000 0040","1.0983302441261191","-47.5","2021-04-11 00:03:42.621"
"920.75","48.8125","E200 001D 1910 0116 1310 566E","3.466796580621549","-66.5","2021-04-11 00:03:42.623"
"910.25","98.875","E280 1160 6000 0207 A652 4164","4.448544284868359","-66.5","2021-04-11 00:03:42.631"
"910.25","-2.4375","E200 001D 1910 0116 1310 566E","3.2765829629237295","-64.5","2021-04-11 00:03:42.654"
"910.25","4.875","3008 33B2 DDD9 0140 0000 0040","3.6999616603801666","-48.0","2021-04-11 00:03:42.655"
"910.25","-23.1875","E280 1160 6000 0207 A652 4164","4.706253057233147","-65.5","2021-04-11 00:03:42.656"
"910.25","17.0625","3008 33B2 DDD9 0140 0000 0040","3.6815538909255388","-48.0","2021-04-11 00:03:42.708"
"910.25","31.6875","E280 1160 6000 0207 A652 4164","4.749204519293945","-65.5","2021-04-11 00:03:42.709"
"910.25","13.375","E200 001D 1910 0116 1310 566E","3.4054373491061236","-65.0","2021-04-11 00:03:42.71"
"910.25","46.375","E200 001D 1910 0116 1310 566E","3.2581751934691017","-64.0","2021-04-11 00:03:42.732"
"910.25","17.0625","3008 33B2 DDD9 0140 0000 0040","3.6876898140770815","-48.0","2021-04-11 00:03:42.733"
"910.25","-41.5","E280 1160 6000 0207 A652 4164","4.700117134081604","-67.0","2021-04-11 00:03:42.734"
"910.25","17.0625","3008 33B2 DDD9 0140 0000 0040","3.6876898140770815","-47.5","2021-04-11 00:03:42.787"
"910.25","-75.625","E280 1160 6000 0207 A652 4164","4.902602598082509","-67.0","2021-04-11 00:03:42.788"
"910.25","50.0","E200 001D 1910 0116 1310 566E","3.2643111166206444","-65.0","2021-04-11 00:03:42.788"
"910.25","12.1875","3008 33B2 DDD9 0140 0000 0040","3.7122335066832517","-47.5","2021-04-11 00:03:42.811"
"910.25","-4.875","E200 001D 1910 0116 1310 566E","3.227495577711389","-64.0","2021-04-11 00:03:42.812"
"910.25","-124.5","E280 1160 6000 0207 A652 4164","4.706253057233147","-66.0","2021-04-11 00:03:42.813"
"903.25","9.75","3008 33B2 DDD9 0140 0000 0040","5.399612373357457","-47.0","2021-04-11 00:03:42.883"
"903.25","-12.1875","E280 1160 6000 0207 A652 4164","1.6198837120072371","-64.5","2021-04-11 00:03:42.885"
"903.25","0.875","E200 001D 1910 0119 1310 5A03","4.1172044346850605","-69.5","2021-04-11 00:03:42.907"
"903.25","-31.6875","E280 1160 6000 0207 A652 4164","1.6566992509164924","-65.0","2021-04-11 00:03:42.919"
"903.25","-17.0625","3008 33B2 DDD9 0140 0000 0040","5.436427912266712","-47.0","2021-04-11 00:03:42.92"
"903.25","-68.3125","E280 1160 6000 0207 A652 4164","1.6751070203711202","-65.5","2021-04-11 00:03:42.974"
"903.25","7.3125","3008 33B2 DDD9 0140 0000 0040","5.411884219660542","-47.0","2021-04-11 00:03:42.975"
"903.25","-1.125","E200 001D 1910 0116 1310 566E","2.0064468705544187","-67.0","2021-04-11 00:03:42.992"
"903.25","-9.75","3008 33B2 DDD9 0140 0000 0040","5.43029198911517","-47.0","2021-04-11 00:03:43.008"
"903.25","78.125","E280 1160 6000 0207 A652 4164","1.4726215563702154","-65.0","2021-04-11 00:03:43.009"
