"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"905.75","4.875","E280 1160 6000 0207 A652 4164","0.9510680884890975","-63.5","2021-04-11 00:15:17.283"
"905.75","83.0","E200 001D 1910 0116 1310 566E","5.994796919057086","-66.0","2021-04-11 00:15:17.285"
"905.75","2.4375","3008 33B2 DDD9 0140 0000 0020","0.6565437772150544","-48.5","2021-04-11 00:15:17.286"
"905.75","-21.9375","3008 33B2 DDD9 0140 0000 0020","0.6872233929727672","-48.0","2021-04-11 00:15:17.307"
"905.75","10.9375","E200 001D 1910 0116 1310 566E","0.04295146206079795","-64.0","2021-04-11 00:15:17.309"
"905.75","53.6875","E280 1160 6000 0207 A652 4164","0.7301748550335652","-65.5","2021-04-11 00:15:17.309"
"905.75","-9.75","E280 1160 6000 0207 A652 4164","0.8467573949128739","-66.0","2021-04-11 00:15:17.361"
"905.75","-64.6875","E200 001D 1910 0116 1310 566E","0.11658253987930872","-65.5","2021-04-11 00:15:17.362"
"905.75","-4.875","3008 33B2 DDD9 0140 0000 0020","0.6749515466696822","-48.0","2021-04-11 00:15:17.363"
"905.75","9.75","3008 33B2 DDD9 0140 0000 0020","0.6258641614573416","-48.0","2021-04-11 00:15:17.385"
"905.75","0.0","E200 001D 1910 0116 1310 566E","6.160466844148735","-65.5","2021-04-11 00:15:17.386"
"905.75","-17.0625","E280 1160 6000 0207 A652 4164","0.859029241215959","-64.0","2021-04-11 00:15:17.387"
"917.25","24.375","3008 33B2 DDD9 0140 0000 0020","4.111068511533518","-48.0","2021-04-11 00:15:17.462"
"917.25","-43.9375","E280 1160 6000 0207 A652 4164","1.2026409377023426","-66.5","2021-04-11 00:15:17.463"
"917.25","68.3125","E200 001D 1910 0116 1310 566E","5.485515297479052","-65.0","2021-04-11 00:15:17.464"
"917.25","-3.5","E200 001D 1910 0122 1310 5F19","2.84706834231575","-73.5","2021-04-11 00:15:17.5"
"917.25","141.5625","E280 1160 6000 0207 A652 4164","0.9756117810952678","-65.5","2021-04-11 00:15:17.505"
"917.25","-15.8125","E200 001D 1910 0116 1310 566E","5.688000761479957","-66.0","2021-04-11 00:15:17.507"
"917.25","2.4375","3008 33B2 DDD9 0140 0000 0020","4.172427743048944","-48.0","2021-04-11 00:15:17.508"
"917.25","-23.1875","E280 1160 6000 0207 A652 4164","1.1780972450961724","-65.0","2021-04-11 00:15:17.596"
"920.75","3.9375","3008 33B2 DDD9 0140 0000 0020","6.157398882572964","-47.5","2021-04-11 00:15:17.613"
"920.75","13.6875","E200 001D 1910 0116 1310 566E","0.641203969336198","-67.0","2021-04-11 00:15:17.615"
"920.75","17.0625","3008 33B2 DDD9 0140 0000 0020","3.0250101137104846","-47.5","2021-04-11 00:15:17.64"
"920.75","51.25","E280 1160 6000 0207 A652 4164","5.5100589900852235","-67.0","2021-04-11 00:15:17.641"
"920.75","-0.25","E200 001D 1910 0116 1310 566E","0.6442719309119693","-67.0","2021-04-11 00:15:17.654"
"920.75","-4.875","E200 001D 1910 0116 1310 566E","3.6815538909255388","-65.5","2021-04-11 00:15:17.703"
"920.75","19.5","3008 33B2 DDD9 0140 0000 0020","3.0372819600135696","-47.5","2021-04-11 00:15:17.704"
"920.75","-0.25","E280 1160 6000 0207 A652 4164","5.522330836388308","-67.5","2021-04-11 00:15:17.725"
"920.75","19.5","3008 33B2 DDD9 0140 0000 0020","3.031146036862027","-47.5","2021-04-11 00:15:17.737"
"920.75","52.4375","E200 001D 1910 0116 1310 566E","3.859495662320273","-66.0","2021-04-11 00:15:17.738"
"920.75","90.3125","E280 1160 6000 0207 A652 4164","5.2768939103266055","-65.5","2021-04-11 00:15:17.739"
"920.75","-192.8125","E200 001D 1910 0116 1310 566E","4.264466590322082","-65.5","2021-04-11 00:15:17.793"
"920.75","0.0","3008 33B2 DDD9 0140 0000 0020","3.0372819600135696","-47.5","2021-04-11 00:15:17.794"
"910.25","78.125","E280 1160 6000 0207 A652 4164","4.798291904506286","-65.0","2021-04-11 00:15:17.808"
"910.25","-19.5","E280 1160 6000 0207 A652 4164","4.804427827657828","-66.0","2021-04-11 00:15:17.816"
"910.25","-12.1875","3008 33B2 DDD9 0140 0000 0020","5.915029918087033","-49.5","2021-04-11 00:15:17.818"
"910.25","91.5","E200 001D 1910 0116 1310 566E","3.0250101137104846","-65.0","2021-04-11 00:15:17.819"
"910.25","17.0625","3008 33B2 DDD9 0140 0000 0020","5.878214379177777","-49.5","2021-04-11 00:15:17.87"
"910.25","87.875","E200 001D 1910 0116 1310 566E","3.055689729468197","-65.0","2021-04-11 00:15:17.871"
"910.25","-56.125","E280 1160 6000 0207 A652 4164","4.95168998329485","-64.5","2021-04-11 00:15:17.872"
"910.25","-19.5","3008 33B2 DDD9 0140 0000 0020","5.964117303299373","-49.5","2021-04-11 00:15:17.895"
"910.25","-17.0625","E280 1160 6000 0207 A652 4164","4.908738521234052","-63.5","2021-04-11 00:15:17.895"
"910.25","4.875","E200 001D 1910 0116 1310 566E","3.153864499892878","-64.5","2021-04-11 00:15:17.897"
"910.25","-17.0625","3008 33B2 DDD9 0140 0000 0020","5.957981380147831","-49.5","2021-04-11 00:15:17.948"
"910.25","54.875","E200 001D 1910 0116 1310 566E","3.1231848841351653","-64.5","2021-04-11 00:15:17.949"
"910.25","-73.1875","E280 1160 6000 0207 A652 4164","5.006913291658733","-64.0","2021-04-11 00:15:17.95"
"910.25","91.5","E200 001D 1910 0116 1310 566E","3.055689729468197","-63.5","2021-04-11 00:15:17.971"
"910.25","9.75","3008 33B2 DDD9 0140 0000 0020","5.896622148632405","-49.5","2021-04-11 00:15:17.972"
"910.25","14.625","E280 1160 6000 0207 A652 4164","4.914874444385594","-64.0","2021-04-11 00:15:17.974"
"903.25","75.625","E280 1160 6000 0207 A652 4164","2.061670178918302","-64.5","2021-04-11 00:15:18.026"
"903.25","-12.1875","3008 33B2 DDD9 0140 0000 0020","1.423534171157875","-47.0","2021-04-11 00:15:18.028"
"903.25","-1.75","E200 001D 1910 0116 1310 566E","1.902136176978195","-68.0","2021-04-11 00:15:18.051"
"903.25","9.75","3008 33B2 DDD9 0140 0000 0020","1.3621749396424494","-47.0","2021-04-11 00:15:18.058"
"903.25","95.1875","E280 1160 6000 0207 A652 4164","2.061670178918302","-64.5","2021-04-11 00:15:18.06"
"903.25","17.0625","3008 33B2 DDD9 0140 0000 0020","1.368310862793992","-47.0","2021-04-11 00:15:18.121"
"903.25","65.875","E280 1160 6000 0207 A652 4164","2.0371264863121317","-65.0","2021-04-11 00:15:18.122"
"903.25","14.625","E280 1160 6000 0207 A652 4164","2.1598449493429825","-64.0","2021-04-11 00:15:18.143"
"903.25","4.875","3008 33B2 DDD9 0140 0000 0020","1.368310862793992","-47.0","2021-04-11 00:15:18.144"
"903.25","-45.125","E280 1160 6000 0207 A652 4164","2.2764274892222915","-65.5","2021-04-11 00:15:18.198"
"903.25","-4.875","3008 33B2 DDD9 0140 0000 0020","1.3989904785517047","-47.0","2021-04-11 00:15:18.199"
"910.75","-241.6875","E200 001D 1910 0116 1310 566E","3.6017868899554855","-64.0","2021-04-11 00:15:18.228"
"910.75","51.25","E280 1160 6000 0207 A652 4164","4.565126824747668","-64.5","2021-04-11 00:15:18.228"
"910.75","0.0","3008 33B2 DDD9 0140 0000 0020","5.798447378207723","-49.5","2021-04-11 00:15:18.229"
"910.75","12.1875","3008 33B2 DDD9 0140 0000 0020","5.767767762450011","-49.0","2021-04-11 00:15:18.283"
"910.75","136.6875","E280 1160 6000 0207 A652 4164","4.448544284868359","-64.5","2021-04-11 00:15:18.284"
"910.75","0.875","E200 001D 1910 0116 1310 566E","5.945709533844745","-65.5","2021-04-11 00:15:18.298"
"910.75","-2.4375","E280 1160 6000 0207 A652 4164","4.522175362686871","-64.0","2021-04-11 00:15:18.313"
"910.75","64.6875","E200 001D 1910 0116 1310 566E","2.761165418194154","-64.0","2021-04-11 00:15:18.314"
"910.75","4.875","3008 33B2 DDD9 0140 0000 0020","5.773903685601553","-49.5","2021-04-11 00:15:18.316"
"910.75","26.8125","3008 33B2 DDD9 0140 0000 0020","5.743224069843841","-49.5","2021-04-11 00:15:18.369"
"910.75","-46.375","E280 1160 6000 0207 A652 4164","4.749204519293945","-64.5","2021-04-11 00:15:18.37"
"910.75","-87.875","E200 001D 1910 0116 1310 566E","3.141592653589793","-64.0","2021-04-11 00:15:18.371"
"910.75","36.5625","E200 001D 1910 0116 1310 566E","2.730485802436441","-65.0","2021-04-11 00:15:18.392"
"910.75","31.6875","E280 1160 6000 0207 A652 4164","4.614214209960009","-63.5","2021-04-11 00:15:18.393"
"910.75","12.1875","3008 33B2 DDD9 0140 0000 0020","5.8045833013592665","-49.0","2021-04-11 00:15:18.394"
"912.75","78.125","E200 001D 1910 0116 1310 566E","1.5953400194010667","-64.0","2021-04-11 00:15:18.446"
"912.75","14.625","3008 33B2 DDD9 0140 0000 0020","5.313709449235861","-49.0","2021-04-11 00:15:18.447"
"912.75","-56.125","E280 1160 6000 0207 A652 4164","3.7122335066832517","-64.0","2021-04-11 00:15:18.448"
"912.75","29.25","E280 1160 6000 0207 A652 4164","3.56497135104623","-64.0","2021-04-11 00:15:18.47"
"912.75","62.25","E200 001D 1910 0116 1310 566E","1.7119225592803755","-64.5","2021-04-11 00:15:18.472"
"912.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","5.338253141842031","-49.0","2021-04-11 00:15:18.472"
"912.75","46.375","E280 1160 6000 0207 A652 4164","3.399301425954581","-63.5","2021-04-11 00:15:18.549"
"912.75","23.1875","3008 33B2 DDD9 0140 0000 0020","5.307573526084319","-49.0","2021-04-11 00:15:18.55"
"912.75","93.9375","E200 001D 1910 0116 1310 566E","1.576932249946439","-65.0","2021-04-11 00:15:18.551"
"912.75","9.75","3008 33B2 DDD9 0140 0000 0020","5.301437602932776","-49.0","2021-04-11 00:15:18.572"
"912.75","39.0625","E280 1160 6000 0207 A652 4164","3.497476196379262","-65.0","2021-04-11 00:15:18.574"
"912.75","-20.75","E200 001D 1910 0116 1310 566E","1.8223691760081417","-65.0","2021-04-11 00:15:18.574"
"912.75","4.875","3008 33B2 DDD9 0140 0000 0020","5.325981295538946","-49.0","2021-04-11 00:15:18.626"
"912.75","83.0","E280 1160 6000 0207 A652 4164","3.3195344249845276","-64.5","2021-04-11 00:15:18.627"
"912.75","15.8125","E200 001D 1910 0116 1310 566E","1.7732817907958012","-64.5","2021-04-11 00:15:18.628"
"918.75","9.75","E280 1160 6000 0207 A652 4164","0.06135923151542565","-64.5","2021-04-11 00:15:18.666"
"918.75","17.0625","3008 33B2 DDD9 0140 0000 0020","3.6754179677739964","-47.5","2021-04-11 00:15:18.668"
"918.75","18.25","E200 001D 1910 0116 1310 566E","4.994641445355648","-65.0","2021-04-11 00:15:18.668"
"918.75","24.375","3008 33B2 DDD9 0140 0000 0020","3.663146121470911","-48.0","2021-04-11 00:15:18.721"
"918.75","-17.0625","E280 1160 6000 0207 A652 4164","6.258641614573416","-65.5","2021-04-11 00:15:18.722"
"918.75","-10.9375","E200 001D 1910 0116 1310 566E","4.95168998329485","-64.0","2021-04-11 00:15:18.723"
"918.75","26.8125","3008 33B2 DDD9 0140 0000 0020","3.6692820446224537","-47.5","2021-04-11 00:15:18.744"
"918.75","-58.5625","E280 1160 6000 0207 A652 4164","0.04908738521234052","-67.0","2021-04-11 00:15:18.746"
"918.75","-43.9375","E200 001D 1910 0116 1310 566E","5.062136600022616","-64.0","2021-04-11 00:15:18.747"
"918.75","-4.875","3008 33B2 DDD9 0140 0000 0020","3.706097583531709","-48.0","2021-04-11 00:15:18.798"
