"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"918.75","24.375","E280 1160 6000 0207 A652 4164","0.28838838812250056","-68.0","2021-04-11 00:18:53.288"
"918.75","10.9375","E200 001D 1910 0116 1310 566E","4.755340442445488","-64.5","2021-04-11 00:18:53.289"
"918.75","0.0","3008 33B2 DDD9 0140 0000 0040","4.620350133111551","-47.5","2021-04-11 00:18:53.29"
"918.75","51.25","E280 1160 6000 0207 A652 4164","0.03681553890925539","-67.5","2021-04-11 00:18:53.312"
"918.75","20.75","E200 001D 1910 0116 1310 566E","4.878058905476339","-64.0","2021-04-11 00:18:53.313"
"918.75","-2.4375","3008 33B2 DDD9 0140 0000 0040","4.638757902566179","-47.5","2021-04-11 00:18:53.314"
"918.75","-7.3125","E200 001D 1910 0116 1310 566E","4.822835597112456","-65.0","2021-04-11 00:18:53.367"
"918.75","-7.3125","3008 33B2 DDD9 0140 0000 0040","4.632621979414636","-47.5","2021-04-11 00:18:53.367"
"918.75","46.375","E280 1160 6000 0207 A652 4164","0.07363107781851078","-68.0","2021-04-11 00:18:53.368"
"918.75","0.0","3008 33B2 DDD9 0140 0000 0040","4.626486056263094","-47.5","2021-04-11 00:18:53.392"
"918.75","9.75","E280 1160 6000 0207 A652 4164","0.16566992509164924","-68.0","2021-04-11 00:18:53.392"
"918.75","-57.3125","E200 001D 1910 0116 1310 566E","4.896466674930966","-64.0","2021-04-11 00:18:53.393"
"925.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","2.5157284921324514","-46.0","2021-04-11 00:18:53.445"
"925.25","0.5625","E280 1160 6000 0207 A652 4164","0.4049709280018093","-72.0","2021-04-11 00:18:53.471"
"925.25","12.1875","3008 33B2 DDD9 0140 0000 0040","2.5157284921324514","-46.0","2021-04-11 00:18:53.478"
"925.25","1.875","E280 1160 6000 0207 A652 4164","0.09817477042468103","-73.0","2021-04-11 00:18:53.504"
"925.25","17.0625","3008 33B2 DDD9 0140 0000 0040","2.5034566458293663","-46.0","2021-04-11 00:18:53.541"
"925.25","1.4375","E200 001D 1910 0116 1310 566E","1.509437095279471","-68.5","2021-04-11 00:18:53.556"
"925.25","-0.8125","E280 1160 6000 0207 A652 4164","0.521553467881118","-71.0","2021-04-11 00:18:53.585"
"925.25","2.4375","3008 33B2 DDD9 0140 0000 0040","2.521864415283994","-46.0","2021-04-11 00:18:53.593"
"925.25","-0.125","E280 1160 6000 0207 A652 4164","0.32520392703175593","-71.0","2021-04-11 00:18:53.629"
"923.75","7.3125","3008 33B2 DDD9 0140 0000 0040","3.018874190558942","-46.5","2021-04-11 00:18:53.673"
"923.75","1.0625","E280 1160 6000 0207 A652 4164","0.9081166264282996","-71.5","2021-04-11 00:18:53.694"
"923.75","0.0","3008 33B2 DDD9 0140 0000 0040","3.0066023442558567","-46.0","2021-04-11 00:18:53.706"
"923.75","1.25","E200 001D 1910 0116 1310 566E","2.043262409463674","-68.5","2021-04-11 00:18:53.72"
"923.75","-0.9375","E280 1160 6000 0207 A652 4164","0.9510680884890975","-71.0","2021-04-11 00:18:53.739"
"923.75","4.875","3008 33B2 DDD9 0140 0000 0040","3.000466421104314","-46.5","2021-04-11 00:18:53.778"
"923.75","-0.1875","E280 1160 6000 0207 A652 4164","1.086058397823034","-70.5","2021-04-11 00:18:53.791"
"923.75","0.0625","E200 001D 1910 0116 1310 566E","2.098485717827557","-68.0","2021-04-11 00:18:53.804"
"923.75","4.875","3008 33B2 DDD9 0140 0000 0040","3.000466421104314","-46.5","2021-04-11 00:18:53.819"
"923.75","10.9375","E200 001D 1910 0116 1310 566E","2.1659808724945253","-68.0","2021-04-11 00:18:53.82"
"908.25","17.0625","E280 1160 6000 0207 A652 4164","5.553010452146021","-66.0","2021-04-11 00:18:53.842"
"908.25","87.875","E200 001D 1910 0116 1310 566E","4.227651051412827","-63.0","2021-04-11 00:18:53.894"
"908.25","4.875","3008 33B2 DDD9 0140 0000 0040","1.0369710126106935","-49.0","2021-04-11 00:18:53.895"
"908.25","26.8125","E280 1160 6000 0207 A652 4164","5.66959299202533","-65.5","2021-04-11 00:18:53.896"
"908.25","15.8125","E200 001D 1910 0116 1310 566E","4.4362724385652745","-64.0","2021-04-11 00:18:53.916"
"908.25","107.375","E280 1160 6000 0207 A652 4164","5.6941366846315","-65.0","2021-04-11 00:18:53.918"
"908.25","26.8125","3008 33B2 DDD9 0140 0000 0040","0.9633399347921826","-49.0","2021-04-11 00:18:53.918"
"908.25","-65.875","E280 1160 6000 0207 A652 4164","5.902758071783947","-67.0","2021-04-11 00:18:53.971"
"908.25","4.875","3008 33B2 DDD9 0140 0000 0040","1.0185632431560658","-49.0","2021-04-11 00:18:53.972"
"908.25","4.875","E200 001D 1910 0116 1310 566E","4.509903516383785","-64.5","2021-04-11 00:18:53.973"
"908.25","2.4375","3008 33B2 DDD9 0140 0000 0040","1.0246991663076084","-49.0","2021-04-11 00:18:53.994"
"908.25","0.0","E200 001D 1910 0116 1310 566E","4.479223900626073","-64.0","2021-04-11 00:18:53.995"
"908.25","-80.5625","E280 1160 6000 0207 A652 4164","5.798447378207723","-65.5","2021-04-11 00:18:53.996"
"926.25","9.75","3008 33B2 DDD9 0140 0000 0040","2.184388641949153","-46.0","2021-04-11 00:18:54.05"
"926.25","-1.125","E200 001D 1910 0116 1310 566E","4.270602513473625","-70.0","2021-04-11 00:18:54.079"
"926.25","4.25","E280 1160 6000 0207 A652 4164","5.970253226450915","-72.5","2021-04-11 00:18:54.189"
"926.25","2.4375","3008 33B2 DDD9 0140 0000 0040","2.2027964114037806","-46.0","2021-04-11 00:18:54.196"
"926.25","-3.125","E200 001D 1910 0116 1310 566E","1.0369710126106935","-68.5","2021-04-11 00:18:54.219"
"907.75","-31.6875","E280 1160 6000 0207 A652 4164","6.080699843178682","-65.5","2021-04-11 00:18:54.25"
"907.75","9.75","3008 33B2 DDD9 0140 0000 0040","1.1290098598838318","-48.5","2021-04-11 00:18:54.302"
"907.75","14.625","E280 1160 6000 0207 A652 4164","5.93343768754166","-65.5","2021-04-11 00:18:54.303"
"907.75","52.4375","E200 001D 1910 0116 1310 566E","4.6878452877785195","-63.5","2021-04-11 00:18:54.304"
"907.75","-41.5","E200 001D 1910 0116 1310 566E","4.816699673960914","-64.0","2021-04-11 00:18:54.325"
"907.75","9.75","E280 1160 6000 0207 A652 4164","6.031612457966341","-65.0","2021-04-11 00:18:54.326"
"907.75","2.4375","3008 33B2 DDD9 0140 0000 0040","1.1474176293384597","-49.0","2021-04-11 00:18:54.328"
"907.75","85.4375","E200 001D 1910 0116 1310 566E","4.540583132141498","-63.5","2021-04-11 00:18:54.38"
"907.75","7.3125","3008 33B2 DDD9 0140 0000 0040","1.1290098598838318","-48.5","2021-04-11 00:18:54.381"
