"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"924.75","9.75","3008 33B2 DDD9 0140 0000 0000","5.2339424482658075","-52.5","2021-04-11 14:35:57.375"
"910.75","26.8125","3008 33B2 DDD9 0140 0000 0000","3.6263305825616556","-51.0","2021-04-11 14:35:57.436"
"910.75","48.8125","E200 001D 1910 0116 1310 566E","2.564815877344792","-64.5","2021-04-11 14:35:57.437"
"910.75","-0.0625","E200 001D 1910 0118 1310 566F","4.92714629068868","-69.5","2021-04-11 14:35:57.459"
"910.75","-23.1875","E200 001D 1910 0116 1310 566E","2.724349879284899","-64.0","2021-04-11 14:35:57.471"
"910.75","31.6875","3008 33B2 DDD9 0140 0000 0000","3.6079228131070282","-51.0","2021-04-11 14:35:57.472"
"910.75","52.4375","E200 001D 1910 0116 1310 566E","2.5893595699509624","-63.5","2021-04-11 14:35:57.526"
"910.75","0.0","3008 33B2 DDD9 0140 0000 0000","3.6692820446224537","-51.0","2021-04-11 14:35:57.528"
"910.75","17.0625","3008 33B2 DDD9 0140 0000 0000","3.6201946594101133","-51.0","2021-04-11 14:35:57.549"
"910.75","89.0625","E200 001D 1910 0116 1310 566E","2.4727770300716534","-64.0","2021-04-11 14:35:57.55"
"910.75","-1.5","E200 001D 1910 0118 1310 566F","1.8100973297050567","-68.5","2021-04-11 14:35:57.569"
"910.75","19.5","3008 33B2 DDD9 0140 0000 0000","3.6324665057131984","-51.0","2021-04-11 14:35:57.615"
"917.25","1.75","E200 001D 1910 0116 1310 566E","5.111223985234957","-66.5","2021-04-11 14:35:57.646"
"917.25","1.1875","E200 001D 1910 0118 1310 566F","4.23378697456437","-70.0","2021-04-11 14:35:57.665"
"917.25","29.25","E200 001D 1910 0116 1310 566E","5.368932757599744","-65.5","2021-04-11 14:35:57.673"
"917.25","17.0625","3008 33B2 DDD9 0140 0000 0000","1.4910293258248433","-52.0","2021-04-11 14:35:57.674"
"917.25","-12.1875","3008 33B2 DDD9 0140 0000 0000","1.533980787885641","-52.0","2021-04-11 14:35:57.728"
"917.25","161.125","E200 001D 1910 0116 1310 566E","5.092816215780329","-65.0","2021-04-11 14:35:57.73"
"917.25","-91.5","E200 001D 1910 0116 1310 566E","5.553010452146021","-66.0","2021-04-11 14:35:57.751"
"917.25","7.3125","3008 33B2 DDD9 0140 0000 0000","1.4787574795217582","-52.0","2021-04-11 14:35:57.752"
"917.25","0.4375","E200 001D 1910 0118 1310 566F","1.1596894756415448","-69.5","2021-04-11 14:35:57.767"
"917.25","-25.625","E200 001D 1910 0116 1310 566E","5.3198453723874035","-65.5","2021-04-11 14:35:57.816"
"917.25","4.875","3008 33B2 DDD9 0140 0000 0000","1.5278448647340985","-52.0","2021-04-11 14:35:57.817"
"917.25","2.0","E200 001D 1910 0118 1310 566F","4.184699589352029","-69.5","2021-04-11 14:35:57.833"
"904.75","26.8125","E200 001D 1910 0119 1310 5A03","5.626641529964532","-67.5","2021-04-11 14:35:57.841"
"904.75","-17.0625","3008 33B2 DDD9 0140 0000 0000","5.577554144752192","-51.0","2021-04-11 14:35:57.862"
"904.75","-31.6875","E200 001D 1910 0119 1310 5A03","5.66959299202533","-66.0","2021-04-11 14:35:57.863"
"904.75","-18.25","E200 001D 1910 0116 1310 566E","0.46019423636569234","-66.5","2021-04-11 14:35:57.865"
"904.75","-7.3125","E200 001D 1910 0116 1310 566E","0.4479223900626072","-65.5","2021-04-11 14:35:57.918"
"904.75","-9.75","3008 33B2 DDD9 0140 0000 0000","5.559146375297564","-51.5","2021-04-11 14:35:57.919"
"904.75","21.9375","E200 001D 1910 0119 1310 5A03","5.485515297479052","-67.0","2021-04-11 14:35:57.92"
"904.75","-263.625","E200 001D 1910 0116 1310 566E","1.1965050145508","-65.5","2021-04-11 14:35:57.941"
"904.75","7.3125","E200 001D 1910 0119 1310 5A03","5.663457068873787","-67.5","2021-04-11 14:35:57.943"
"904.75","2.4375","3008 33B2 DDD9 0140 0000 0000","5.565282298449106","-51.0","2021-04-11 14:35:57.945"
"904.75","67.125","E200 001D 1910 0116 1310 566E","0.1718058482431918","-66.5","2021-04-11 14:35:57.996"
"904.75","45.125","E200 001D 1910 0119 1310 5A03","5.448699758569798","-66.0","2021-04-11 14:35:57.997"
"904.75","12.1875","3008 33B2 DDD9 0140 0000 0000","5.553010452146021","-51.5","2021-04-11 14:35:58.0"
"904.75","91.5","E200 001D 1910 0116 1310 566E","0.2270291566070749","-65.5","2021-04-11 14:35:58.02"
"904.75","-4.875","3008 33B2 DDD9 0140 0000 0000","5.5714182216006485","-51.5","2021-04-11 14:35:58.021"
"904.75","-0.125","E200 001D 1910 0119 1310 5A03","5.577554144752192","-67.0","2021-04-11 14:35:58.04"
"905.75","24.375","E200 001D 1910 0119 1310 5A03","4.945554060143307","-66.5","2021-04-11 14:35:58.101"
"905.75","0.0","E200 001D 1910 0116 1310 566E","5.93343768754166","-65.5","2021-04-11 14:35:58.102"
"905.75","-12.1875","3008 33B2 DDD9 0140 0000 0000","5.264622064023521","-50.5","2021-04-11 14:35:58.103"
"905.75","13.375","E200 001D 1910 0119 1310 5A03","4.9823695990525625","-66.5","2021-04-11 14:35:58.124"
"905.75","19.5","3008 33B2 DDD9 0140 0000 0000","5.197126909356553","-51.0","2021-04-11 14:35:58.125"
