"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"911.25","109.8125","E200 001D 1910 0116 1310 566E","2.073942025221387","-64.0","2021-04-11 14:35:07.42"
"911.25","14.625","3008 33B2 DDD9 0140 0000 0000","3.5711072741977725","-49.5","2021-04-11 14:35:07.422"
"911.25","83.0","E200 001D 1910 0116 1310 566E","2.2518837966161214","-65.0","2021-04-11 14:35:07.444"
"911.25","0.0","3008 33B2 DDD9 0140 0000 0000","3.6079228131070282","-49.5","2021-04-11 14:35:07.446"
"911.25","19.5","3008 33B2 DDD9 0140 0000 0000","3.5465635815916023","-49.5","2021-04-11 14:35:07.498"
"911.25","59.8125","E200 001D 1910 0116 1310 566E","2.399145952253143","-66.0","2021-04-11 14:35:07.5"
"911.25","26.8125","3008 33B2 DDD9 0140 0000 0000","3.5342917352885173","-49.5","2021-04-11 14:35:07.521"
"911.25","2.4375","E200 001D 1910 0116 1310 566E","2.478912953223196","-65.5","2021-04-11 14:35:07.524"
"909.25","-93.9375","E200 001D 1910 0116 1310 566E","3.8963112012295285","-64.5","2021-04-11 14:35:07.594"
"909.25","9.75","3008 33B2 DDD9 0140 0000 0000","4.246058820867455","-49.0","2021-04-11 14:35:07.596"
"909.25","-0.4375","E200 001D 1910 0119 1310 5A03","6.252505691421874","-67.5","2021-04-11 14:35:07.612"
"909.25","-2.4375","3008 33B2 DDD9 0140 0000 0000","4.252194744018997","-49.5","2021-04-11 14:35:07.629"
"909.25","15.8125","E200 001D 1910 0116 1310 566E","3.6692820446224537","-65.0","2021-04-11 14:35:07.63"
"909.25","-0.9375","E200 001D 1910 0119 1310 5A03","6.215690152512618","-67.5","2021-04-11 14:35:07.643"
"909.25","21.9375","3008 33B2 DDD9 0140 0000 0000","4.227651051412827","-49.5","2021-04-11 14:35:07.693"
"909.25","3.1875","E200 001D 1910 0119 1310 5A03","6.178874613603362","-67.5","2021-04-11 14:35:07.705"
"909.25","-0.25","E200 001D 1910 0116 1310 566E","3.6570101983193686","-65.5","2021-04-11 14:35:07.714"
"912.75","-2.4375","3008 33B2 DDD9 0140 0000 0000","3.0802334220743677","-50.0","2021-04-11 14:35:07.761"
"912.75","-43.9375","E200 001D 1910 0116 1310 566E","1.662835174068035","-65.0","2021-04-11 14:35:07.763"
"912.75","98.875","E200 001D 1910 0116 1310 566E","1.6321555583103222","-64.0","2021-04-11 14:35:07.816"
"912.75","9.75","3008 33B2 DDD9 0140 0000 0000","3.0802334220743677","-50.0","2021-04-11 14:35:07.816"
"912.75","7.3125","3008 33B2 DDD9 0140 0000 0000","3.067961575771282","-50.0","2021-04-11 14:35:07.84"
"912.75","-10.9375","E200 001D 1910 0116 1310 566E","1.576932249946439","-65.0","2021-04-11 14:35:07.84"
"912.75","-57.3125","E200 001D 1910 0116 1310 566E","1.7426021750380885","-64.5","2021-04-11 14:35:07.895"
"912.75","-2.4375","3008 33B2 DDD9 0140 0000 0000","3.117048960983623","-49.5","2021-04-11 14:35:07.896"
"912.75","17.0625","3008 33B2 DDD9 0140 0000 0000","3.055689729468197","-50.0","2021-04-11 14:35:07.919"
"912.75","0.5625","E200 001D 1910 0116 1310 566E","1.6260196351587797","-65.5","2021-04-11 14:35:07.929"
"912.75","-0.625","E200 001D 1910 0118 1310 566F","0.803805932852076","-68.5","2021-04-11 14:35:07.939"
"915.75","-18.0","E200 001D 1910 0119 1310 5A03","5.982525072754001","-69.0","2021-04-11 14:35:07.951"
"915.75","14.625","3008 33B2 DDD9 0140 0000 0000","2.110757564130642","-49.5","2021-04-11 14:35:08.008"
"915.75","114.6875","E200 001D 1910 0116 1310 566E","6.154330920997192","-65.5","2021-04-11 14:35:08.009"
"915.75","-48.8125","E200 001D 1910 0116 1310 566E","0.18407769454627693","-64.5","2021-04-11 14:35:08.032"
"915.75","7.3125","3008 33B2 DDD9 0140 0000 0000","2.1046216409791","-50.0","2021-04-11 14:35:08.034"
"915.75","2.4375","3008 33B2 DDD9 0140 0000 0000","2.1046216409791","-49.5","2021-04-11 14:35:08.087"
"915.75","-83.0","E200 001D 1910 0116 1310 566E","0.21475731030398976","-65.0","2021-04-11 14:35:08.089"
"915.75","0.0","E200 001D 1910 0118 1310 566F","2.1537090261914402","-69.5","2021-04-11 14:35:08.107"
"915.75","-119.625","E200 001D 1910 0116 1310 566E","0.22089323345553233","-65.5","2021-04-11 14:35:08.122"
"915.75","17.0625","3008 33B2 DDD9 0140 0000 0000","2.086213871524472","-49.5","2021-04-11 14:35:08.124"
"915.75","2.25","E200 001D 1910 0118 1310 566F","5.166447293598839","-69.5","2021-04-11 14:35:08.134"
"916.25","-7.3125","3008 33B2 DDD9 0140 0000 0000","1.9634954084936207","-49.5","2021-04-11 14:35:08.196"
"916.25","-2.4375","E200 001D 1910 0116 1310 566E","6.129787228391022","-65.5","2021-04-11 14:35:08.197"
"916.25","0.4375","E200 001D 1910 0118 1310 566F","5.062136600022616","-69.5","2021-04-11 14:35:08.219"
"916.25","9.75","3008 33B2 DDD9 0140 0000 0000","1.9205439464328227","-49.0","2021-04-11 14:35:08.23"
"916.25","-93.9375","E200 001D 1910 0116 1310 566E","6.129787228391022","-65.5","2021-04-11 14:35:08.232"
"916.25","31.6875","E200 001D 1910 0116 1310 566E","5.945709533844745","-66.5","2021-04-11 14:35:08.284"
"916.25","19.5","3008 33B2 DDD9 0140 0000 0000","1.902136176978195","-49.5","2021-04-11 14:35:08.286"
"916.25","-4.875","E200 001D 1910 0116 1310 566E","6.025476534814799","-65.0","2021-04-11 14:35:08.308"
"916.25","7.3125","3008 33B2 DDD9 0140 0000 0000","1.9205439464328227","-49.5","2021-04-11 14:35:08.309"
"916.25","-0.75","E200 001D 1910 0118 1310 566F","5.056000676871073","-69.5","2021-04-11 14:35:08.32"
"906.25","-31.6875","3008 33B2 DDD9 0140 0000 0000","5.221670601962723","-49.5","2021-04-11 14:35:08.395"
"906.25","8.5","E200 001D 1910 0119 1310 5A03","4.724660826687775","-66.5","2021-04-11 14:35:08.396"
"906.25","41.5","E200 001D 1910 0116 1310 566E","5.5284667595398505","-65.0","2021-04-11 14:35:08.398"
"906.25","-18.25","E200 001D 1910 0116 1310 566E","5.620505606812989","-65.0","2021-04-11 14:35:08.42"
"906.25","4.875","3008 33B2 DDD9 0140 0000 0000","5.141903600992669","-49.5","2021-04-11 14:35:08.42"
"906.25","75.625","E200 001D 1910 0119 1310 5A03","4.479223900626073","-67.5","2021-04-11 14:35:08.421"
"906.25","-18.25","E200 001D 1910 0119 1310 5A03","4.6878452877785195","-66.5","2021-04-11 14:35:08.474"
"906.25","-43.9375","E200 001D 1910 0116 1310 566E","5.583690067903734","-65.5","2021-04-11 14:35:08.474"
"906.25","-4.875","3008 33B2 DDD9 0140 0000 0000","5.178719139901925","-49.5","2021-04-11 14:35:08.476"
"906.25","59.8125","E200 001D 1910 0119 1310 5A03","4.540583132141498","-67.0","2021-04-11 14:35:08.499"
"906.25","9.75","3008 33B2 DDD9 0140 0000 0000","5.135767677841127","-49.5","2021-04-11 14:35:08.5"
"906.25","-31.6875","E200 001D 1910 0116 1310 566E","5.626641529964532","-65.5","2021-04-11 14:35:08.501"
"903.75","-113.5","E200 001D 1910 0119 1310 5A03","6.154330920997192","-66.5","2021-04-11 14:35:08.553"
"903.75","19.5","3008 33B2 DDD9 0140 0000 0000","5.872078456026235","-50.0","2021-04-11 14:35:08.555"
"903.75","19.5","3008 33B2 DDD9 0140 0000 0000","5.872078456026235","-50.0","2021-04-11 14:35:08.578"
"903.75","-111.0625","E200 001D 1910 0119 1310 5A03","6.240233845118788","-66.0","2021-04-11 14:35:08.579"
"903.75","19.5","3008 33B2 DDD9 0140 0000 0000","5.884350302329319","-50.0","2021-04-11 14:35:08.631"
"903.75","-67.125","E200 001D 1910 0119 1310 5A03","6.2034183062095325","-67.0","2021-04-11 14:35:08.634"
"903.75","17.0625","3008 33B2 DDD9 0140 0000 0000","5.896622148632405","-50.0","2021-04-11 14:35:08.655"
"903.75","-53.6875","E200 001D 1910 0119 1310 5A03","6.056156150572511","-66.5","2021-04-11 14:35:08.658"
"903.75","4.875","3008 33B2 DDD9 0140 0000 0000","5.9088939949354895","-50.0","2021-04-11 14:35:08.71"
"903.75","109.8125","E200 001D 1910 0119 1310 5A03","5.970253226450915","-66.5","2021-04-11 14:35:08.711"
"903.75","-4.875","3008 33B2 DDD9 0140 0000 0000","5.927301764390117","-50.0","2021-04-11 14:35:08.733"
"903.75","-29.25","E200 001D 1910 0119 1310 5A03","6.12365130523948","-66.0","2021-04-11 14:35:08.736"
"908.25","-7.3125","3008 33B2 DDD9 0140 0000 0000","4.577398671050753","-50.0","2021-04-11 14:35:08.806"
"908.25","10.9375","E200 001D 1910 0116 1310 566E","4.28287435977671","-65.0","2021-04-11 14:35:08.807"
"908.25","-0.25","E200 001D 1910 0119 1310 5A03","0.46019423636569234","-67.0","2021-04-11 14:35:08.828"
"908.25","-64.6875","E200 001D 1910 0116 1310 566E","4.399456899656019","-64.0","2021-04-11 14:35:08.839"
"908.25","9.75","3008 33B2 DDD9 0140 0000 0000","4.540583132141498","-49.5","2021-04-11 14:35:08.841"
"908.25","0.5625","E200 001D 1910 0119 1310 5A03","0.4111068511533518","-67.5","2021-04-11 14:35:08.858"
"908.25","-2.4375","3008 33B2 DDD9 0140 0000 0000","4.552854978444583","-50.0","2021-04-11 14:35:08.905"
"908.25","0.4375","E200 001D 1910 0116 1310 566E","4.270602513473625","-65.0","2021-04-11 14:35:08.916"
"908.25","29.25","3008 33B2 DDD9 0140 0000 0000","4.522175362686871","-49.5","2021-04-11 14:35:08.936"
"908.25","-13.375","E200 001D 1910 0116 1310 566E","4.23378697456437","-64.0","2021-04-11 14:35:08.938"
"903.25","2.4375","3008 33B2 DDD9 0140 0000 0000","6.043884304269426","-50.0","2021-04-11 14:35:09.008"
"903.25","-37.8125","E200 001D 1910 0119 1310 5A03","0.0","-66.0","2021-04-11 14:35:09.01"
"903.25","4.875","3008 33B2 DDD9 0140 0000 0000","6.050020227420969","-50.0","2021-04-11 14:35:09.032"
"903.25","12.1875","3008 33B2 DDD9 0140 0000 0000","6.056156150572511","-50.0","2021-04-11 14:35:09.085"
"903.25","9.75","3008 33B2 DDD9 0140 0000 0000","6.037748381117884","-50.0","2021-04-11 14:35:09.11"
"903.25","8.5","E200 001D 1910 0119 1310 5A03","0.12885438618239387","-67.0","2021-04-11 14:35:09.111"
"915.25","-2.4375","E200 001D 1910 0116 1310 566E","0.18407769454627693","-64.0","2021-04-11 14:35:09.165"
"915.25","2.4375","3008 33B2 DDD9 0140 0000 0000","2.2641556429192065","-50.0","2021-04-11 14:35:09.166"
"915.25","-20.75","E200 001D 1910 0116 1310 566E","0.5951845456996288","-65.0","2021-04-11 14:35:09.188"
"915.25","24.375","3008 33B2 DDD9 0140 0000 0000","2.2027964114037806","-49.5","2021-04-11 14:35:09.19"
"915.25","9.75","3008 33B2 DDD9 0140 0000 0000","2.2396119503130363","-49.5","2021-04-11 14:35:09.244"
"915.25","-78.125","E200 001D 1910 0116 1310 566E","0.3620194659410113","-65.5","2021-04-11 14:35:09.245"
"915.25","-0.75","E200 001D 1910 0119 1310 5A03","0.04295146206079795","-69.0","2021-04-11 14:35:09.254"
"915.25","2.4375","E200 001D 1910 0118 1310 566F","5.522330836388308","-69.0","2021-04-11 14:35:09.269"
"915.25","-12.1875","3008 33B2 DDD9 0140 0000 0000","2.2886993355253766","-49.5","2021-04-11 14:35:09.284"
"915.25","25.625","E200 001D 1910 0116 1310 566E","0.0859029241215959","-64.5","2021-04-11 14:35:09.287"
"915.25","2.875","E200 001D 1910 0118 1310 566F","5.448699758569798","-68.5","2021-04-11 14:35:09.304"
"915.25","50.0","E200 001D 1910 0116 1310 566E","0.11044661672776616","-65.5","2021-04-11 14:35:09.351"
