"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"909.25","-29.25","E280 1160 6000 0207 A652 4164","5.135767677841127","-64.0","2021-04-11 00:11:29.02"
"909.25","179.4375","E200 001D 1910 0116 1310 566E","3.6017868899554855","-66.5","2021-04-11 00:11:29.021"
"909.25","9.75","3008 33B2 DDD9 0140 0000 0040","0.7485826244881929","-47.0","2021-04-11 00:11:29.023"
"909.25","114.6875","E200 001D 1910 0116 1310 566E","3.3747577333484107","-65.5","2021-04-11 00:11:29.044"
"914.75","0.0","3008 33B2 DDD9 0140 0000 0040","5.675728915176872","-46.0","2021-04-11 00:11:29.053"
"914.75","70.75","E280 1160 6000 0207 A652 4164","2.1598449493429825","-65.0","2021-04-11 00:11:29.054"
"914.75","-4.875","E200 001D 1910 0116 1310 566E","0.4724660826687775","-66.5","2021-04-11 00:11:29.106"
"914.75","40.25","E280 1160 6000 0207 A652 4164","2.2089323345553233","-64.5","2021-04-11 00:11:29.106"
"914.75","-9.75","3008 33B2 DDD9 0140 0000 0040","5.700272607783043","-46.0","2021-04-11 00:11:29.108"
"914.75","-4.875","3008 33B2 DDD9 0140 0000 0040","5.6941366846315","-46.0","2021-04-11 00:11:29.13"
"914.75","73.1875","E280 1160 6000 0207 A652 4164","2.227340104009951","-65.0","2021-04-11 00:11:29.13"
"914.75","85.4375","E200 001D 1910 0116 1310 566E","0.4111068511533518","-66.0","2021-04-11 00:11:29.131"
"914.75","-39.0625","E200 001D 1910 0116 1310 566E","0.5890486225480862","-65.5","2021-04-11 00:11:29.183"
"914.75","12.1875","3008 33B2 DDD9 0140 0000 0040","5.66959299202533","-46.0","2021-04-11 00:11:29.185"
"914.75","61.0","E280 1160 6000 0207 A652 4164","2.116893487282185","-65.0","2021-04-11 00:11:29.186"
"914.75","-75.625","E280 1160 6000 0207 A652 4164","2.6261751088602177","-65.5","2021-04-11 00:11:29.208"
"914.75","57.3125","E200 001D 1910 0116 1310 566E","0.6135923151542565","-66.0","2021-04-11 00:11:29.209"
"914.75","2.4375","3008 33B2 DDD9 0140 0000 0040","5.66959299202533","-46.0","2021-04-11 00:11:29.209"
"925.75","17.0625","3008 33B2 DDD9 0140 0000 0040","2.6384469551633027","-45.0","2021-04-11 00:11:29.262"
"925.75","-2.3125","E280 1160 6000 0207 A652 4164","0.05522330836388308","-71.0","2021-04-11 00:11:29.278"
"925.75","-14.625","3008 33B2 DDD9 0140 0000 0040","2.718213956133356","-45.0","2021-04-11 00:11:29.293"
"925.75","-1.75","E280 1160 6000 0207 A652 4164","6.154330920997192","-71.0","2021-04-11 00:11:29.326"
"925.75","31.6875","3008 33B2 DDD9 0140 0000 0040","2.6323110320117604","-45.0","2021-04-11 00:11:29.366"
"925.75","3.1875","E280 1160 6000 0207 A652 4164","6.025476534814799","-70.0","2021-04-11 00:11:29.404"
"925.75","7.3125","3008 33B2 DDD9 0140 0000 0040","2.662990647769473","-45.0","2021-04-11 00:11:29.411"
"925.75","-0.0625","E280 1160 6000 0207 A652 4164","6.111379458936394","-70.5","2021-04-11 00:11:29.447"
"921.25","0.0","3008 33B2 DDD9 0140 0000 0040","4.000621894805752","-46.0","2021-04-11 00:11:29.511"
"921.25","-202.625","E200 001D 1910 0116 1310 566E","3.77972866135022","-67.0","2021-04-11 00:11:29.512"
"921.25","1.625","E280 1160 6000 0207 A652 4164","5.037592907416445","-69.0","2021-04-11 00:11:29.526"
"921.25","0.0","3008 33B2 DDD9 0140 0000 0040","4.000621894805752","-46.0","2021-04-11 00:11:29.544"
"921.25","2.3125","E280 1160 6000 0207 A652 4164","5.019185137961818","-68.5","2021-04-11 00:11:29.558"
"921.25","-1.0625","E200 001D 1910 0116 1310 566E","0.1595340019401067","-67.5","2021-04-11 00:11:29.569"
"921.25","7.3125","3008 33B2 DDD9 0140 0000 0040","3.9944859716542096","-46.0","2021-04-11 00:11:29.617"
"921.25","0.1875","E280 1160 6000 0207 A652 4164","5.013049214810275","-69.5","2021-04-11 00:11:29.638"
"921.25","1.5","E200 001D 1910 0116 1310 566E","0.14112623248547898","-67.5","2021-04-11 00:11:29.647"
"904.75","19.5","E280 1160 6000 0207 A652 4164","1.2517283229146832","-64.5","2021-04-11 00:11:29.681"
"904.75","-7.3125","3008 33B2 DDD9 0140 0000 0040","1.8960002538266525","-45.5","2021-04-11 00:11:29.682"
"904.75","1.125","E200 001D 1910 0116 1310 566E","0.803805932852076","-68.0","2021-04-11 00:11:29.705"
"904.75","-80.5625","E280 1160 6000 0207 A652 4164","1.3314953238847365","-64.0","2021-04-11 00:11:29.745"
"904.75","-4.875","3008 33B2 DDD9 0140 0000 0040","1.9144080232812801","-45.5","2021-04-11 00:11:29.746"
"904.75","1.75","E200 001D 1910 0116 1310 566E","0.7915340865489908","-68.0","2021-04-11 00:11:29.756"
"904.75","9.75","E280 1160 6000 0207 A652 4164","1.1903690913992575","-64.5","2021-04-11 00:11:29.778"
"904.75","0.0","3008 33B2 DDD9 0140 0000 0040","1.902136176978195","-46.0","2021-04-11 00:11:29.779"
"904.75","-0.4375","E200 001D 1910 0116 1310 566E","0.9326603190344698","-67.0","2021-04-11 00:11:29.791"
