"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"904.75","12.1875","3008 33B2 DDD9 0140 0000 0040","5.884350302329319","-45.0","2021-04-11 14:59:06.968"
"904.75","0.25","E200 001D 1910 0116 1310 566E","0.5706408530934585","-68.0","2021-04-11 14:59:06.99"
"904.75","0.0","3008 33B2 DDD9 0140 0000 0040","5.896622148632405","-45.0","2021-04-11 14:59:07.003"
"904.75","0.5625","E200 001D 1910 0116 1310 566E","0.662679700366597","-67.5","2021-04-11 14:59:07.018"
"904.75","7.3125","3008 33B2 DDD9 0140 0000 0040","5.878214379177777","-45.0","2021-04-11 14:59:07.065"
"904.75","-0.125","E200 001D 1910 0116 1310 566E","0.705631162427395","-68.0","2021-04-11 14:59:07.076"
"904.75","0.0","3008 33B2 DDD9 0140 0000 0040","5.902758071783947","-44.5","2021-04-11 14:59:07.098"
"904.75","2.1875","E200 001D 1910 0116 1310 566E","0.6320000846088841","-67.5","2021-04-11 14:59:07.108"
"905.75","50.0","E200 001D 1910 0116 1310 566E","6.031612457966341","-66.0","2021-04-11 14:59:07.17"
"905.75","-2.4375","3008 33B2 DDD9 0140 0000 0040","5.64504929941916","-45.0","2021-04-11 14:59:07.172"
"905.75","-20.75","E200 001D 1910 0116 1310 566E","0.02454369260617026","-67.5","2021-04-11 14:59:07.193"
"905.75","0.0","3008 33B2 DDD9 0140 0000 0040","5.6143696836614465","-45.0","2021-04-11 14:59:07.194"
"905.75","7.3125","3008 33B2 DDD9 0140 0000 0040","5.6143696836614465","-45.0","2021-04-11 14:59:07.248"
"905.75","43.9375","E200 001D 1910 0116 1310 566E","6.1420590746941075","-66.5","2021-04-11 14:59:07.249"
"905.75","-7.3125","3008 33B2 DDD9 0140 0000 0040","5.6143696836614465","-45.0","2021-04-11 14:59:07.271"
"905.75","-2.4375","E200 001D 1910 0116 1310 566E","6.22182607566416","-67.0","2021-04-11 14:59:07.271"
"914.75","0.0","3008 33B2 DDD9 0140 0000 0040","3.442252888015379","-45.5","2021-04-11 14:59:07.325"
"914.75","20.75","E200 001D 1910 0116 1310 566E","0.48473792897186263","-66.5","2021-04-11 14:59:07.326"
