"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"911.75","0.0","3008 33B2 DDD9 0140 0000 0040","4.589670517353839","-48.0","2021-04-11 15:07:41.518"
"911.75","0.0","3008 33B2 DDD9 0140 0000 0040","4.583534594202296","-48.0","2021-04-11 15:07:41.571"
"912.25","7.3125","3008 33B2 DDD9 0140 0000 0040","4.454680208019902","-48.0","2021-04-11 15:07:41.607"
"912.25","2.4375","3008 33B2 DDD9 0140 0000 0040","4.466952054322987","-48.0","2021-04-11 15:07:41.662"
"912.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","4.485359823777615","-48.0","2021-04-11 15:07:41.684"
"912.25","14.625","3008 33B2 DDD9 0140 0000 0040","4.4362724385652745","-48.0","2021-04-11 15:07:41.738"
"912.25","0.0","3008 33B2 DDD9 0140 0000 0040","4.479223900626073","-47.5","2021-04-11 15:07:41.759"
"923.25","2.4375","3008 33B2 DDD9 0140 0000 0040","1.4726215563702154","-46.0","2021-04-11 15:07:41.814"
"923.25","2.4375","3008 33B2 DDD9 0140 0000 0040","1.4787574795217582","-46.0","2021-04-11 15:07:41.836"
"923.25","0.0","3008 33B2 DDD9 0140 0000 0040","1.4910293258248433","-46.0","2021-04-11 15:07:41.888"
"923.25","14.625","3008 33B2 DDD9 0140 0000 0040","1.4480778637640452","-46.0","2021-04-11 15:07:41.911"
"923.25","19.5","3008 33B2 DDD9 0140 0000 0040","1.4542137869155878","-46.0","2021-04-11 15:07:41.965"
"923.25","2.4375","3008 33B2 DDD9 0140 0000 0040","1.4910293258248433","-46.0","2021-04-11 15:07:41.987"
"921.75","7.3125","3008 33B2 DDD9 0140 0000 0040","1.9205439464328227","-45.5","2021-04-11 15:07:42.063"
"921.75","17.0625","3008 33B2 DDD9 0140 0000 0040","1.88986433067511","-46.0","2021-04-11 15:07:42.085"
"921.75","17.0625","3008 33B2 DDD9 0140 0000 0040","1.88986433067511","-45.5","2021-04-11 15:07:42.138"
"921.75","21.9375","3008 33B2 DDD9 0140 0000 0040","1.88986433067511","-45.5","2021-04-11 15:07:42.159"
"924.25","14.625","3008 33B2 DDD9 0140 0000 0040","1.1535535524900022","-45.5","2021-04-11 15:07:42.22"
"924.25","4.875","3008 33B2 DDD9 0140 0000 0040","1.1658253987930873","-45.5","2021-04-11 15:07:42.242"
"924.25","9.75","3008 33B2 DDD9 0140 0000 0040","1.1596894756415448","-45.0","2021-04-11 15:07:42.295"
"924.25","9.75","3008 33B2 DDD9 0140 0000 0040","1.1474176293384597","-45.5","2021-04-11 15:07:42.318"
"924.25","12.1875","3008 33B2 DDD9 0140 0000 0040","1.1474176293384597","-45.5","2021-04-11 15:07:42.37"
"924.25","14.625","3008 33B2 DDD9 0140 0000 0040","1.1474176293384597","-45.5","2021-04-11 15:07:42.394"
"926.25","14.625","3008 33B2 DDD9 0140 0000 0040","0.5338253141842031","-45.5","2021-04-11 15:07:42.468"
"926.25","12.1875","3008 33B2 DDD9 0140 0000 0040","0.5276893910326605","-45.5","2021-04-11 15:07:42.49"
"926.25","17.0625","3008 33B2 DDD9 0140 0000 0040","0.5276893910326605","-45.5","2021-04-11 15:07:42.543"
"926.25","7.3125","3008 33B2 DDD9 0140 0000 0040","0.5338253141842031","-45.5","2021-04-11 15:07:42.565"
"916.75","14.625","3008 33B2 DDD9 0140 0000 0040","3.2888548092268146","-47.5","2021-04-11 15:07:42.626"
"916.75","4.875","3008 33B2 DDD9 0140 0000 0040","3.2949907323783574","-47.5","2021-04-11 15:07:42.647"
"916.75","7.3125","3008 33B2 DDD9 0140 0000 0040","3.3072625786814425","-47.5","2021-04-11 15:07:42.7"
"916.75","7.3125","3008 33B2 DDD9 0140 0000 0040","3.313398501832985","-47.5","2021-04-11 15:07:42.724"
"916.75","17.0625","3008 33B2 DDD9 0140 0000 0040","3.2888548092268146","-47.0","2021-04-11 15:07:42.775"
"916.75","2.4375","3008 33B2 DDD9 0140 0000 0040","3.2949907323783574","-47.0","2021-04-11 15:07:42.798"
"918.25","4.875","3008 33B2 DDD9 0140 0000 0040","2.8777479580734626","-47.0","2021-04-11 15:07:42.86"
"918.25","17.0625","3008 33B2 DDD9 0140 0000 0040","2.8654761117703775","-46.5","2021-04-11 15:07:42.881"
"918.25","4.875","3008 33B2 DDD9 0140 0000 0040","2.8838838812250054","-46.5","2021-04-11 15:07:42.934"
"918.25","14.625","3008 33B2 DDD9 0140 0000 0040","2.8532042654672924","-47.0","2021-04-11 15:07:42.956"
"918.25","14.625","3008 33B2 DDD9 0140 0000 0040","2.8409324191642074","-47.0","2021-04-11 15:07:43.01"
"902.75","14.625","3008 33B2 DDD9 0140 0000 0040","0.5583690067903734","-47.5","2021-04-11 15:07:43.049"
"902.75","4.875","3008 33B2 DDD9 0140 0000 0040","0.5767767762450011","-47.5","2021-04-11 15:07:43.103"
"902.75","17.0625","3008 33B2 DDD9 0140 0000 0040","0.5583690067903734","-47.0","2021-04-11 15:07:43.125"
"902.75","9.75","3008 33B2 DDD9 0140 0000 0040","0.5706408530934585","-47.5","2021-04-11 15:07:43.179"
"902.75","2.4375","3008 33B2 DDD9 0140 0000 0040","0.5767767762450011","-47.0","2021-04-11 15:07:43.201"
"909.75","12.1875","3008 33B2 DDD9 0140 0000 0040","5.006913291658733","-47.5","2021-04-11 15:07:43.254"
"909.75","2.4375","3008 33B2 DDD9 0140 0000 0040","5.013049214810275","-47.5","2021-04-11 15:07:43.277"
"909.75","-2.4375","3008 33B2 DDD9 0140 0000 0040","5.043728830567988","-47.5","2021-04-11 15:07:43.33"
"909.75","4.875","3008 33B2 DDD9 0140 0000 0040","5.019185137961818","-47.5","2021-04-11 15:07:43.353"
"909.75","14.625","3008 33B2 DDD9 0140 0000 0040","5.019185137961818","-47.5","2021-04-11 15:07:43.406"
"909.75","7.3125","3008 33B2 DDD9 0140 0000 0040","5.0253210611133605","-47.5","2021-04-11 15:07:43.428"
"913.25","7.3125","3008 33B2 DDD9 0140 0000 0040","4.2092432819582","-47.5","2021-04-11 15:07:43.487"
"913.25","12.1875","3008 33B2 DDD9 0140 0000 0040","4.196971435655114","-47.5","2021-04-11 15:07:43.51"
"913.25","14.625","3008 33B2 DDD9 0140 0000 0040","4.178563666200486","-47.5","2021-04-11 15:07:43.563"
"913.25","14.625","3008 33B2 DDD9 0140 0000 0040","4.178563666200486","-48.0","2021-04-11 15:07:43.586"
"913.25","12.1875","3008 33B2 DDD9 0140 0000 0040","4.190835512503572","-47.5","2021-04-11 15:07:43.639"
"920.75","17.0625","3008 33B2 DDD9 0140 0000 0040","2.141437179888355","-46.0","2021-04-11 15:07:43.679"
"920.75","9.75","3008 33B2 DDD9 0140 0000 0040","2.1230294104337273","-46.5","2021-04-11 15:07:43.734"
"920.75","9.75","3008 33B2 DDD9 0140 0000 0040","2.1230294104337273","-46.0","2021-04-11 15:07:43.756"
"920.75","7.3125","3008 33B2 DDD9 0140 0000 0040","2.141437179888355","-46.5","2021-04-11 15:07:43.809"
"920.75","2.4375","3008 33B2 DDD9 0140 0000 0040","2.1537090261914402","-46.0","2021-04-11 15:07:43.834"
"926.75","2.4375","3008 33B2 DDD9 0140 0000 0040","0.4049709280018093","-45.5","2021-04-11 15:07:43.886"
"926.75","12.1875","3008 33B2 DDD9 0140 0000 0040","0.3988350048502667","-45.5","2021-04-11 15:07:43.908"
"926.75","9.75","3008 33B2 DDD9 0140 0000 0040","0.3865631585471816","-45.5","2021-04-11 15:07:43.961"
"926.75","21.9375","3008 33B2 DDD9 0140 0000 0040","0.37429131224409645","-45.5","2021-04-11 15:07:43.983"
"926.75","0.0","3008 33B2 DDD9 0140 0000 0040","0.4111068511533518","-45.5","2021-04-11 15:07:44.038"
"926.75","17.0625","3008 33B2 DDD9 0140 0000 0040","0.3865631585471816","-45.5","2021-04-11 15:07:44.061"
"923.75","14.625","3008 33B2 DDD9 0140 0000 0040","1.282407938672396","-46.0","2021-04-11 15:07:44.137"
"923.75","17.0625","3008 33B2 DDD9 0140 0000 0040","1.2885438618239387","-45.5","2021-04-11 15:07:44.159"
"923.75","12.1875","3008 33B2 DDD9 0140 0000 0040","1.2885438618239387","-46.0","2021-04-11 15:07:44.213"
"923.75","7.3125","3008 33B2 DDD9 0140 0000 0040","1.3008157081270237","-45.5","2021-04-11 15:07:44.234"
"919.75","0.0","3008 33B2 DDD9 0140 0000 0040","2.448233337465483","-46.5","2021-04-11 15:07:44.294"
"919.75","7.3125","3008 33B2 DDD9 0140 0000 0040","2.435961491162398","-46.5","2021-04-11 15:07:44.317"
"919.75","9.75","3008 33B2 DDD9 0140 0000 0040","2.435961491162398","-46.5","2021-04-11 15:07:44.37"
"919.75","2.4375","3008 33B2 DDD9 0140 0000 0040","2.442097414313941","-46.5","2021-04-11 15:07:44.393"
"919.75","-2.4375","3008 33B2 DDD9 0140 0000 0040","2.442097414313941","-46.5","2021-04-11 15:07:44.445"
"919.75","7.3125","3008 33B2 DDD9 0140 0000 0040","2.423689644859313","-46.5","2021-04-11 15:07:44.468"
"919.25","7.3125","3008 33B2 DDD9 0140 0000 0040","2.5893595699509624","-46.5","2021-04-11 15:07:44.546"
"919.25","12.1875","3008 33B2 DDD9 0140 0000 0040","2.5893595699509624","-46.5","2021-04-11 15:07:44.569"
"919.25","7.3125","3008 33B2 DDD9 0140 0000 0040","2.5832236467994196","-46.5","2021-04-11 15:07:44.62"
"919.25","21.9375","3008 33B2 DDD9 0140 0000 0040","2.5586799541932495","-46.5","2021-04-11 15:07:44.644"
"918.75","12.1875","3008 33B2 DDD9 0140 0000 0040","2.7120780329818137","-46.5","2021-04-11 15:07:44.696"
