"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"902.75","21.9375","3008 33B2 DDD9 0140 0000 0040","3.6876898140770815","-45.5","2021-04-11 15:03:02.561"
"902.75","14.625","3008 33B2 DDD9 0140 0000 0040","3.706097583531709","-45.5","2021-04-11 15:03:02.584"
"902.75","24.375","3008 33B2 DDD9 0140 0000 0040","3.693825737228624","-45.5","2021-04-11 15:03:02.637"
"902.75","19.5","3008 33B2 DDD9 0140 0000 0040","3.6876898140770815","-45.5","2021-04-11 15:03:02.659"
"909.75","2.4375","3008 33B2 DDD9 0140 0000 0040","1.6444274046134073","-44.5","2021-04-11 15:03:02.733"
"909.75","19.5","3008 33B2 DDD9 0140 0000 0040","1.6198837120072371","-44.0","2021-04-11 15:03:02.757"
"909.75","0.0","3008 33B2 DDD9 0140 0000 0040","1.6505633277649499","-44.0","2021-04-11 15:03:02.809"
"909.75","4.875","3008 33B2 DDD9 0140 0000 0040","1.6444274046134073","-44.0","2021-04-11 15:03:02.831"
"913.25","9.75","3008 33B2 DDD9 0140 0000 0040","0.6320000846088841","-44.5","2021-04-11 15:03:02.891"
"913.25","0.0","3008 33B2 DDD9 0140 0000 0040","0.6320000846088841","-44.5","2021-04-11 15:03:02.914"
"913.25","9.75","3008 33B2 DDD9 0140 0000 0040","0.619728238305799","-44.5","2021-04-11 15:03:02.967"
"913.25","-7.3125","3008 33B2 DDD9 0140 0000 0040","0.6504078540635119","-44.5","2021-04-11 15:03:02.989"
"913.25","4.875","3008 33B2 DDD9 0140 0000 0040","0.6320000846088841","-44.5","2021-04-11 15:03:03.043"
"913.25","14.625","3008 33B2 DDD9 0140 0000 0040","0.6135923151542565","-44.5","2021-04-11 15:03:03.064"
"920.75","2.4375","3008 33B2 DDD9 0140 0000 0040","4.97623367590102","-44.5","2021-04-11 15:03:03.124"
"920.75","12.1875","3008 33B2 DDD9 0140 0000 0040","4.957825906446392","-44.5","2021-04-11 15:03:03.146"
"920.75","-2.4375","3008 33B2 DDD9 0140 0000 0040","4.97623367590102","-44.5","2021-04-11 15:03:03.199"
"920.75","4.875","3008 33B2 DDD9 0140 0000 0040","4.97623367590102","-45.0","2021-04-11 15:03:03.221"
"920.75","0.0","3008 33B2 DDD9 0140 0000 0040","4.97623367590102","-44.5","2021-04-11 15:03:03.275"
"926.75","12.1875","3008 33B2 DDD9 0140 0000 0040","3.3195344249845276","-44.0","2021-04-11 15:03:03.319"
"926.75","19.5","3008 33B2 DDD9 0140 0000 0040","3.32567034813607","-44.0","2021-04-11 15:03:03.372"
"926.75","7.3125","3008 33B2 DDD9 0140 0000 0040","3.356349963893783","-44.5","2021-04-11 15:03:03.395"
"926.75","2.4375","3008 33B2 DDD9 0140 0000 0040","3.356349963893783","-44.5","2021-04-11 15:03:03.448"
"926.75","2.4375","3008 33B2 DDD9 0140 0000 0040","3.3440781175906977","-44.5","2021-04-11 15:03:03.471"
"923.75","2.4375","3008 33B2 DDD9 0140 0000 0040","4.2031073588066565","-44.5","2021-04-11 15:03:03.544"
