"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"921.25","7.3125","3008 33B2 DDD9 0140 0000 0020","2.521864415283994","-46.0","2021-04-11 15:14:50.034"
"925.25","19.5","3008 33B2 DDD9 0140 0000 0020","1.2455923997631406","-47.0","2021-04-11 15:14:50.094"
"925.25","12.1875","3008 33B2 DDD9 0140 0000 0020","1.2701360923693108","-46.5","2021-04-11 15:14:50.117"
"925.25","4.875","3008 33B2 DDD9 0140 0000 0020","1.2762720155208536","-47.0","2021-04-11 15:14:50.17"
"925.25","17.0625","3008 33B2 DDD9 0140 0000 0020","1.2578642460662257","-46.5","2021-04-11 15:14:50.192"
"925.25","25.625","3008 33B2 DDD9 0140 0000 0020","1.2455923997631406","-46.5","2021-04-11 15:14:50.246"
"908.75","12.1875","3008 33B2 DDD9 0140 0000 0020","0.28838838812250056","-46.0","2021-04-11 15:14:50.285"
"908.75","-4.875","3008 33B2 DDD9 0140 0000 0020","0.32520392703175593","-46.0","2021-04-11 15:14:50.34"
"908.75","0.5","E200 001D 1910 0116 1310 566E","3.9576704327449543","-66.0","2021-04-11 15:14:50.361"
"908.75","17.0625","3008 33B2 DDD9 0140 0000 0020","0.28225246497095796","-45.5","2021-04-11 15:14:50.373"
"908.75","12.1875","3008 33B2 DDD9 0140 0000 0020","0.28225246497095796","-45.5","2021-04-11 15:14:50.427"
"908.75","7.3125","3008 33B2 DDD9 0140 0000 0020","0.2945243112740431","-45.5","2021-04-11 15:14:50.45"
"908.75","-0.9375","E200 001D 1910 0116 1310 566E","3.9944859716542096","-66.0","2021-04-11 15:14:50.467"
"927.25","24.375","3008 33B2 DDD9 0140 0000 0020","0.5829126993965437","-48.0","2021-04-11 15:14:50.533"
"927.25","12.1875","3008 33B2 DDD9 0140 0000 0020","0.619728238305799","-47.5","2021-04-11 15:14:50.555"
"927.25","-9.75","3008 33B2 DDD9 0140 0000 0020","0.6565437772150544","-47.5","2021-04-11 15:14:50.612"
"927.25","4.875","3008 33B2 DDD9 0140 0000 0020","0.6565437772150544","-47.5","2021-04-11 15:14:50.635"
"913.75","2.4375","3008 33B2 DDD9 0140 0000 0020","5.013049214810275","-45.0","2021-04-11 15:14:50.688"
"913.75","-0.75","E200 001D 1910 0116 1310 566E","1.1474176293384597","-66.5","2021-04-11 15:14:50.7"
"913.75","7.3125","3008 33B2 DDD9 0140 0000 0020","5.006913291658733","-45.0","2021-04-11 15:14:50.721"
"913.75","-0.75","E200 001D 1910 0116 1310 566E","1.2210487071569704","-67.0","2021-04-11 15:14:50.732"
"913.75","12.1875","3008 33B2 DDD9 0140 0000 0020","4.994641445355648","-45.0","2021-04-11 15:14:50.783"
"913.75","0.0625","E200 001D 1910 0116 1310 566E","1.184233168247715","-66.5","2021-04-11 15:14:50.793"
"913.75","2.4375","3008 33B2 DDD9 0140 0000 0020","5.019185137961818","-45.0","2021-04-11 15:14:50.815"
