"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"908.25","17.0625","3008 33B2 DDD9 0140 0000 0020","0.5890486225480862","-45.0","2021-04-11 15:14:06.081"
"908.25","23.1875","3008 33B2 DDD9 0140 0000 0020","0.5645049299419159","-45.0","2021-04-11 15:14:06.104"
"908.25","17.0625","3008 33B2 DDD9 0140 0000 0020","0.5767767762450011","-45.0","2021-04-11 15:14:06.157"
"908.25","4.875","3008 33B2 DDD9 0140 0000 0020","0.607456392002714","-45.0","2021-04-11 15:14:06.179"
"903.25","4.875","3008 33B2 DDD9 0140 0000 0020","2.012582793705961","-45.5","2021-04-11 15:14:06.234"
"903.25","9.75","3008 33B2 DDD9 0140 0000 0020","2.000310947402876","-45.5","2021-04-11 15:14:06.256"
"903.25","12.1875","3008 33B2 DDD9 0140 0000 0020","2.0064468705544187","-45.5","2021-04-11 15:14:06.309"
"903.25","4.875","3008 33B2 DDD9 0140 0000 0020","2.0064468705544187","-45.5","2021-04-11 15:14:06.332"
"903.25","12.1875","3008 33B2 DDD9 0140 0000 0020","2.0064468705544187","-45.5","2021-04-11 15:14:06.385"
"903.25","12.1875","3008 33B2 DDD9 0140 0000 0020","2.000310947402876","-45.5","2021-04-11 15:14:06.407"
"915.25","-9.75","3008 33B2 DDD9 0140 0000 0020","4.6878452877785195","-45.0","2021-04-11 15:14:06.48"
"915.25","-4.875","3008 33B2 DDD9 0140 0000 0020","4.681709364626977","-45.0","2021-04-11 15:14:06.501"
"915.25","0.125","E200 001D 1910 0116 1310 566E","0.30679615757712825","-66.5","2021-04-11 15:14:06.515"
"915.25","9.75","3008 33B2 DDD9 0140 0000 0020","4.657165672020807","-45.0","2021-04-11 15:14:06.565"
"915.25","-9.75","3008 33B2 DDD9 0140 0000 0020","4.700117134081604","-45.0","2021-04-11 15:14:06.588"
"925.75","2.4375","3008 33B2 DDD9 0140 0000 0020","1.3437671701878218","-45.5","2021-04-11 15:14:06.64"
"925.75","-9.75","3008 33B2 DDD9 0140 0000 0020","1.368310862793992","-45.5","2021-04-11 15:14:06.664"
"925.75","-7.3125","3008 33B2 DDD9 0140 0000 0020","1.3621749396424494","-45.5","2021-04-11 15:14:06.719"
"925.75","7.3125","3008 33B2 DDD9 0140 0000 0020","1.337631247036279","-45.5","2021-04-11 15:14:06.741"
"925.75","12.1875","3008 33B2 DDD9 0140 0000 0020","1.3069516312785663","-45.5","2021-04-11 15:14:06.796"
"925.75","12.1875","3008 33B2 DDD9 0140 0000 0020","1.325359400733194","-45.5","2021-04-11 15:14:06.817"
"922.75","-14.625","3008 33B2 DDD9 0140 0000 0020","2.270291566070749","-45.0","2021-04-11 15:14:06.893"
"922.75","17.0625","3008 33B2 DDD9 0140 0000 0020","2.227340104009951","-45.0","2021-04-11 15:14:06.914"
"922.75","4.875","3008 33B2 DDD9 0140 0000 0020","2.2518837966161214","-45.0","2021-04-11 15:14:06.969"
"922.75","4.875","3008 33B2 DDD9 0140 0000 0020","2.2641556429192065","-45.0","2021-04-11 15:14:06.99"
"906.75","2.4375","3008 33B2 DDD9 0140 0000 0020","1.0369710126106935","-45.0","2021-04-11 15:14:07.044"
"906.75","14.625","3008 33B2 DDD9 0140 0000 0020","1.0246991663076084","-45.0","2021-04-11 15:14:07.068"
"906.75","4.875","3008 33B2 DDD9 0140 0000 0020","1.0369710126106935","-45.0","2021-04-11 15:14:07.121"
"906.75","0.0","3008 33B2 DDD9 0140 0000 0020","1.0369710126106935","-45.0","2021-04-11 15:14:07.144"
"906.75","7.3125","3008 33B2 DDD9 0140 0000 0020","1.0492428589137786","-45.0","2021-04-11 15:14:07.195"
"906.75","7.3125","3008 33B2 DDD9 0140 0000 0020","1.0246991663076084","-45.0","2021-04-11 15:14:07.219"
"907.25","9.75","3008 33B2 DDD9 0140 0000 0020","0.8835729338221293","-45.5","2021-04-11 15:14:07.295"
"907.25","4.875","3008 33B2 DDD9 0140 0000 0020","0.8958447801252144","-45.5","2021-04-11 15:14:07.319"
"907.25","14.625","3008 33B2 DDD9 0140 0000 0020","0.8897088569736719","-45.5","2021-04-11 15:14:07.373"
"907.25","9.75","3008 33B2 DDD9 0140 0000 0020","0.8774370106705868","-45.5","2021-04-11 15:14:07.396"
"904.25","4.875","3008 33B2 DDD9 0140 0000 0020","1.736466251886546","-45.5","2021-04-11 15:14:07.448"
"904.25","2.4375","3008 33B2 DDD9 0140 0000 0020","1.7426021750380885","-45.5","2021-04-11 15:14:07.471"
"904.25","9.75","3008 33B2 DDD9 0140 0000 0020","1.7303303287350031","-45.5","2021-04-11 15:14:07.523"
"904.25","4.875","3008 33B2 DDD9 0140 0000 0020","1.7303303287350031","-45.5","2021-04-11 15:14:07.548"
"904.25","0.0","3008 33B2 DDD9 0140 0000 0020","1.736466251886546","-45.5","2021-04-11 15:14:07.6"
"904.25","-9.75","3008 33B2 DDD9 0140 0000 0020","1.761009944492716","-45.5","2021-04-11 15:14:07.623"
"910.25","12.1875","3008 33B2 DDD9 0140 0000 0020","6.22182607566416","-45.5","2021-04-11 15:14:07.699"
"910.25","0.4375","E200 001D 1910 0116 1310 566E","6.258641614573416","-66.0","2021-04-11 15:14:07.724"
"910.25","9.75","3008 33B2 DDD9 0140 0000 0020","6.240233845118788","-45.5","2021-04-11 15:14:07.731"
"910.25","2.4375","3008 33B2 DDD9 0140 0000 0020","6.258641614573416","-45.5","2021-04-11 15:14:07.785"
"910.25","7.3125","3008 33B2 DDD9 0140 0000 0020","6.240233845118788","-45.5","2021-04-11 15:14:07.808"
"910.25","-0.5","E200 001D 1910 0116 1310 566E","0.06135923151542565","-66.0","2021-04-11 15:14:07.82"
"922.25","-4.875","3008 33B2 DDD9 0140 0000 0020","2.4175537217077703","-45.0","2021-04-11 15:14:07.87"
"922.25","-4.875","3008 33B2 DDD9 0140 0000 0020","2.411417798556228","-45.0","2021-04-11 15:14:07.892"
"922.25","9.75","3008 33B2 DDD9 0140 0000 0020","2.386874105950058","-45.0","2021-04-11 15:14:07.946"
"922.25","4.875","3008 33B2 DDD9 0140 0000 0020","2.411417798556228","-45.5","2021-04-11 15:14:07.968"
"922.25","4.875","3008 33B2 DDD9 0140 0000 0020","2.405281875404685","-45.0","2021-04-11 15:14:08.021"
"922.25","0.0","3008 33B2 DDD9 0140 0000 0020","2.4175537217077703","-45.5","2021-04-11 15:14:08.044"
"914.25","7.3125","3008 33B2 DDD9 0140 0000 0020","4.97623367590102","-44.5","2021-04-11 15:14:08.121"
"914.25","-1.3125","E200 001D 1910 0116 1310 566E","0.9817477042468103","-66.5","2021-04-11 15:14:08.133"
"914.25","-4.875","3008 33B2 DDD9 0140 0000 0020","4.988505522204105","-44.0","2021-04-11 15:14:08.152"
"914.25","4.875","3008 33B2 DDD9 0140 0000 0020","4.988505522204105","-44.5","2021-04-11 15:14:08.207"
"914.25","2.4375","3008 33B2 DDD9 0140 0000 0020","4.9823695990525625","-44.0","2021-04-11 15:14:08.228"
"917.75","-4.875","3008 33B2 DDD9 0140 0000 0020","3.877903431774901","-45.0","2021-04-11 15:14:08.282"
"917.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","3.877903431774901","-45.0","2021-04-11 15:14:08.304"
"917.75","0.25","E200 001D 1910 0116 1310 566E","5.197126909356553","-67.5","2021-04-11 15:14:08.321"
"917.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","3.8717675086233583","-45.0","2021-04-11 15:14:08.367"
"917.75","14.625","3008 33B2 DDD9 0140 0000 0020","3.8410878928656453","-45.0","2021-04-11 15:14:08.39"
"917.75","-4.875","3008 33B2 DDD9 0140 0000 0020","3.877903431774901","-45.0","2021-04-11 15:14:08.445"
