"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"921.75","12.1875","3008 33B2 DDD9 0140 0000 0020","2.411417798556228","-44.0","2021-04-11 14:43:52.426"
"921.75","-1.25","E200 001D 1910 0116 1310 566E","2.8532042654672924","-68.5","2021-04-11 14:43:52.446"
"921.75","-7.3125","3008 33B2 DDD9 0140 0000 0020","2.4175537217077703","-44.0","2021-04-11 14:43:52.46"
"921.75","0.625","E200 001D 1910 0116 1310 566E","2.7550294950426117","-68.0","2021-04-11 14:43:52.483"
"921.75","20.75","3008 33B2 DDD9 0140 0000 0020","2.356194490192345","-44.0","2021-04-11 14:43:52.522"
"921.75","-2.6875","E200 001D 1910 0118 1310 566F","1.7671458676442586","-70.5","2021-04-11 14:43:52.548"
"924.25","-7.3125","3008 33B2 DDD9 0140 0000 0020","1.6444274046134073","-44.0","2021-04-11 14:43:52.579"
"924.25","4.875","3008 33B2 DDD9 0140 0000 0020","1.6444274046134073","-44.0","2021-04-11 14:43:52.633"
"924.25","2.4375","3008 33B2 DDD9 0140 0000 0020","1.6321555583103222","-44.0","2021-04-11 14:43:52.654"
"924.25","9.75","3008 33B2 DDD9 0140 0000 0020","1.6260196351587797","-44.0","2021-04-11 14:43:52.709"
"924.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","1.6444274046134073","-44.5","2021-04-11 14:43:52.731"
"926.25","-7.3125","3008 33B2 DDD9 0140 0000 0020","1.043106935762236","-44.0","2021-04-11 14:43:52.785"
"926.25","-14.625","3008 33B2 DDD9 0140 0000 0020","1.0492428589137786","-44.0","2021-04-11 14:43:52.807"
"926.25","0.0","3008 33B2 DDD9 0140 0000 0020","1.030835089459151","-44.5","2021-04-11 14:43:52.863"
"926.25","4.875","3008 33B2 DDD9 0140 0000 0020","1.0062913968529805","-44.0","2021-04-11 14:43:52.885"
"926.25","0.0","3008 33B2 DDD9 0140 0000 0020","1.030835089459151","-44.0","2021-04-11 14:43:52.939"
"926.25","0.0","3008 33B2 DDD9 0140 0000 0020","1.0246991663076084","-44.0","2021-04-11 14:43:52.961"
"916.75","-7.3125","3008 33B2 DDD9 0140 0000 0020","4.037437433715008","-44.0","2021-04-11 14:43:53.033"
"916.75","9.75","E200 001D 1910 0116 1310 566E","5.700272607783043","-64.0","2021-04-11 14:43:53.034"
"916.75","2.4375","3008 33B2 DDD9 0140 0000 0020","4.000621894805752","-44.0","2021-04-11 14:43:53.057"
"916.75","31.6875","E200 001D 1910 0116 1310 566E","5.675728915176872","-65.5","2021-04-11 14:43:53.058"
"916.75","0.125","E200 001D 1910 0118 1310 566F","4.896466674930966","-68.5","2021-04-11 14:43:53.073"
"916.75","2.4375","3008 33B2 DDD9 0140 0000 0020","4.006757817957295","-44.0","2021-04-11 14:43:53.122"
"916.75","10.9375","E200 001D 1910 0116 1310 566E","5.688000761479957","-66.0","2021-04-11 14:43:53.123"
"916.75","1.625","E200 001D 1910 0118 1310 566F","4.878058905476339","-68.5","2021-04-11 14:43:53.134"
"916.75","13.375","E200 001D 1910 0116 1310 566E","5.632777453116074","-65.5","2021-04-11 14:43:53.154"
"916.75","4.875","3008 33B2 DDD9 0140 0000 0020","4.01902966426038","-44.0","2021-04-11 14:43:53.154"
"918.25","7.3125","3008 33B2 DDD9 0140 0000 0020","3.5281558121369745","-44.0","2021-04-11 14:43:53.214"
"918.25","7.3125","E200 001D 1910 0116 1310 566E","4.822835597112456","-65.0","2021-04-11 14:43:53.216"
"918.25","-70.75","E200 001D 1910 0116 1310 566E","5.043728830567988","-66.5","2021-04-11 14:43:53.238"
"918.25","17.0625","3008 33B2 DDD9 0140 0000 0020","3.5158839658338894","-44.0","2021-04-11 14:43:53.239"
"918.25","-0.1875","E200 001D 1910 0118 1310 566F","0.859029241215959","-68.5","2021-04-11 14:43:53.255"
"918.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","3.54042765844006","-43.5","2021-04-11 14:43:53.301"
"918.25","107.375","E200 001D 1910 0116 1310 566E","4.669437518323892","-66.0","2021-04-11 14:43:53.302"
"918.25","1.125","E200 001D 1910 0118 1310 566F","0.9265243958829272","-69.0","2021-04-11 14:43:53.313"
"918.25","2.4375","3008 33B2 DDD9 0140 0000 0020","3.54042765844006","-44.0","2021-04-11 14:43:53.336"
"918.25","29.25","E200 001D 1910 0116 1310 566E","4.773748211900116","-66.0","2021-04-11 14:43:53.336"
"918.25","0.125","E200 001D 1910 0118 1310 566F","0.803805932852076","-69.5","2021-04-11 14:43:53.358"
"902.75","-13.375","E200 001D 1910 0119 1310 5A03","0.30066023442558565","-66.5","2021-04-11 14:43:53.397"
"902.75","-4.875","3008 33B2 DDD9 0140 0000 0020","1.9696313316451632","-44.5","2021-04-11 14:43:53.398"
"902.75","14.625","3008 33B2 DDD9 0140 0000 0020","1.945087639038993","-44.5","2021-04-11 14:43:53.421"
"902.75","48.8125","E200 001D 1910 0119 1310 5A03","0.30066023442558565","-65.5","2021-04-11 14:43:53.422"
"902.75","7.3125","3008 33B2 DDD9 0140 0000 0020","1.9512235621905356","-44.5","2021-04-11 14:43:53.475"
"902.75","73.1875","E200 001D 1910 0119 1310 5A03","0.3129320807286708","-66.5","2021-04-11 14:43:53.476"
"902.75","-7.3125","E200 001D 1910 0119 1310 5A03","0.48473792897186263","-66.0","2021-04-11 14:43:53.497"
"902.75","9.75","3008 33B2 DDD9 0140 0000 0020","1.9512235621905356","-44.5","2021-04-11 14:43:53.498"
"902.75","7.3125","3008 33B2 DDD9 0140 0000 0020","1.9573594853420782","-44.5","2021-04-11 14:43:53.553"
"902.75","32.9375","E200 001D 1910 0119 1310 5A03","0.3865631585471816","-65.5","2021-04-11 14:43:53.554"
"902.75","-100.0625","E200 001D 1910 0119 1310 5A03","0.5890486225480862","-66.5","2021-04-11 14:43:53.576"
"902.75","9.75","3008 33B2 DDD9 0140 0000 0020","1.9389517158874505","-44.5","2021-04-11 14:43:53.576"
"909.75","-31.6875","E200 001D 1910 0116 1310 566E","3.436116964863836","-64.0","2021-04-11 14:43:53.65"
"909.75","0.0","3008 33B2 DDD9 0140 0000 0020","6.215690152512618","-44.5","2021-04-11 14:43:53.651"
"909.75","1.3125","E200 001D 1910 0119 1310 5A03","5.835262917116979","-67.0","2021-04-11 14:43:53.668"
"909.75","-7.3125","3008 33B2 DDD9 0140 0000 0020","6.209554229361076","-44.5","2021-04-11 14:43:53.685"
"909.75","109.8125","E200 001D 1910 0116 1310 566E","3.1354567304382504","-65.0","2021-04-11 14:43:53.686"
"909.75","0.1875","E200 001D 1910 0119 1310 5A03","5.927301764390117","-66.5","2021-04-11 14:43:53.706"
"909.75","2.4375","3008 33B2 DDD9 0140 0000 0020","6.2034183062095325","-44.5","2021-04-11 14:43:53.749"
"909.75","0.1875","E200 001D 1910 0119 1310 5A03","5.964117303299373","-67.0","2021-04-11 14:43:53.767"
"909.75","-0.125","E200 001D 1910 0116 1310 566E","0.2638446955163303","-65.5","2021-04-11 14:43:53.778"
"913.25","0.0","3008 33B2 DDD9 0140 0000 0020","5.105088062083414","-43.5","2021-04-11 14:43:53.797"
"913.25","-28.0625","E200 001D 1910 0116 1310 566E","1.509437095279471","-65.5","2021-04-11 14:43:53.798"
"913.25","1.5625","E200 001D 1910 0119 1310 5A03","1.000155473701438","-68.5","2021-04-11 14:43:53.816"
"913.25","4.875","3008 33B2 DDD9 0140 0000 0020","5.111223985234957","-43.5","2021-04-11 14:43:53.861"
"913.25","98.875","E200 001D 1910 0116 1310 566E","1.184233168247715","-65.5","2021-04-11 14:43:53.864"
