"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"912.75","2.4375","3008 33B2 DDD9 0140 0000 0000","5.252350217720435","-46.5","2021-04-11 15:49:40.018"
"912.75","-1.625","E200 001D 1910 0119 1310 5A03","1.6505633277649499","-68.0","2021-04-11 15:49:40.037"
"912.75","-0.5","E200 001D 1910 0116 1310 566E","1.3867186322486196","-66.0","2021-04-11 15:49:40.05"
"912.75","12.1875","3008 33B2 DDD9 0140 0000 0000","5.227806525114265","-46.5","2021-04-11 15:49:40.09"
"912.75","-31.6875","E200 001D 1910 0116 1310 566E","1.4480778637640452","-65.5","2021-04-11 15:49:40.091"
"912.75","1.125","E200 001D 1910 0119 1310 5A03","1.4542137869155878","-68.5","2021-04-11 15:49:40.108"
"912.75","0.75","E200 001D 1910 0118 1310 566F","0.6320000846088841","-69.0","2021-04-11 15:49:40.123"
"912.75","-15.8125","E200 001D 1910 0116 1310 566E","1.533980787885641","-66.0","2021-04-11 15:49:40.131"
"912.75","7.3125","3008 33B2 DDD9 0140 0000 0000","5.2339424482658075","-46.5","2021-04-11 15:49:40.132"
"915.75","15.25","E200 001D 1910 0119 1310 5A03","6.062292073724054","-68.5","2021-04-11 15:49:40.15"
"915.75","0.0","3008 33B2 DDD9 0140 0000 0000","4.399456899656019","-46.5","2021-04-11 15:49:40.207"
"915.75","-43.9375","E200 001D 1910 0116 1310 566E","0.2086213871524472","-66.0","2021-04-11 15:49:40.209"
"915.75","-0.75","E200 001D 1910 0119 1310 5A03","6.277049384028044","-69.0","2021-04-11 15:49:40.224"
"915.75","-15.8125","E200 001D 1910 0116 1310 566E","6.19728238305799","-65.0","2021-04-11 15:49:40.239"
"915.75","28.0625","3008 33B2 DDD9 0140 0000 0000","4.3503695144436785","-46.5","2021-04-11 15:49:40.241"
"915.75","-24.375","3008 33B2 DDD9 0140 0000 0000","4.417864669110647","-46.5","2021-04-11 15:49:40.293"
"915.75","75.625","E200 001D 1910 0116 1310 566E","6.019340611663256","-66.0","2021-04-11 15:49:40.296"
"915.75","-48.8125","E200 001D 1910 0116 1310 566E","0.018407769454627694","-65.5","2021-04-11 15:49:40.317"
"915.75","14.625","3008 33B2 DDD9 0140 0000 0000","4.331961744989051","-46.5","2021-04-11 15:49:40.319"
"915.75","2.9375","E200 001D 1910 0118 1310 566F","5.2339424482658075","-70.0","2021-04-11 15:49:40.334"
"916.25","19.1875","E200 001D 1910 0119 1310 5A03","5.727884261964984","-69.0","2021-04-11 15:49:40.351"
