"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"913.75","10.9375","E200 001D 1910 0116 1310 566E","1.141281706186917","-66.5","2021-04-11 15:54:22.292"
"913.75","12.1875","3008 33B2 DDD9 0140 0000 0000","5.283029833478148","-43.5","2021-04-11 15:54:22.293"
"913.75","0.25","E200 001D 1910 0119 1310 5A03","1.1167380135807468","-67.5","2021-04-11 15:54:22.312"
"913.75","-75.625","E200 001D 1910 0119 1310 5A03","1.2455923997631406","-66.0","2021-04-11 15:54:22.327"
"913.75","85.4375","E200 001D 1910 0116 1310 566E","1.141281706186917","-66.5","2021-04-11 15:54:22.328"
"913.75","7.3125","3008 33B2 DDD9 0140 0000 0000","5.295301679781233","-43.5","2021-04-11 15:54:22.329"
"913.75","37.8125","E200 001D 1910 0119 1310 5A03","0.9817477042468103","-67.0","2021-04-11 15:54:22.383"
"913.75","52.4375","E200 001D 1910 0116 1310 566E","1.2455923997631406","-66.0","2021-04-11 15:54:22.383"
"913.75","9.75","3008 33B2 DDD9 0140 0000 0000","5.295301679781233","-43.5","2021-04-11 15:54:22.386"
"913.75","14.625","3008 33B2 DDD9 0140 0000 0000","5.283029833478148","-43.5","2021-04-11 15:54:22.406"
"913.75","43.9375","E200 001D 1910 0116 1310 566E","1.043106935762236","-66.5","2021-04-11 15:54:22.407"
"913.75","46.375","E200 001D 1910 0119 1310 5A03","1.030835089459151","-68.0","2021-04-11 15:54:22.409"
"913.75","-41.5","E200 001D 1910 0116 1310 566E","1.3008157081270237","-66.0","2021-04-11 15:54:22.461"
"913.75","17.0625","3008 33B2 DDD9 0140 0000 0000","5.270757987175063","-43.5","2021-04-11 15:54:22.462"
"913.75","-45.125","E200 001D 1910 0119 1310 5A03","1.1351457830353744","-66.0","2021-04-11 15:54:22.464"
"913.75","2.4375","3008 33B2 DDD9 0140 0000 0000","5.301437602932776","-43.5","2021-04-11 15:54:22.485"
"913.75","-48.8125","E200 001D 1910 0116 1310 566E","1.1658253987930873","-66.0","2021-04-11 15:54:22.486"
"911.75","-29.25","E200 001D 1910 0119 1310 5A03","2.086213871524472","-66.5","2021-04-11 15:54:22.496"
"911.75","9.75","3008 33B2 DDD9 0140 0000 0000","5.902758071783947","-43.5","2021-04-11 15:54:22.547"
"911.75","167.1875","E200 001D 1910 0119 1310 5A03","1.9266798695843652","-66.0","2021-04-11 15:54:22.548"
"911.75","-29.25","E200 001D 1910 0116 1310 566E","2.1598449493429825","-66.5","2021-04-11 15:54:22.549"
"911.75","67.125","E200 001D 1910 0116 1310 566E","2.1475731030398975","-66.0","2021-04-11 15:54:22.572"
"911.75","-9.75","3008 33B2 DDD9 0140 0000 0000","5.93343768754166","-43.5","2021-04-11 15:54:22.573"
"911.75","48.8125","E200 001D 1910 0119 1310 5A03","1.8775924843720249","-65.0","2021-04-11 15:54:22.574"
"911.75","91.5","E200 001D 1910 0116 1310 566E","2.055534255766759","-66.5","2021-04-11 15:54:22.626"
"911.75","-86.625","E200 001D 1910 0119 1310 5A03","2.2886993355253766","-66.0","2021-04-11 15:54:22.627"
"911.75","9.75","3008 33B2 DDD9 0140 0000 0000","5.896622148632405","-43.5","2021-04-11 15:54:22.627"
"911.75","8.5","E200 001D 1910 0119 1310 5A03","2.043262409463674","-65.5","2021-04-11 15:54:22.65"
"911.75","2.4375","3008 33B2 DDD9 0140 0000 0000","5.915029918087033","-43.5","2021-04-11 15:54:22.651"
"911.75","25.625","E200 001D 1910 0116 1310 566E","2.0800779483729293","-66.5","2021-04-11 15:54:22.651"
"912.25","-2.4375","3008 33B2 DDD9 0140 0000 0000","5.767767762450011","-43.5","2021-04-11 15:54:22.705"
"912.25","-13.375","E200 001D 1910 0116 1310 566E","2.12916533358527","-67.0","2021-04-11 15:54:22.705"
"912.25","10.9375","E200 001D 1910 0119 1310 5A03","1.8530487917658545","-66.0","2021-04-11 15:54:22.706"
"912.25","0.0","3008 33B2 DDD9 0140 0000 0000","5.7616318392984684","-43.5","2021-04-11 15:54:22.727"
"912.25","18.25","E200 001D 1910 0119 1310 5A03","1.7916895602504288","-65.0","2021-04-11 15:54:22.728"
"912.25","0.8125","E200 001D 1910 0116 1310 566E","1.9205439464328227","-67.0","2021-04-11 15:54:22.744"
"912.25","2.4375","3008 33B2 DDD9 0140 0000 0000","5.755495916146925","-43.5","2021-04-11 15:54:22.791"
"912.25","24.375","E200 001D 1910 0119 1310 5A03","1.8285050991596843","-67.0","2021-04-11 15:54:22.791"
"912.25","-158.6875","E200 001D 1910 0116 1310 566E","2.6323110320117604","-67.0","2021-04-11 15:54:22.792"
"912.25","-167.1875","E200 001D 1910 0116 1310 566E","2.478912953223196","-66.0","2021-04-11 15:54:22.815"
"912.25","4.875","3008 33B2 DDD9 0140 0000 0000","5.749359992995383","-43.5","2021-04-11 15:54:22.816"
"912.25","51.25","E200 001D 1910 0119 1310 5A03","1.6382914814618648","-66.5","2021-04-11 15:54:22.816"
"912.25","-15.8125","E200 001D 1910 0119 1310 5A03","1.8775924843720249","-66.5","2021-04-11 15:54:22.868"
"912.25","-4.875","3008 33B2 DDD9 0140 0000 0000","5.786175531904639","-43.5","2021-04-11 15:54:22.87"
"912.25","-31.6875","E200 001D 1910 0116 1310 566E","1.9819031779482483","-67.0","2021-04-11 15:54:22.871"
"923.25","-12.1875","3008 33B2 DDD9 0140 0000 0000","2.454369260617026","-44.5","2021-04-11 15:54:22.899"
"923.25","2.4375","3008 33B2 DDD9 0140 0000 0000","2.423689644859313","-44.5","2021-04-11 15:54:22.953"
"923.25","7.3125","3008 33B2 DDD9 0140 0000 0000","2.3930100291016","-44.5","2021-04-11 15:54:22.975"
"923.25","-4.875","3008 33B2 DDD9 0140 0000 0000","2.429825568010856","-44.5","2021-04-11 15:54:23.027"
"923.25","0.0","3008 33B2 DDD9 0140 0000 0000","2.4175537217077703","-44.5","2021-04-11 15:54:23.053"
"921.75","0.0","3008 33B2 DDD9 0140 0000 0000","2.8532042654672924","-44.0","2021-04-11 15:54:23.107"
"921.75","26.8125","3008 33B2 DDD9 0140 0000 0000","2.8102528034064944","-44.0","2021-04-11 15:54:23.128"
"921.75","-1.3125","E200 001D 1910 0119 1310 5A03","5.872078456026235","-69.5","2021-04-11 15:54:23.145"
"921.75","-1.4375","E200 001D 1910 0116 1310 566E","6.264777537724958","-70.0","2021-04-11 15:54:23.158"
"921.75","21.9375","3008 33B2 DDD9 0140 0000 0000","2.816388726558037","-44.0","2021-04-11 15:54:23.2"
"921.75","-0.9375","E200 001D 1910 0119 1310 5A03","5.786175531904639","-69.0","2021-04-11 15:54:23.221"
"921.75","17.0625","3008 33B2 DDD9 0140 0000 0000","2.8409324191642074","-44.0","2021-04-11 15:54:23.234"
"921.75","1.0625","E200 001D 1910 0119 1310 5A03","5.71868037723767","-69.5","2021-04-11 15:54:23.256"
"924.25","1.8125","3008 33B2 DDD9 0140 0000 0000","5.2768939103266055","-44.5","2021-04-11 15:54:23.313"
"924.25","7.3125","3008 33B2 DDD9 0140 0000 0000","2.1230294104337273","-44.5","2021-04-11 15:54:23.339"
"924.25","9.75","3008 33B2 DDD9 0140 0000 0000","2.098485717827557","-44.0","2021-04-11 15:54:23.392"
"924.25","19.5","3008 33B2 DDD9 0140 0000 0000","2.0923497946760143","-44.0","2021-04-11 15:54:23.416"
"924.25","14.625","3008 33B2 DDD9 0140 0000 0000","2.110757564130642","-44.0","2021-04-11 15:54:23.47"
"924.25","4.875","3008 33B2 DDD9 0140 0000 0000","2.1230294104337273","-44.5","2021-04-11 15:54:23.491"
"926.25","2.4375","3008 33B2 DDD9 0140 0000 0000","1.5830681730979816","-45.0","2021-04-11 15:54:23.544"
"926.25","-2.4375","3008 33B2 DDD9 0140 0000 0000","1.5892040962495242","-45.0","2021-04-11 15:54:23.568"
"926.25","-7.3125","3008 33B2 DDD9 0140 0000 0000","1.5892040962495242","-44.5","2021-04-11 15:54:23.621"
"926.25","0.0","3008 33B2 DDD9 0140 0000 0000","1.5707963267948966","-45.0","2021-04-11 15:54:23.644"
"926.25","-4.875","3008 33B2 DDD9 0140 0000 0000","1.5707963267948966","-45.0","2021-04-11 15:54:23.695"
