"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"904.25","14.625","3008 33B2 DDD9 0140 0000 0020","2.5034566458293663","-53.5","2021-03-29 20:55:19.965"
"904.25","2.4375","3008 33B2 DDD9 0140 0000 0020","2.521864415283994","-53.5","2021-03-29 20:55:19.988"
"911.75","9.75","3008 33B2 DDD9 0140 0000 0020","0.12885438618239387","-54.0","2021-03-29 20:55:20.064"
"911.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","0.15339807878856412","-54.0","2021-03-29 20:55:20.086"
"911.75","7.3125","3008 33B2 DDD9 0140 0000 0020","0.14726215563702155","-54.0","2021-03-29 20:55:20.14"
"911.75","17.0625","3008 33B2 DDD9 0140 0000 0020","0.12885438618239387","-54.0","2021-03-29 20:55:20.163"
"922.25","14.625","3008 33B2 DDD9 0140 0000 0020","3.067961575771282","-54.0","2021-03-29 20:55:20.217"
"922.25","20.75","3008 33B2 DDD9 0140 0000 0020","3.06182565261974","-54.0","2021-03-29 20:55:20.24"
"922.25","4.875","3008 33B2 DDD9 0140 0000 0020","3.0925052683774528","-54.0","2021-03-29 20:55:20.295"
"922.25","7.3125","3008 33B2 DDD9 0140 0000 0020","3.067961575771282","-54.0","2021-03-29 20:55:20.319"
"922.25","23.1875","3008 33B2 DDD9 0140 0000 0020","3.055689729468197","-54.0","2021-03-29 20:55:20.372"
"922.25","9.75","3008 33B2 DDD9 0140 0000 0020","3.0802334220743677","-53.5","2021-03-29 20:55:20.394"
"924.75","12.1875","3008 33B2 DDD9 0140 0000 0020","2.2518837966161214","-53.5","2021-03-29 20:55:20.471"
"924.75","7.3125","3008 33B2 DDD9 0140 0000 0020","2.282563412373834","-53.5","2021-03-29 20:55:20.493"
"924.75","7.3125","3008 33B2 DDD9 0140 0000 0020","2.2641556429192065","-53.5","2021-03-29 20:55:20.547"
"924.75","12.1875","3008 33B2 DDD9 0140 0000 0020","2.2580197197676637","-53.5","2021-03-29 20:55:20.569"
"924.25","7.3125","3008 33B2 DDD9 0140 0000 0020","2.435961491162398","-53.5","2021-03-29 20:55:20.624"
"924.25","24.375","3008 33B2 DDD9 0140 0000 0020","2.386874105950058","-53.5","2021-03-29 20:55:20.648"
"924.25","24.375","3008 33B2 DDD9 0140 0000 0020","2.3930100291016","-53.5","2021-03-29 20:55:20.701"
"924.25","23.1875","3008 33B2 DDD9 0140 0000 0020","2.399145952253143","-53.5","2021-03-29 20:55:20.725"
"924.25","17.0625","3008 33B2 DDD9 0140 0000 0020","2.405281875404685","-53.5","2021-03-29 20:55:20.778"
"924.25","9.75","3008 33B2 DDD9 0140 0000 0020","2.405281875404685","-53.5","2021-03-29 20:55:20.801"
"902.75","17.0625","3008 33B2 DDD9 0140 0000 0020","2.9636508821950587","-53.5","2021-03-29 20:55:20.862"
"902.75","23.1875","3008 33B2 DDD9 0140 0000 0020","2.9575149590435164","-53.5","2021-03-29 20:55:20.885"
"902.75","12.1875","3008 33B2 DDD9 0140 0000 0020","2.9697868053466014","-53.5","2021-03-29 20:55:20.938"
"902.75","21.9375","3008 33B2 DDD9 0140 0000 0020","2.9575149590435164","-53.5","2021-03-29 20:55:20.961"
"902.75","19.5","3008 33B2 DDD9 0140 0000 0020","2.9575149590435164","-53.5","2021-03-29 20:55:21.015"
"923.75","4.875","3008 33B2 DDD9 0140 0000 0020","2.5832236467994196","-53.5","2021-03-29 20:55:21.048"
"923.75","7.3125","3008 33B2 DDD9 0140 0000 0020","2.5832236467994196","-53.5","2021-03-29 20:55:21.103"
"923.75","24.375","3008 33B2 DDD9 0140 0000 0020","2.5770877236478773","-53.0","2021-03-29 20:55:21.126"
"923.75","26.8125","3008 33B2 DDD9 0140 0000 0020","2.552544031041707","-53.5","2021-03-29 20:55:21.181"
"923.75","19.5","3008 33B2 DDD9 0140 0000 0020","2.5832236467994196","-53.0","2021-03-29 20:55:21.204"
"910.75","7.3125","3008 33B2 DDD9 0140 0000 0020","0.4540583132141498","-53.5","2021-03-29 20:55:21.28"
"910.75","12.1875","3008 33B2 DDD9 0140 0000 0020","0.44178646691106466","-53.5","2021-03-29 20:55:21.303"
"910.75","12.1875","3008 33B2 DDD9 0140 0000 0020","0.4356505437595221","-53.5","2021-03-29 20:55:21.356"
"910.75","9.75","3008 33B2 DDD9 0140 0000 0020","0.4479223900626072","-53.5","2021-03-29 20:55:21.378"
"916.75","17.0625","3008 33B2 DDD9 0140 0000 0020","4.92714629068868","-53.5","2021-03-29 20:55:21.434"
"916.75","17.0625","3008 33B2 DDD9 0140 0000 0020","4.908738521234052","-53.5","2021-03-29 20:55:21.457"
"916.75","-4.875","3008 33B2 DDD9 0140 0000 0020","4.957825906446392","-53.5","2021-03-29 20:55:21.51"
