"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"903.25","4.875","E200 001D 1910 0116 1310 566E","1.2517283229146832","-61.5","2021-05-12 20:34:31.977"
"903.25","73.1875","E200 001D 1910 0117 1310 5A02","3.9085830475326135","-64.0","2021-05-12 20:34:31.978"
"903.25","12.1875","3008 33B2 DDD9 0140 0000 0020","2.1598449493429825","-49.0","2021-05-12 20:34:31.979"
"903.25","0.0","E200 001D 1910 0116 1310 566E","1.1965050145508","-61.5","2021-05-12 20:34:32.002"
"903.25","9.75","E200 001D 1910 0117 1310 5A02","4.0558452031696355","-65.0","2021-05-12 20:34:32.004"
"903.25","19.5","3008 33B2 DDD9 0140 0000 0020","2.1475731030398975","-49.0","2021-05-12 20:34:32.004"
"903.25","25.625","E200 001D 1910 0116 1310 566E","1.0737865515199487","-61.0","2021-05-12 20:34:32.055"
"903.25","4.875","3008 33B2 DDD9 0140 0000 0020","2.172116795646068","-49.0","2021-05-12 20:34:32.056"
"903.25","-17.0625","E200 001D 1910 0117 1310 5A02","4.1172044346850605","-65.0","2021-05-12 20:34:32.057"
"903.25","0.625","E200 001D 1910 0119 1310 5A03","4.503767593232243","-67.5","2021-05-12 20:34:32.078"
"903.25","0.0","E200 001D 1910 0117 1310 5A02","4.086524818927348","-64.5","2021-05-12 20:34:32.092"
"903.25","-9.75","E200 001D 1910 0116 1310 566E","1.2210487071569704","-61.5","2021-05-12 20:34:32.093"
"903.25","12.1875","3008 33B2 DDD9 0140 0000 0020","2.1475731030398975","-49.0","2021-05-12 20:34:32.093"
"909.75","-28.0625","E200 001D 1910 0116 1310 566E","3.2336315008629315","-63.0","2021-05-12 20:34:32.155"
"909.75","12.1875","3008 33B2 DDD9 0140 0000 0020","0.4111068511533518","-48.5","2021-05-12 20:34:32.156"
"909.75","97.625","E200 001D 1910 0117 1310 5A02","0.28225246497095796","-66.0","2021-05-12 20:34:32.158"
"909.75","12.1875","3008 33B2 DDD9 0140 0000 0020","0.3988350048502667","-49.0","2021-05-12 20:34:32.18"
"909.75","20.75","E200 001D 1910 0116 1310 566E","3.184544115650591","-62.5","2021-05-12 20:34:32.18"
"909.75","7.3125","E200 001D 1910 0117 1310 5A02","0.25157284921324513","-66.0","2021-05-12 20:34:32.181"
"909.75","1.875","E200 001D 1910 0119 1310 5A03","4.080388895775806","-69.0","2021-05-12 20:34:32.207"
"909.75","40.25","E200 001D 1910 0117 1310 5A02","0.2761165418194154","-66.5","2021-05-12 20:34:32.245"
"909.75","7.3125","3008 33B2 DDD9 0140 0000 0020","0.3988350048502667","-48.5","2021-05-12 20:34:32.246"
"909.75","50.0","E200 001D 1910 0116 1310 566E","3.074097498922825","-63.0","2021-05-12 20:34:32.247"
"909.75","2.5625","E200 001D 1910 0118 1310 566F","0.09817477042468103","-69.0","2021-05-12 20:34:32.26"
"909.75","-4.875","E200 001D 1910 0116 1310 566E","3.2090878082567613","-63.0","2021-05-12 20:34:32.279"
"909.75","75.625","E200 001D 1910 0117 1310 5A02","0.1718058482431918","-66.0","2021-05-12 20:34:32.28"
"909.75","2.4375","3008 33B2 DDD9 0140 0000 0020","0.4172427743048944","-48.5","2021-05-12 20:34:32.281"
"927.25","12.1875","3008 33B2 DDD9 0140 0000 0020","1.2578642460662257","-47.5","2021-05-12 20:34:32.358"
"927.25","9.75","3008 33B2 DDD9 0140 0000 0020","1.2762720155208536","-47.5","2021-05-12 20:34:32.38"
"927.25","4.875","3008 33B2 DDD9 0140 0000 0020","1.2762720155208536","-47.0","2021-05-12 20:34:32.432"
"927.25","9.75","3008 33B2 DDD9 0140 0000 0020","1.2517283229146832","-47.5","2021-05-12 20:34:32.454"
"926.75","4.875","3008 33B2 DDD9 0140 0000 0020","1.4542137869155878","-48.0","2021-05-12 20:34:32.511"
"926.75","4.875","3008 33B2 DDD9 0140 0000 0020","1.4603497100671303","-48.0","2021-05-12 20:34:32.531"
"926.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","1.4480778637640452","-48.0","2021-05-12 20:34:32.587"
"926.75","7.3125","3008 33B2 DDD9 0140 0000 0020","1.4358060174609601","-48.0","2021-05-12 20:34:32.613"
"926.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","1.4480778637640452","-48.0","2021-05-12 20:34:32.667"
"926.75","-4.875","3008 33B2 DDD9 0140 0000 0020","1.4664856332186729","-48.0","2021-05-12 20:34:32.688"
"905.75","-2.4375","E200 001D 1910 0119 1310 5A03","3.160000423044421","-67.0","2021-05-12 20:34:32.759"
"905.75","-9.75","E200 001D 1910 0117 1310 5A02","2.6384469551633027","-63.5","2021-05-12 20:34:32.761"
"905.75","-12.1875","3008 33B2 DDD9 0140 0000 0020","1.552388557340269","-49.5","2021-05-12 20:34:32.761"
"905.75","20.75","E200 001D 1910 0116 1310 566E","5.755495916146925","-62.0","2021-05-12 20:34:32.762"
"905.75","13.375","E200 001D 1910 0119 1310 5A03","3.227495577711389","-66.5","2021-05-12 20:34:32.783"
"905.75","148.875","E200 001D 1910 0118 1310 566F","5.712544454086128","-67.0","2021-05-12 20:34:32.784"
"905.75","-101.3125","E200 001D 1910 0116 1310 566E","6.080699843178682","-61.5","2021-05-12 20:34:32.786"
"905.75","-32.9375","E200 001D 1910 0117 1310 5A02","2.7550294950426117","-64.5","2021-05-12 20:34:32.786"
"905.75","4.875","3008 33B2 DDD9 0140 0000 0020","1.521708941582556","-49.5","2021-05-12 20:34:32.787"
"905.75","13.375","E200 001D 1910 0119 1310 5A03","3.129320807286708","-66.5","2021-05-12 20:34:32.838"
"905.75","17.0625","3008 33B2 DDD9 0140 0000 0020","1.4971652489763858","-49.5","2021-05-12 20:34:32.84"
"905.75","-25.625","E200 001D 1910 0116 1310 566E","5.896622148632405","-61.5","2021-05-12 20:34:32.841"
"905.75","-12.1875","E200 001D 1910 0117 1310 5A02","2.779573187648782","-64.5","2021-05-12 20:34:32.842"
"905.75","-0.0625","E200 001D 1910 0118 1310 566F","6.013204688511713","-68.0","2021-05-12 20:34:32.864"
"905.75","-13.375","E200 001D 1910 0116 1310 566E","5.853670686571607","-62.0","2021-05-12 20:34:32.872"
"905.75","-4.875","E200 001D 1910 0117 1310 5A02","2.6875343403756435","-64.5","2021-05-12 20:34:32.873"
"905.75","-29.25","E200 001D 1910 0119 1310 5A03","3.08636934522591","-66.5","2021-05-12 20:34:32.874"
"905.75","2.4375","3008 33B2 DDD9 0140 0000 0020","1.5033011721279284","-49.5","2021-05-12 20:34:32.874"
"905.25","-28.0625","E200 001D 1910 0116 1310 566E","6.154330920997192","-61.5","2021-05-12 20:34:32.929"
"905.25","109.8125","E200 001D 1910 0119 1310 5A03","3.356349963893783","-66.0","2021-05-12 20:34:32.93"
"905.25","25.625","E200 001D 1910 0117 1310 5A02","2.8716120349219203","-64.5","2021-05-12 20:34:32.93"
"905.25","-4.875","3008 33B2 DDD9 0140 0000 0020","1.6505633277649499","-49.0","2021-05-12 20:34:32.931"
"905.25","0.0","E200 001D 1910 0117 1310 5A02","2.9820586516496865","-65.0","2021-05-12 20:34:32.953"
"905.25","39.0625","E200 001D 1910 0116 1310 566E","6.105243535784852","-62.0","2021-05-12 20:34:32.954"
"905.25","45.125","E200 001D 1910 0119 1310 5A03","3.5465635815916023","-66.0","2021-05-12 20:34:32.955"
"905.25","4.875","3008 33B2 DDD9 0140 0000 0020","1.6444274046134073","-49.0","2021-05-12 20:34:32.956"
