"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"917.75","17.0625","3008 33B2 DDD9 0140 0000 0040","2.2212041808584084","-52.5","2021-05-12 20:27:04.267"
"917.75","-46.375","E200 001D 1910 0116 1310 566E","5.209398755659637","-67.0","2021-05-12 20:27:04.268"
"917.75","7.3125","E200 001D 1910 0116 1310 566E","4.841243366567084","-66.5","2021-05-12 20:27:04.288"
"917.75","17.0625","3008 33B2 DDD9 0140 0000 0040","2.2089323345553233","-52.5","2021-05-12 20:27:04.29"
"917.75","-13.375","E200 001D 1910 0116 1310 566E","5.037592907416445","-67.0","2021-05-12 20:27:04.343"
"917.75","24.375","3008 33B2 DDD9 0140 0000 0040","2.1905245651006955","-52.5","2021-05-12 20:27:04.345"
"917.75","62.25","E200 001D 1910 0116 1310 566E","4.718524903536232","-66.5","2021-05-12 20:27:04.365"
"917.75","9.75","3008 33B2 DDD9 0140 0000 0040","2.2334760271614935","-53.0","2021-05-12 20:27:04.368"
"916.25","-34.125","E200 001D 1910 0116 1310 566E","5.853670686571607","-65.5","2021-05-12 20:27:04.437"
"916.25","4.875","3008 33B2 DDD9 0140 0000 0040","2.650718801466388","-52.5","2021-05-12 20:27:04.439"
"916.25","14.625","3008 33B2 DDD9 0140 0000 0040","2.5586799541932495","-52.5","2021-05-12 20:27:04.468"
"916.25","31.6875","E200 001D 1910 0116 1310 566E","5.773903685601553","-66.0","2021-05-12 20:27:04.469"
"916.25","17.0625","3008 33B2 DDD9 0140 0000 0040","2.5464081078901644","-52.5","2021-05-12 20:27:04.522"
"916.25","4.875","E200 001D 1910 0116 1310 566E","5.780039608753096","-65.5","2021-05-12 20:27:04.523"
"916.25","21.9375","3008 33B2 DDD9 0140 0000 0040","2.5586799541932495","-52.5","2021-05-12 20:27:04.544"
"916.25","0.9375","E200 001D 1910 0116 1310 566E","5.651185222570702","-67.0","2021-05-12 20:27:04.556"
"916.25","-1.625","E200 001D 1910 0117 1310 5A02","3.227495577711389","-71.5","2021-05-12 20:27:04.571"
"925.25","19.5","3008 33B2 DDD9 0140 0000 0040","0.4970097752749477","-51.5","2021-05-12 20:27:04.64"
"925.25","29.25","3008 33B2 DDD9 0140 0000 0040","0.5460971604872883","-51.5","2021-05-12 20:27:04.663"
"925.25","12.1875","3008 33B2 DDD9 0140 0000 0040","0.5092816215780329","-51.5","2021-05-12 20:27:04.716"
"925.25","21.9375","3008 33B2 DDD9 0140 0000 0040","0.4724660826687775","-51.5","2021-05-12 20:27:04.741"
"913.25","7.3125","E200 001D 1910 0116 1310 566E","1.2946797849754812","-65.0","2021-05-12 20:27:04.792"
"913.25","-12.1875","3008 33B2 DDD9 0140 0000 0040","3.2704470397721868","-52.5","2021-05-12 20:27:04.794"
"913.25","0.4375","E200 001D 1910 0117 1310 5A02","4.81056375080937","-69.5","2021-05-12 20:27:04.811"
"913.25","-14.625","3008 33B2 DDD9 0140 0000 0040","3.2336315008629315","-52.5","2021-05-12 20:27:04.828"
"913.25","18.25","E200 001D 1910 0116 1310 566E","1.214912784005428","-65.0","2021-05-12 20:27:04.829"
"913.25","-1.8125","E200 001D 1910 0117 1310 5A02","4.92714629068868","-69.5","2021-05-12 20:27:04.848"
"913.25","14.625","3008 33B2 DDD9 0140 0000 0040","3.2213596545598464","-52.5","2021-05-12 20:27:04.894"
"913.25","48.8125","E200 001D 1910 0116 1310 566E","1.2946797849754812","-65.0","2021-05-12 20:27:04.894"
"913.25","-1.1875","E200 001D 1910 0117 1310 5A02","4.945554060143307","-68.0","2021-05-12 20:27:04.913"
"913.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","3.2581751934691017","-52.5","2021-05-12 20:27:04.926"
"913.25","-39.0625","E200 001D 1910 0116 1310 566E","1.3314953238847365","-64.0","2021-05-12 20:27:04.928"
"913.25","-13.375","E200 001D 1910 0116 1310 566E","1.3621749396424494","-63.5","2021-05-12 20:27:04.981"
"913.25","17.0625","3008 33B2 DDD9 0140 0000 0040","3.2029518851052186","-52.5","2021-05-12 20:27:04.982"
"921.25","0.0","3008 33B2 DDD9 0140 0000 0040","1.4664856332186729","-53.0","2021-05-12 20:27:05.02"
"921.25","-0.5625","E200 001D 1910 0116 1310 566E","5.485515297479052","-66.0","2021-05-12 20:27:05.036"
"921.25","-17.0625","3008 33B2 DDD9 0140 0000 0040","1.521708941582556","-52.5","2021-05-12 20:27:05.085"
"921.25","1.25","E200 001D 1910 0116 1310 566E","5.43029198911517","-69.0","2021-05-12 20:27:05.126"
"921.25","-12.1875","3008 33B2 DDD9 0140 0000 0040","1.552388557340269","-52.5","2021-05-12 20:27:05.135"
"921.25","2.4375","E200 001D 1910 0116 1310 566E","2.227340104009951","-67.5","2021-05-12 20:27:05.137"
"921.25","26.8125","3008 33B2 DDD9 0140 0000 0040","1.4542137869155878","-53.0","2021-05-12 20:27:05.189"
