"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"922.25","12.1875","3008 33B2 DDD9 0140 0000 0040","4.154019973594316","-45.0","2021-05-12 20:27:31.745"
"922.25","0.8125","E200 001D 1910 0116 1310 566E","1.5830681730979816","-69.5","2021-05-12 20:27:31.761"
"922.25","7.3125","3008 33B2 DDD9 0140 0000 0040","4.172427743048944","-45.5","2021-05-12 20:27:31.808"
"922.25","0.25","E200 001D 1910 0116 1310 566E","1.5278448647340985","-67.0","2021-05-12 20:27:31.825"
"914.25","2.25","E200 001D 1910 0117 1310 5A02","1.0615147052168636","-70.5","2021-05-12 20:27:31.855"
"914.25","2.4375","3008 33B2 DDD9 0140 0000 0040","0.07363107781851078","-45.5","2021-05-12 20:27:31.876"
"914.25","133.0","E200 001D 1910 0116 1310 566E","0.48473792897186263","-66.0","2021-05-12 20:27:31.878"
"914.25","-1.4375","E200 001D 1910 0117 1310 5A02","4.325825821837508","-68.5","2021-05-12 20:27:31.902"
"914.25","-7.3125","3008 33B2 DDD9 0140 0000 0040","0.09203884727313846","-45.0","2021-05-12 20:27:31.94"
"914.25","-2.4375","E200 001D 1910 0116 1310 566E","0.859029241215959","-65.5","2021-05-12 20:27:31.942"
"914.25","-0.25","E200 001D 1910 0117 1310 5A02","4.25833066717054","-69.5","2021-05-12 20:27:31.954"
"914.25","0.0","3008 33B2 DDD9 0140 0000 0040","0.0674951546669682","-45.5","2021-05-12 20:27:31.973"
"914.25","174.5","E200 001D 1910 0116 1310 566E","0.3374757733348411","-64.5","2021-05-12 20:27:31.974"
"914.25","-1.125","E200 001D 1910 0117 1310 5A02","4.239922897715912","-68.5","2021-05-12 20:27:31.992"
"914.25","10.9375","E200 001D 1910 0116 1310 566E","0.705631162427395","-65.0","2021-05-12 20:27:32.037"
"903.25","4.25","3008 33B2 DDD9 0140 0000 0040","0.1227184630308513","-45.5","2021-05-12 20:27:32.05"
"903.25","-2.125","E200 001D 1910 0117 1310 5A02","1.0246991663076084","-66.0","2021-05-12 20:27:32.056"
"903.25","45.125","E200 001D 1910 0117 1310 5A02","4.06811704947272","-65.5","2021-05-12 20:27:32.081"
"903.25","52.4375","E200 001D 1910 0116 1310 566E","1.184233168247715","-62.0","2021-05-12 20:27:32.083"
"903.25","14.625","3008 33B2 DDD9 0140 0000 0040","3.3011266555298997","-45.0","2021-05-12 20:27:32.085"
"903.25","1.5","E200 001D 1910 0118 1310 566F","1.1719613219446299","-68.5","2021-05-12 20:27:32.106"
"903.25","-1.125","E200 001D 1910 0119 1310 5A03","4.626486056263094","-68.0","2021-05-12 20:27:32.115"
"903.25","7.3125","3008 33B2 DDD9 0140 0000 0040","3.3072625786814425","-45.0","2021-05-12 20:27:32.155"
