"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"921.25","0.0","E200 001D 1910 0116 1310 566E","2.1475731030398975","-67.5","2021-05-12 20:34:56.259"
"921.25","17.0625","3008 33B2 DDD9 0140 0000 0020","2.705942109830271","-48.5","2021-05-12 20:34:56.261"
"921.75","-0.5625","E200 001D 1910 0117 1310 5A02","5.7524279545711545","-70.5","2021-05-12 20:34:56.291"
"921.75","-7.3125","E200 001D 1910 0116 1310 566E","1.8039614065535141","-69.0","2021-05-12 20:34:56.314"
"921.75","4.875","3008 33B2 DDD9 0140 0000 0020","2.5832236467994196","-48.5","2021-05-12 20:34:56.316"
"921.75","-4.25","E200 001D 1910 0117 1310 5A02","5.927301764390117","-71.0","2021-05-12 20:34:56.338"
"921.75","9.75","3008 33B2 DDD9 0140 0000 0020","2.5709518004963345","-48.5","2021-05-12 20:34:56.38"
"921.75","1.3125","E200 001D 1910 0117 1310 5A02","5.491651220630596","-71.5","2021-05-12 20:34:56.393"
"921.75","1.5625","E200 001D 1910 0116 1310 566E","1.6873788666742053","-69.0","2021-05-12 20:34:56.408"
"921.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","2.5770877236478773","-48.5","2021-05-12 20:34:56.423"
"921.75","-29.25","E200 001D 1910 0116 1310 566E","1.8223691760081417","-67.0","2021-05-12 20:34:56.425"
"921.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","2.5954954931025047","-48.5","2021-05-12 20:34:56.478"
"921.75","2.4375","E200 001D 1910 0116 1310 566E","1.88986433067511","-69.0","2021-05-12 20:34:56.479"
"908.25","41.5","E200 001D 1910 0119 1310 5A03","1.7119225592803755","-66.0","2021-05-12 20:34:56.511"
"908.25","7.3125","E200 001D 1910 0117 1310 5A02","1.0737865515199487","-65.0","2021-05-12 20:34:56.513"
"908.25","19.5","3008 33B2 DDD9 0140 0000 0020","0.30066023442558565","-50.0","2021-05-12 20:34:56.513"
"908.25","-39.0625","E200 001D 1910 0116 1310 566E","4.301282129231338","-62.0","2021-05-12 20:34:56.514"
"908.25","0.0","E200 001D 1910 0117 1310 5A02","1.1658253987930873","-65.0","2021-05-12 20:34:56.567"
"908.25","-25.625","E200 001D 1910 0116 1310 566E","4.221515128261284","-62.5","2021-05-12 20:34:56.568"
"908.25","9.75","3008 33B2 DDD9 0140 0000 0020","0.3129320807286708","-50.0","2021-05-12 20:34:56.569"
"908.25","39.0625","E200 001D 1910 0119 1310 5A03","1.7241944055834606","-66.5","2021-05-12 20:34:56.57"
"908.25","2.4375","3008 33B2 DDD9 0140 0000 0020","0.3313398501832985","-49.5","2021-05-12 20:34:56.592"
"908.25","-43.9375","E200 001D 1910 0119 1310 5A03","1.8346410223112268","-66.5","2021-05-12 20:34:56.593"
"908.25","0.0","E200 001D 1910 0117 1310 5A02","1.1780972450961724","-64.5","2021-05-12 20:34:56.593"
"908.25","43.9375","E200 001D 1910 0116 1310 566E","4.04357335686655","-62.0","2021-05-12 20:34:56.594"
"908.25","14.625","3008 33B2 DDD9 0140 0000 0020","0.3129320807286708","-50.0","2021-05-12 20:34:56.645"
"908.25","-91.5","E200 001D 1910 0119 1310 5A03","1.9205439464328227","-67.0","2021-05-12 20:34:56.647"
"908.25","20.75","E200 001D 1910 0117 1310 5A02","1.0676506283684062","-64.5","2021-05-12 20:34:56.648"
"908.25","25.625","E200 001D 1910 0116 1310 566E","4.086524818927348","-62.0","2021-05-12 20:34:56.649"
"908.25","0.25","E200 001D 1910 0118 1310 566F","1.2885438618239387","-68.0","2021-05-12 20:34:56.662"
"908.25","19.5","E200 001D 1910 0117 1310 5A02","1.1106020904292042","-65.0","2021-05-12 20:34:56.679"
"908.25","4.875","3008 33B2 DDD9 0140 0000 0020","0.3313398501832985","-49.5","2021-05-12 20:34:56.681"
"908.25","50.0","E200 001D 1910 0119 1310 5A03","1.705786636128833","-66.0","2021-05-12 20:34:56.681"
"908.25","18.25","E200 001D 1910 0116 1310 566E","4.178563666200486","-62.5","2021-05-12 20:34:56.682"
"917.25","-7.3125","3008 33B2 DDD9 0140 0000 0020","4.049709280018092","-49.0","2021-05-12 20:34:56.744"
"917.25","-25.625","E200 001D 1910 0116 1310 566E","5.062136600022616","-66.0","2021-05-12 20:34:56.745"
"917.25","-4.875","E200 001D 1910 0116 1310 566E","5.105088062083414","-65.5","2021-05-12 20:34:56.766"
"917.25","7.3125","3008 33B2 DDD9 0140 0000 0020","3.9944859716542096","-49.0","2021-05-12 20:34:56.767"
"917.25","7.3125","3008 33B2 DDD9 0140 0000 0020","3.9944859716542096","-49.0","2021-05-12 20:34:56.819"
"917.25","-167.1875","E200 001D 1910 0116 1310 566E","5.473243451175968","-67.5","2021-05-12 20:34:56.82"
