"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"910.75","2.4375","E200 001D 1910 0116 1310 566E","3.6079228131070282","-66.0","2021-05-12 20:06:16.99"
"910.75","14.625","3008 33B2 DDD9 0140 0000 0030","3.7551849687440497","-58.5","2021-05-12 20:06:16.991"
"910.75","-0.8125","E200 001D 1910 0119 1310 5A03","4.215379205109742","-68.5","2021-05-12 20:06:17.016"
"920.25","-21.9375","3008 33B2 DDD9 0140 0000 0030","1.055378782065321","-57.5","2021-05-12 20:06:17.055"
"920.25","51.25","3008 33B2 DDD9 0140 0000 0030","0.9510680884890975","-57.5","2021-05-12 20:06:17.078"
"920.25","14.625","3008 33B2 DDD9 0140 0000 0030","1.0185632431560658","-57.5","2021-05-12 20:06:17.13"
"920.25","24.375","3008 33B2 DDD9 0140 0000 0030","0.9878836273983529","-57.5","2021-05-12 20:06:17.152"
"920.25","21.9375","3008 33B2 DDD9 0140 0000 0030","1.012427320004523","-57.5","2021-05-12 20:06:17.206"
"920.25","21.9375","3008 33B2 DDD9 0140 0000 0030","1.0062913968529805","-57.5","2021-05-12 20:06:17.229"
"907.25","-41.5","E200 001D 1910 0118 1310 566F","5.841398840268521","-67.0","2021-05-12 20:06:17.252"
"907.25","29.25","E200 001D 1910 0117 1310 5A02","2.116893487282185","-66.5","2021-05-12 20:06:17.253"
"907.25","4.875","E200 001D 1910 0116 1310 566E","5.755495916146925","-64.5","2021-05-12 20:06:17.303"
"907.25","13.375","E200 001D 1910 0119 1310 5A03","2.6691265709210157","-67.0","2021-05-12 20:06:17.304"
"907.25","106.1875","E200 001D 1910 0117 1310 5A02","1.9696313316451632","-67.5","2021-05-12 20:06:17.304"
"907.25","36.5625","3008 33B2 DDD9 0140 0000 0030","4.675573441475434","-58.5","2021-05-12 20:06:17.306"
"907.25","-115.9375","E200 001D 1910 0118 1310 566F","5.964117303299373","-66.5","2021-05-12 20:06:17.307"
"907.25","61.0","E200 001D 1910 0118 1310 566F","5.688000761479957","-66.5","2021-05-12 20:06:17.329"
"907.25","15.8125","E200 001D 1910 0116 1310 566E","5.681864838328415","-64.5","2021-05-12 20:06:17.33"
"907.25","-91.5","E200 001D 1910 0119 1310 5A03","2.84706834231575","-67.0","2021-05-12 20:06:17.331"
"907.25","70.75","E200 001D 1910 0117 1310 5A02","2.000310947402876","-66.0","2021-05-12 20:06:17.332"
"907.25","9.75","3008 33B2 DDD9 0140 0000 0030","4.6878452877785195","-58.0","2021-05-12 20:06:17.332"
"907.25","-14.625","3008 33B2 DDD9 0140 0000 0030","4.755340442445488","-58.5","2021-05-12 20:06:17.386"
"907.25","15.8125","E200 001D 1910 0119 1310 5A03","2.662990647769473","-65.5","2021-05-12 20:06:17.387"
"907.25","42.6875","E200 001D 1910 0118 1310 566F","5.8045833013592665","-67.0","2021-05-12 20:06:17.388"
"907.25","-43.9375","E200 001D 1910 0116 1310 566E","5.884350302329319","-64.0","2021-05-12 20:06:17.388"
"907.25","17.0625","E200 001D 1910 0117 1310 5A02","2.073942025221387","-67.0","2021-05-12 20:06:17.389"
"907.25","-75.625","E200 001D 1910 0119 1310 5A03","2.988194574801229","-65.5","2021-05-12 20:06:17.409"
"907.25","-54.875","E200 001D 1910 0116 1310 566E","5.915029918087033","-64.5","2021-05-12 20:06:17.411"
"907.25","21.9375","3008 33B2 DDD9 0140 0000 0030","4.693981210930062","-58.0","2021-05-12 20:06:17.412"
"907.25","41.5","E200 001D 1910 0117 1310 5A02","2.0493983326152168","-67.5","2021-05-12 20:06:17.413"
"907.25","30.5","E200 001D 1910 0118 1310 566F","5.706408530934585","-67.5","2021-05-12 20:06:17.413"
"926.25","0.0","3008 33B2 DDD9 0140 0000 0030","5.405748296509","-57.0","2021-05-12 20:06:17.466"
"926.25","-4.875","3008 33B2 DDD9 0140 0000 0030","5.424156065963627","-57.5","2021-05-12 20:06:17.492"
"926.25","61.0","3008 33B2 DDD9 0140 0000 0030","5.283029833478148","-56.0","2021-05-12 20:06:17.548"
"926.25","17.0625","3008 33B2 DDD9 0140 0000 0030","5.393476450205914","-57.5","2021-05-12 20:06:17.574"
"926.25","26.8125","3008 33B2 DDD9 0140 0000 0030","5.387340527054372","-57.0","2021-05-12 20:06:17.628"
"926.25","-7.3125","3008 33B2 DDD9 0140 0000 0030","5.522330836388308","-57.0","2021-05-12 20:06:17.649"
"903.75","0.0","E200 001D 1910 0118 1310 566F","1.7978254834019713","-67.5","2021-05-12 20:06:17.712"
"903.75","2.4375","E200 001D 1910 0119 1310 5A03","4.718524903536232","-65.0","2021-05-12 20:06:17.713"
"903.75","12.1875","3008 33B2 DDD9 0140 0000 0030","5.712544454086128","-58.0","2021-05-12 20:06:17.714"
"903.75","29.25","E200 001D 1910 0116 1310 566E","1.6382914814618648","-63.5","2021-05-12 20:06:17.715"
"903.75","61.0","E200 001D 1910 0117 1310 5A02","4.1417481272912315","-66.0","2021-05-12 20:06:17.716"
"903.75","68.3125","E200 001D 1910 0117 1310 5A02","4.111068511533518","-67.0","2021-05-12 20:06:17.738"
"903.75","0.0","E200 001D 1910 0116 1310 566E","1.7671458676442586","-64.0","2021-05-12 20:06:17.738"
"903.75","-12.1875","3008 33B2 DDD9 0140 0000 0030","5.767767762450011","-58.0","2021-05-12 20:06:17.74"
"903.75","58.5625","E200 001D 1910 0119 1310 5A03","4.651029748869264","-64.5","2021-05-12 20:06:17.741"
"903.75","-29.25","E200 001D 1910 0118 1310 566F","1.6812429435226628","-66.5","2021-05-12 20:06:17.742"
"903.75","28.0625","E200 001D 1910 0117 1310 5A02","4.28287435977671","-65.5","2021-05-12 20:06:17.794"
"903.75","46.375","E200 001D 1910 0119 1310 5A03","4.681709364626977","-65.5","2021-05-12 20:06:17.795"
"903.75","-2.4375","3008 33B2 DDD9 0140 0000 0030","5.71868037723767","-58.0","2021-05-12 20:06:17.796"
"903.75","52.4375","E200 001D 1910 0116 1310 566E","1.6137477888556946","-64.0","2021-05-12 20:06:17.797"
"903.75","0.0","E200 001D 1910 0117 1310 5A02","4.28287435977671","-66.5","2021-05-12 20:06:17.818"
"903.75","-72.0","E200 001D 1910 0119 1310 5A03","4.859651136021712","-65.5","2021-05-12 20:06:17.82"
"903.75","36.5625","3008 33B2 DDD9 0140 0000 0030","5.66959299202533","-57.5","2021-05-12 20:06:17.82"
"903.75","-10.9375","E200 001D 1910 0116 1310 566E","1.8100973297050567","-64.0","2021-05-12 20:06:17.822"
"918.75","-4.875","3008 33B2 DDD9 0140 0000 0030","1.509437095279471","-57.5","2021-05-12 20:06:17.876"
"918.75","26.8125","3008 33B2 DDD9 0140 0000 0030","1.4787574795217582","-57.5","2021-05-12 20:06:17.896"
"918.75","14.625","3008 33B2 DDD9 0140 0000 0030","1.4787574795217582","-58.0","2021-05-12 20:06:17.952"
"918.75","-4.875","3008 33B2 DDD9 0140 0000 0030","1.552388557340269","-57.5","2021-05-12 20:06:17.977"
"918.75","2.4375","3008 33B2 DDD9 0140 0000 0030","1.5033011721279284","-57.5","2021-05-12 20:06:18.031"
"918.75","0.0","3008 33B2 DDD9 0140 0000 0030","1.5033011721279284","-58.5","2021-05-12 20:06:18.053"
"914.75","7.3125","3008 33B2 DDD9 0140 0000 0030","2.5954954931025047","-58.0","2021-05-12 20:06:18.127"
"914.75","48.8125","3008 33B2 DDD9 0140 0000 0030","2.521864415283994","-58.0","2021-05-12 20:06:18.151"
"914.75","48.8125","3008 33B2 DDD9 0140 0000 0030","2.662990647769473","-57.5","2021-05-12 20:06:18.204"
"914.75","70.75","3008 33B2 DDD9 0140 0000 0030","2.478912953223196","-58.0","2021-05-12 20:06:18.226"
"907.75","-48.8125","E200 001D 1910 0116 1310 566E","5.5714182216006485","-64.5","2021-05-12 20:06:18.279"
"907.75","45.125","E200 001D 1910 0119 1310 5A03","2.380738182798515","-66.5","2021-05-12 20:06:18.281"
"907.75","26.8125","3008 33B2 DDD9 0140 0000 0030","4.552854978444583","-58.0","2021-05-12 20:06:18.281"
"907.75","40.25","E200 001D 1910 0118 1310 566F","5.424156065963627","-66.0","2021-05-12 20:06:18.282"
"907.75","-0.5625","E200 001D 1910 0117 1310 5A02","5.0253210611133605","-67.5","2021-05-12 20:06:18.294"
"907.75","17.0625","3008 33B2 DDD9 0140 0000 0030","4.601942363656923","-58.5","2021-05-12 20:06:18.313"
"907.75","48.8125","E200 001D 1910 0117 1310 5A02","1.7548740213411735","-67.5","2021-05-12 20:06:18.314"
"907.75","75.625","E200 001D 1910 0116 1310 566E","5.3627968344482015","-64.0","2021-05-12 20:06:18.315"
"907.75","-184.3125","E200 001D 1910 0118 1310 566F","5.896622148632405","-66.5","2021-05-12 20:06:18.315"
"907.75","-107.375","E200 001D 1910 0119 1310 5A03","2.767301341345697","-67.0","2021-05-12 20:06:18.316"
"907.75","-47.5625","E200 001D 1910 0118 1310 566F","5.66959299202533","-67.0","2021-05-12 20:06:18.369"
"907.75","-48.8125","E200 001D 1910 0116 1310 566E","5.553010452146021","-65.0","2021-05-12 20:06:18.369"
"907.75","29.25","E200 001D 1910 0117 1310 5A02","1.8039614065535141","-67.0","2021-05-12 20:06:18.37"
"907.75","9.75","3008 33B2 DDD9 0140 0000 0030","4.589670517353839","-58.0","2021-05-12 20:06:18.371"
"907.75","-24.375","E200 001D 1910 0119 1310 5A03","2.5709518004963345","-67.5","2021-05-12 20:06:18.372"
"907.75","0.1875","E200 001D 1910 0117 1310 5A02","1.945087639038993","-67.5","2021-05-12 20:06:18.388"
"907.75","14.625","3008 33B2 DDD9 0140 0000 0030","4.601942363656923","-58.5","2021-05-12 20:06:18.404"
"907.75","-7.3125","E200 001D 1910 0116 1310 566E","5.460971604872882","-64.5","2021-05-12 20:06:18.405"
"907.75","-68.3125","E200 001D 1910 0117 1310 5A02","2.1537090261914402","-66.0","2021-05-12 20:06:18.407"
"907.75","-19.5","E200 001D 1910 0118 1310 566F","5.473243451175968","-67.5","2021-05-12 20:06:18.407"
"907.75","85.4375","E200 001D 1910 0119 1310 5A03","2.423689644859313","-67.0","2021-05-12 20:06:18.408"
"907.75","-0.125","E200 001D 1910 0117 1310 5A02","5.037592907416445","-68.0","2021-05-12 20:06:18.418"
"907.75","43.9375","E200 001D 1910 0118 1310 566F","5.43029198911517","-67.0","2021-05-12 20:06:18.468"
"907.75","29.25","3008 33B2 DDD9 0140 0000 0030","4.522175362686871","-58.5","2021-05-12 20:06:18.469"
"920.75","-48.8125","3008 33B2 DDD9 0140 0000 0030","0.9572040116406401","-57.5","2021-05-12 20:06:18.506"
"920.75","56.125","3008 33B2 DDD9 0140 0000 0030","0.8344855486097889","-57.0","2021-05-12 20:06:18.56"
"920.75","-12.1875","3008 33B2 DDD9 0140 0000 0030","0.9142525495798421","-58.0","2021-05-12 20:06:18.583"
"920.75","-2.4375","3008 33B2 DDD9 0140 0000 0030","0.8897088569736719","-58.0","2021-05-12 20:06:18.637"
"920.75","-17.0625","3008 33B2 DDD9 0140 0000 0030","0.9142525495798421","-56.5","2021-05-12 20:06:18.66"
"922.25","78.125","3008 33B2 DDD9 0140 0000 0030","0.2638446955163303","-57.0","2021-05-12 20:06:18.737"
"922.25","19.5","3008 33B2 DDD9 0140 0000 0030","0.37429131224409645","-57.5","2021-05-12 20:06:18.762"
"922.25","12.1875","3008 33B2 DDD9 0140 0000 0030","0.4111068511533518","-58.5","2021-05-12 20:06:18.816"
"922.25","-4.875","3008 33B2 DDD9 0140 0000 0030","0.46019423636569234","-56.5","2021-05-12 20:06:18.838"
"914.25","17.0625","3008 33B2 DDD9 0140 0000 0030","2.7550294950426117","-58.0","2021-05-12 20:06:18.896"
"914.25","24.375","3008 33B2 DDD9 0140 0000 0030","2.7550294950426117","-58.0","2021-05-12 20:06:18.918"
"914.25","-7.3125","3008 33B2 DDD9 0140 0000 0030","2.7550294950426117","-58.0","2021-05-12 20:06:18.972"
"914.25","-0.1875","E200 001D 1910 0116 1310 566E","4.804427827657828","-69.0","2021-05-12 20:06:18.99"
"914.25","26.8125","3008 33B2 DDD9 0140 0000 0030","2.7120780329818137","-58.0","2021-05-12 20:06:19.006"
"914.25","0.125","E200 001D 1910 0116 1310 566E","4.767612288748572","-69.0","2021-05-12 20:06:19.02"
"914.25","12.1875","3008 33B2 DDD9 0140 0000 0030","2.742757648739526","-57.5","2021-05-12 20:06:19.068"
"903.25","0.125","E200 001D 1910 0117 1310 5A02","1.4910293258248433","-66.5","2021-05-12 20:06:19.104"
"903.25","-0.5","E200 001D 1910 0119 1310 5A03","5.049864753719531","-65.5","2021-05-12 20:06:19.117"
"903.25","0.25","E200 001D 1910 0116 1310 566E","2.024854640009046","-64.5","2021-05-12 20:06:19.13"
"903.25","47.5625","E200 001D 1910 0117 1310 5A02","4.4362724385652745","-65.5","2021-05-12 20:06:19.133"
"903.25","26.8125","E200 001D 1910 0119 1310 5A03","5.006913291658733","-65.5","2021-05-12 20:06:19.134"
"903.25","12.1875","3008 33B2 DDD9 0140 0000 0030","5.853670686571607","-58.0","2021-05-12 20:06:19.134"
"903.25","-7.3125","3008 33B2 DDD9 0140 0000 0030","5.927301764390117","-58.0","2021-05-12 20:06:19.186"
"903.25","13.375","E200 001D 1910 0116 1310 566E","1.859184714917397","-64.0","2021-05-12 20:06:19.188"
"903.25","4.875","E200 001D 1910 0117 1310 5A02","4.589670517353839","-65.5","2021-05-12 20:06:19.188"
"903.25","-40.25","E200 001D 1910 0119 1310 5A03","5.086680292628786","-64.5","2021-05-12 20:06:19.189"
"903.25","-7.3125","3008 33B2 DDD9 0140 0000 0030","5.93343768754166","-58.0","2021-05-12 20:06:19.211"
"903.25","2.4375","E200 001D 1910 0117 1310 5A02","4.571262747899211","-65.5","2021-05-12 20:06:19.212"
"903.25","48.8125","E200 001D 1910 0119 1310 5A03","4.933282213840222","-65.0","2021-05-12 20:06:19.214"
"903.25","78.125","E200 001D 1910 0116 1310 566E","1.932815792735908","-64.0","2021-05-12 20:06:19.214"
"903.25","-0.625","E200 001D 1910 0118 1310 566F","5.111223985234957","-68.0","2021-05-12 20:06:19.226"
"903.25","24.375","E200 001D 1910 0119 1310 5A03","4.92714629068868","-64.5","2021-05-12 20:06:19.276"
"903.25","59.8125","E200 001D 1910 0117 1310 5A02","4.405592822807561","-65.5","2021-05-12 20:06:19.276"
"903.25","2.4375","3008 33B2 DDD9 0140 0000 0030","5.884350302329319","-58.0","2021-05-12 20:06:19.278"
"903.25","-4.875","E200 001D 1910 0116 1310 566E","2.012582793705961","-64.5","2021-05-12 20:06:19.279"
"903.25","0.4375","E200 001D 1910 0118 1310 566F","2.0371264863121317","-67.5","2021-05-12 20:06:19.292"
