"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"921.25","2.4375","3008 33B2 DDD9 0140 0000 0030","5.246214294568893","-59.0","2021-05-12 20:07:14.216"
"921.25","12.1875","3008 33B2 DDD9 0140 0000 0030","5.190990986205009","-59.0","2021-05-12 20:07:14.248"
"921.75","92.75","3008 33B2 DDD9 0140 0000 0030","4.914874444385594","-58.5","2021-05-12 20:07:14.317"
"921.75","-7.3125","3008 33B2 DDD9 0140 0000 0030","5.129631754689584","-58.5","2021-05-12 20:07:14.342"
"921.75","-7.3125","3008 33B2 DDD9 0140 0000 0030","5.111223985234957","-58.5","2021-05-12 20:07:14.398"
"921.75","0.0","3008 33B2 DDD9 0140 0000 0030","5.160311370447297","-59.0","2021-05-12 20:07:14.422"
"908.25","4.875","3008 33B2 DDD9 0140 0000 0030","2.2334760271614935","-58.5","2021-05-12 20:07:14.476"
"908.25","37.8125","E200 001D 1910 0119 1310 5A03","2.2948352586769194","-67.0","2021-05-12 20:07:14.477"
"908.25","-2.125","E200 001D 1910 0117 1310 5A02","4.816699673960914","-67.5","2021-05-12 20:07:14.49"
"908.25","0.25","E200 001D 1910 0118 1310 566F","5.227806525114265","-68.0","2021-05-12 20:07:14.505"
"908.25","12.1875","3008 33B2 DDD9 0140 0000 0030","2.2150682577068657","-59.5","2021-05-12 20:07:14.518"
"908.25","-48.8125","E200 001D 1910 0119 1310 5A03","2.2518837966161214","-66.0","2021-05-12 20:07:14.52"
"908.25","-70.75","E200 001D 1910 0116 1310 566E","5.21553467881118","-65.5","2021-05-12 20:07:14.52"
"908.25","0.5","E200 001D 1910 0118 1310 566F","5.240078371417351","-68.0","2021-05-12 20:07:14.534"
"908.25","0.1875","E200 001D 1910 0117 1310 5A02","1.564660403643354","-68.5","2021-05-12 20:07:14.548"
"908.25","-70.75","E200 001D 1910 0119 1310 5A03","2.5341362615870793","-66.5","2021-05-12 20:07:14.59"
"908.25","36.5625","3008 33B2 DDD9 0140 0000 0030","2.1782527187976104","-59.0","2021-05-12 20:07:14.591"
"908.25","-31.6875","E200 001D 1910 0116 1310 566E","5.307573526084319","-64.5","2021-05-12 20:07:14.594"
"908.25","-0.125","E200 001D 1910 0118 1310 566F","5.295301679781233","-68.0","2021-05-12 20:07:14.604"
"908.25","36.5625","E200 001D 1910 0116 1310 566E","5.105088062083414","-65.0","2021-05-12 20:07:14.625"
"908.25","0.0","3008 33B2 DDD9 0140 0000 0030","2.227340104009951","-58.5","2021-05-12 20:07:14.625"
"908.25","104.9375","E200 001D 1910 0119 1310 5A03","2.086213871524472","-68.5","2021-05-12 20:07:14.627"
"917.25","4.875","3008 33B2 DDD9 0140 0000 0030","0.02454369260617026","-60.5","2021-05-12 20:07:14.683"
"917.25","-2.4375","3008 33B2 DDD9 0140 0000 0030","6.252505691421874","-59.5","2021-05-12 20:07:14.705"
"917.25","-34.125","3008 33B2 DDD9 0140 0000 0030","0.04295146206079795","-60.0","2021-05-12 20:07:14.756"
"917.25","19.5","3008 33B2 DDD9 0140 0000 0030","6.2463697682703305","-60.0","2021-05-12 20:07:14.78"
"917.25","43.9375","3008 33B2 DDD9 0140 0000 0030","6.154330920997192","-59.5","2021-05-12 20:07:14.837"
"917.25","-19.5","3008 33B2 DDD9 0140 0000 0030","6.270913460876501","-59.5","2021-05-12 20:07:14.86"
"913.75","17.0625","3008 33B2 DDD9 0140 0000 0030","0.9326603190344698","-59.5","2021-05-12 20:07:14.932"
"913.75","0.0","E200 001D 1910 0116 1310 566E","5.21553467881118","-68.5","2021-05-12 20:07:14.954"
"913.75","4.875","3008 33B2 DDD9 0140 0000 0030","0.9142525495798421","-59.5","2021-05-12 20:07:14.965"
"913.75","-0.5625","E200 001D 1910 0116 1310 566E","5.258486140871978","-68.5","2021-05-12 20:07:14.989"
"913.75","14.625","3008 33B2 DDD9 0140 0000 0030","0.9510680884890975","-60.0","2021-05-12 20:07:15.03"
"913.75","0.0625","E200 001D 1910 0116 1310 566E","5.135767677841127","-68.5","2021-05-12 20:07:15.043"
"913.75","-26.8125","3008 33B2 DDD9 0140 0000 0030","0.944932165337555","-60.0","2021-05-12 20:07:15.061"
"913.75","2.5625","E200 001D 1910 0116 1310 566E","1.9266798695843652","-68.5","2021-05-12 20:07:15.071"
"910.25","96.375","E200 001D 1910 0116 1310 566E","3.877903431774901","-66.0","2021-05-12 20:07:15.137"
"910.25","-14.625","3008 33B2 DDD9 0140 0000 0030","1.7671458676442586","-59.5","2021-05-12 20:07:15.137"
"910.25","-0.1875","E200 001D 1910 0119 1310 5A03","1.2640001692177683","-68.0","2021-05-12 20:07:15.152"
"910.25","-48.8125","E200 001D 1910 0116 1310 566E","4.1417481272912315","-65.5","2021-05-12 20:07:15.172"
"910.25","-7.3125","3008 33B2 DDD9 0140 0000 0030","1.7671458676442586","-59.5","2021-05-12 20:07:15.173"
