"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"924.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","1.521708941582556","-41.5","2021-05-14 21:07:56.549"
"924.25","65.875","3039 5DFA 8332 E480 001D 4299","2.1353012567368124","-63.0","2021-05-14 21:07:56.549"
"924.25","17.0625","E280 1160 6000 0207 A650 3C3C","0.7731263170943632","-62.5","2021-05-14 21:07:56.551"
"924.25","0.125","E280 1160 6000 0207 A652 2064","0.2270291566070749","-74.0","2021-05-14 21:07:56.57"
"924.25","-12.1875","E280 1160 6000 0207 A650 3C3C","0.7731263170943632","-61.5","2021-05-14 21:07:56.614"
"924.25","-4.875","3008 33B2 DDD9 0140 0000 0040","1.521708941582556","-41.5","2021-05-14 21:07:56.616"
"924.25","-17.0625","3039 5DFA 8332 E480 001D 4299","2.313243028131547","-62.0","2021-05-14 21:07:56.617"
"924.25","1.3125","E280 1160 6000 0207 A652 2064","0.3190680038802134","-73.5","2021-05-14 21:07:56.638"
"924.25","9.75","3008 33B2 DDD9 0140 0000 0040","1.4910293258248433","-41.5","2021-05-14 21:07:56.651"
"924.25","26.8125","E280 1160 6000 0207 A650 3C3C","0.6933593161243098","-62.0","2021-05-14 21:07:56.651"
"924.25","17.0625","3039 5DFA 8332 E480 001D 4299","2.270291566070749","-62.5","2021-05-14 21:07:56.652"
"924.25","-1.125","E280 1160 6000 0207 A652 2064","0.3865631585471816","-73.5","2021-05-14 21:07:56.671"
"924.75","70.75","E280 1160 6000 0207 A650 3C3C","0.46019423636569234","-61.5","2021-05-14 21:07:56.735"
"924.75","14.625","3008 33B2 DDD9 0140 0000 0040","1.3744467859455345","-41.0","2021-05-14 21:07:56.736"
"924.75","29.25","3039 5DFA 8332 E480 001D 4299","2.067806102069844","-63.0","2021-05-14 21:07:56.736"
"924.75","19.5","3039 5DFA 8332 E480 001D 4299","2.1353012567368124","-63.0","2021-05-14 21:07:56.759"
"924.75","-14.625","E280 1160 6000 0207 A650 3C3C","0.5706408530934585","-61.5","2021-05-14 21:07:56.76"
"924.75","-2.4375","3008 33B2 DDD9 0140 0000 0040","1.4051264017032472","-41.0","2021-05-14 21:07:56.761"
"924.75","7.3125","3008 33B2 DDD9 0140 0000 0040","1.368310862793992","-41.0","2021-05-14 21:07:56.813"
"924.75","14.625","3039 5DFA 8332 E480 001D 4299","2.116893487282185","-62.5","2021-05-14 21:07:56.815"
"924.75","2.4375","E280 1160 6000 0207 A650 3C3C","0.5154175447295755","-61.5","2021-05-14 21:07:56.815"
"924.75","0.375","E280 1160 6000 0207 A652 2064","0.17794177139473438","-73.0","2021-05-14 21:07:56.838"
"924.75","2.4375","3008 33B2 DDD9 0140 0000 0040","1.368310862793992","-41.0","2021-05-14 21:07:56.849"
"924.75","12.1875","E280 1160 6000 0207 A650 3C3C","0.47860200582032003","-61.5","2021-05-14 21:07:56.85"
"924.75","-7.3125","3039 5DFA 8332 E480 001D 4299","2.1537090261914402","-62.5","2021-05-14 21:07:56.85"
"924.75","-0.9375","E280 1160 6000 0207 A652 2064","0.11658253987930872","-74.0","2021-05-14 21:07:56.864"
"908.25","12.1875","E280 6890 0000 5006 F494 B19E","4.6448938257177215","-63.5","2021-05-14 21:07:56.934"
"908.25","-34.125","3039 5DFA 8332 E480 001D 4299","1.2026409377023426","-68.5","2021-05-14 21:07:56.935"
"908.25","48.8125","E280 1160 6000 0207 A650 3C3C","1.4726215563702154","-62.5","2021-05-14 21:07:56.938"
"908.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","5.66959299202533","-42.0","2021-05-14 21:07:56.938"
"908.25","0.4375","3035 15B8 9802 DE90 4000 11E7","0.07363107781851078","-67.5","2021-05-14 21:07:56.95"
"908.25","-1.5","E280 1160 6000 0207 A652 2064","0.9940195505498954","-76.0","2021-05-14 21:07:56.965"
"908.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","5.663457068873787","-42.0","2021-05-14 21:07:56.978"
"908.25","14.625","E280 1160 6000 0207 A650 3C3C","1.4848934026733007","-62.5","2021-05-14 21:07:56.979"
"908.25","46.375","3039 5DFA 8332 E480 001D 4299","1.227184630308513","-68.5","2021-05-14 21:07:56.981"
"908.25","2.4375","E280 6890 0000 5006 F494 B19E","4.71238898038469","-63.5","2021-05-14 21:07:56.982"
"908.25","-0.625","3035 15B8 9802 DE90 4000 11E7","0.11658253987930872","-67.5","2021-05-14 21:07:56.992"
"908.25","1.0625","E200 001D 700E 0093 2100 41FE","1.239456476611598","-74.0","2021-05-14 21:07:57.005"
"908.25","0.5","E280 1160 6000 0207 A652 2064","0.944932165337555","-76.0","2021-05-14 21:07:57.016"
"908.25","-17.0625","E280 1160 6000 0207 A650 3C3C","1.552388557340269","-62.5","2021-05-14 21:07:57.049"
"908.25","53.6875","3039 5DFA 8332 E480 001D 4299","1.0492428589137786","-68.5","2021-05-14 21:07:57.051"
"908.25","12.1875","3008 33B2 DDD9 0140 0000 0040","5.651185222570702","-42.0","2021-05-14 21:07:57.052"
"908.25","-47.5625","E280 6890 0000 5006 F494 B19E","4.71238898038469","-64.5","2021-05-14 21:07:57.053"
"908.25","-2.875","E200 001D 700E 0093 2100 41FE","4.4976316700806995","-75.0","2021-05-14 21:07:57.068"
"918.25","-0.875","3035 15B8 9802 DE90 4000 11E7","0.5798447378207724","-68.5","2021-05-14 21:07:57.083"
"918.25","46.375","3039 5DFA 8332 E480 001D 4299","4.485359823777615","-65.0","2021-05-14 21:07:57.108"
"918.25","-41.5","E280 1160 6000 0207 A650 3C3C","3.5588354278946874","-61.0","2021-05-14 21:07:57.11"
"918.25","2.4375","3008 33B2 DDD9 0140 0000 0040","3.043417883165112","-41.5","2021-05-14 21:07:57.11"
"918.25","-0.125","E200 001D 700E 0093 2100 41FE","5.712544454086128","-75.0","2021-05-14 21:07:57.127"
"918.25","-0.375","E280 6890 0000 5006 F494 B19E","6.1420590746941075","-67.0","2021-05-14 21:07:57.139"
"918.25","26.8125","3039 5DFA 8332 E480 001D 4299","4.522175362686871","-64.5","2021-05-14 21:07:57.184"
"918.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","3.067961575771282","-41.5","2021-05-14 21:07:57.185"
"918.25","21.9375","E280 1160 6000 0207 A650 3C3C","3.380893656499953","-61.0","2021-05-14 21:07:57.185"
"918.25","1.0625","E280 6890 0000 5006 F494 B19E","6.056156150572511","-67.5","2021-05-14 21:07:57.199"
"918.25","-24.375","3039 5DFA 8332 E480 001D 4299","4.638757902566179","-65.0","2021-05-14 21:07:57.217"
"918.25","7.3125","3008 33B2 DDD9 0140 0000 0040","3.0495538063166547","-41.5","2021-05-14 21:07:57.218"
"918.25","-17.0625","E280 1160 6000 0207 A650 3C3C","3.399301425954581","-61.5","2021-05-14 21:07:57.219"
"918.25","-1.125","E280 1160 6000 0207 A652 2064","6.092971689481767","-74.5","2021-05-14 21:07:57.233"
"918.25","0.0","E280 6890 0000 5006 F494 B19E","6.092971689481767","-67.5","2021-05-14 21:07:57.249"
"926.25","-7.3125","3008 33B2 DDD9 0140 0000 0040","0.9940195505498954","-41.0","2021-05-14 21:07:57.287"
"926.25","-29.25","E280 1160 6000 0207 A650 3C3C","6.1850105367549055","-61.5","2021-05-14 21:07:57.288"
"926.25","-12.1875","3039 5DFA 8332 E480 001D 4299","1.552388557340269","-61.5","2021-05-14 21:07:57.291"
"926.25","-0.125","E280 1160 6000 0207 A652 2064","5.767767762450011","-73.0","2021-05-14 21:07:57.306"
"926.25","17.0625","E280 1160 6000 0207 A650 3C3C","6.0991076126333095","-61.5","2021-05-14 21:07:57.323"
"926.25","9.75","3008 33B2 DDD9 0140 0000 0040","0.9633399347921826","-41.0","2021-05-14 21:07:57.323"
"926.25","7.3125","3039 5DFA 8332 E480 001D 4299","1.564660403643354","-62.0","2021-05-14 21:07:57.324"
"926.25","-7.3125","3039 5DFA 8332 E480 001D 4299","1.6566992509164924","-61.5","2021-05-14 21:07:57.377"
"926.25","-7.3125","E280 1160 6000 0207 A650 3C3C","6.12365130523948","-61.5","2021-05-14 21:07:57.378"
"926.25","2.4375","3008 33B2 DDD9 0140 0000 0040","0.9756117810952678","-41.0","2021-05-14 21:07:57.378"
"926.25","21.9375","E280 1160 6000 0207 A650 3C3C","6.050020227420969","-61.0","2021-05-14 21:07:57.4"
"926.25","26.8125","3039 5DFA 8332 E480 001D 4299","1.533980787885641","-62.0","2021-05-14 21:07:57.4"
"926.25","2.4375","3008 33B2 DDD9 0140 0000 0040","0.9694758579437253","-41.0","2021-05-14 21:07:57.401"
"926.25","73.1875","3039 5DFA 8332 E480 001D 4299","1.5892040962495242","-61.0","2021-05-14 21:07:57.455"
"926.25","-9.75","E280 1160 6000 0207 A650 3C3C","6.12365130523948","-61.5","2021-05-14 21:07:57.456"
"926.25","7.3125","3008 33B2 DDD9 0140 0000 0040","0.9694758579437253","-41.0","2021-05-14 21:07:57.457"
"926.25","-2.4375","3008 33B2 DDD9 0140 0000 0040","0.9756117810952678","-41.0","2021-05-14 21:07:57.478"
"926.25","26.8125","3039 5DFA 8332 E480 001D 4299","1.607611865704152","-62.0","2021-05-14 21:07:57.478"
"926.25","4.875","E280 1160 6000 0207 A650 3C3C","6.117515382087937","-61.5","2021-05-14 21:07:57.479"
"910.75","-18.25","3035 15B8 9802 DE90 4000 11E7","2.172116795646068","-64.0","2021-05-14 21:07:57.488"
"910.75","9.75","3035 15B8 9802 DE90 4000 11E7","2.055534255766759","-63.5","2021-05-14 21:07:57.541"
"910.75","-2.4375","3008 33B2 DDD9 0140 0000 0040","5.062136600022616","-41.5","2021-05-14 21:07:57.542"
"910.75","21.9375","E280 1160 6000 0207 A650 3C3C","0.44178646691106466","-61.0","2021-05-14 21:07:57.543"
"910.75","-57.3125","E280 6890 0000 5006 F494 B19E","3.429981041712294","-64.5","2021-05-14 21:07:57.544"
"910.75","-0.5625","3039 5DFA 8332 E480 001D 4299","0.5031456984264903","-70.0","2021-05-14 21:07:57.555"
"910.75","9.75","3039 5DFA 8332 E480 001D 4299","0.3129320807286708","-68.5","2021-05-14 21:07:57.573"
"910.75","0.0","3008 33B2 DDD9 0140 0000 0040","5.062136600022616","-41.5","2021-05-14 21:07:57.574"
"910.75","23.1875","E280 6890 0000 5006 F494 B19E","3.32567034813607","-64.0","2021-05-14 21:07:57.575"
"910.75","-12.1875","E280 1160 6000 0207 A650 3C3C","0.47860200582032003","-61.0","2021-05-14 21:07:57.576"
"910.75","59.8125","3035 15B8 9802 DE90 4000 11E7","1.9819031779482483","-63.5","2021-05-14 21:07:57.578"
"910.75","-2.3125","E280 1160 6000 0207 A652 2064","6.22182607566416","-74.5","2021-05-14 21:07:57.599"
"910.75","34.125","E280 1160 6000 0207 A650 3C3C","0.37429131224409645","-61.5","2021-05-14 21:07:57.641"
"910.75","-39.0625","3039 5DFA 8332 E480 001D 4299","0.4049709280018093","-69.5","2021-05-14 21:07:57.643"
"910.75","34.125","3035 15B8 9802 DE90 4000 11E7","2.055534255766759","-64.5","2021-05-14 21:07:57.643"
"910.75","-4.875","3008 33B2 DDD9 0140 0000 0040","5.0682725231741586","-41.5","2021-05-14 21:07:57.644"
"910.75","-20.75","E280 6890 0000 5006 F494 B19E","3.3195344249845276","-64.0","2021-05-14 21:07:57.645"
"910.75","0.875","E280 1160 6000 0207 A652 2064","6.129787228391022","-75.0","2021-05-14 21:07:57.664"
"910.75","58.5625","3039 5DFA 8332 E480 001D 4299","0.16566992509164924","-69.0","2021-05-14 21:07:57.677"
"910.75","2.4375","E280 6890 0000 5006 F494 B19E","3.32567034813607","-64.0","2021-05-14 21:07:57.679"
"910.75","9.75","E280 1160 6000 0207 A650 3C3C","0.4479223900626072","-61.5","2021-05-14 21:07:57.68"
"910.75","-43.9375","3035 15B8 9802 DE90 4000 11E7","2.1046216409791","-63.5","2021-05-14 21:07:57.68"
"910.75","7.3125","3008 33B2 DDD9 0140 0000 0040","5.056000676871073","-41.5","2021-05-14 21:07:57.681"
"914.75","-12.1875","E280 1160 6000 0207 A650 3C3C","4.921010367537137","-61.0","2021-05-14 21:07:57.742"
"914.75","-46.375","3035 15B8 9802 DE90 4000 11E7","6.2463697682703305","-64.5","2021-05-14 21:07:57.743"
"914.75","14.625","3039 5DFA 8332 E480 001D 4299","5.553010452146021","-68.5","2021-05-14 21:07:57.744"
"914.75","2.4375","3008 33B2 DDD9 0140 0000 0040","4.031301510563465","-41.5","2021-05-14 21:07:57.746"
"914.75","0.0","E200 001D 700E 0093 2100 41FE","1.0615147052168636","-74.0","2021-05-14 21:07:57.761"
"914.75","0.0625","E280 6890 0000 5006 F494 B19E","4.632621979414636","-65.5","2021-05-14 21:07:57.774"
"914.75","2.4375","3008 33B2 DDD9 0140 0000 0040","4.025165587411922","-41.5","2021-05-14 21:07:57.786"
"914.75","48.8125","3039 5DFA 8332 E480 001D 4299","5.356660911296659","-68.0","2021-05-14 21:07:57.789"
"914.75","17.0625","E280 1160 6000 0207 A650 3C3C","4.871922982324796","-61.0","2021-05-14 21:07:57.789"
"914.75","-1.5","E200 001D 700E 0093 2100 41FE","1.1167380135807468","-74.0","2021-05-14 21:07:57.799"
"914.75","-0.4375","3035 15B8 9802 DE90 4000 11E7","6.17273869045182","-65.0","2021-05-14 21:07:57.81"
"914.75","1.0625","E280 6890 0000 5006 F494 B19E","4.552854978444583","-66.0","2021-05-14 21:07:57.82"
"914.75","9.75","E280 1160 6000 0207 A650 3C3C","4.822835597112456","-61.0","2021-05-14 21:07:57.854"
"914.75","2.4375","3008 33B2 DDD9 0140 0000 0040","4.01902966426038","-41.5","2021-05-14 21:07:57.854"
"914.75","13.375","3035 15B8 9802 DE90 4000 11E7","6.105243535784852","-64.5","2021-05-14 21:07:57.856"
"914.75","-7.3125","3039 5DFA 8332 E480 001D 4299","5.375068680751287","-67.5","2021-05-14 21:07:57.856"
"914.75","-0.75","E200 001D 700E 0093 2100 41FE","1.0185632431560658","-74.0","2021-05-14 21:07:57.868"
"914.25","-26.8125","3035 15B8 9802 DE90 4000 11E7","0.17794177139473438","-64.5","2021-05-14 21:07:57.894"
"914.25","14.625","E280 1160 6000 0207 A650 3C3C","5.0682725231741586","-60.5","2021-05-14 21:07:57.896"
"914.25","-80.5625","3039 5DFA 8332 E480 001D 4299","5.706408530934585","-67.0","2021-05-14 21:07:57.896"
"914.25","-4.875","3008 33B2 DDD9 0140 0000 0040","4.166291819897402","-41.5","2021-05-14 21:07:57.898"
"914.25","1.625","E280 1160 6000 0207 A652 2064","4.331961744989051","-75.0","2021-05-14 21:07:57.911"
"914.25","-0.1875","E280 6890 0000 5006 F494 B19E","4.749204519293945","-66.5","2021-05-14 21:07:57.92"
"914.25","-0.125","E200 001D 2610 0105 2440 4ABC","0.12885438618239387","-68.0","2021-05-14 21:07:57.943"
"914.25","19.5","E280 1160 6000 0207 A650 3C3C","5.092816215780329","-61.0","2021-05-14 21:07:57.977"
"914.25","7.3125","3008 33B2 DDD9 0140 0000 0040","4.1417481272912315","-41.0","2021-05-14 21:07:57.978"
"914.25","14.625","3035 15B8 9802 DE90 4000 11E7","0.06135923151542565","-64.0","2021-05-14 21:07:57.98"
"914.25","-21.9375","3039 5DFA 8332 E480 001D 4299","5.8475347634200645","-66.5","2021-05-14 21:07:57.98"
"914.25","-0.125","E280 6890 0000 5006 F494 B19E","1.4848934026733007","-67.0","2021-05-14 21:07:57.997"
"914.25","-4.0","E280 1160 6000 0207 A652 2064","4.700117134081604","-75.0","2021-05-14 21:07:58.01"
"914.25","14.625","3035 15B8 9802 DE90 4000 11E7","0.07363107781851078","-63.5","2021-05-14 21:07:58.02"
"914.25","2.4375","3008 33B2 DDD9 0140 0000 0040","4.154019973594316","-41.0","2021-05-14 21:07:58.022"
"914.25","19.5","3039 5DFA 8332 E480 001D 4299","5.786175531904639","-66.0","2021-05-14 21:07:58.023"
"914.25","31.6875","E280 1160 6000 0207 A650 3C3C","5.117359908386499","-61.5","2021-05-14 21:07:58.024"
"914.25","-2.0","E280 1160 6000 0207 A652 2064","4.503767593232243","-75.0","2021-05-14 21:07:58.043"
"914.25","-0.125","E280 6890 0000 5006 F494 B19E","4.4976316700806995","-67.0","2021-05-14 21:07:58.054"
"920.25","12.1875","3008 33B2 DDD9 0140 0000 0040","2.4911847995262812","-41.0","2021-05-14 21:07:58.101"
"920.25","-21.9375","3035 15B8 9802 DE90 4000 11E7","3.2827188860752723","-63.0","2021-05-14 21:07:58.102"
"920.25","61.0","E280 1160 6000 0207 A650 3C3C","2.380738182798515","-62.0","2021-05-14 21:07:58.102"
"920.25","0.0","3039 5DFA 8332 E480 001D 4299","4.049709280018092","-62.5","2021-05-14 21:07:58.104"
"920.25","2.4375","3039 5DFA 8332 E480 001D 4299","4.190835512503572","-63.0","2021-05-14 21:07:58.126"
"920.25","-29.25","E280 1160 6000 0207 A650 3C3C","2.5157284921324514","-61.5","2021-05-14 21:07:58.126"
"920.25","7.3125","3008 33B2 DDD9 0140 0000 0040","2.4911847995262812","-41.0","2021-05-14 21:07:58.128"
"920.25","-4.875","3035 15B8 9802 DE90 4000 11E7","3.2336315008629315","-63.0","2021-05-14 21:07:58.129"
