"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"912.75","0.0","3008 33B2 DDD9 0140 0000 0020","0.7240389318820226","-37.0","2021-05-14 21:03:50.619"
"912.75","-2.4375","E280 1160 6000 0207 A650 3C3C","6.111379458936394","-62.5","2021-05-14 21:03:50.621"
"912.75","-18.25","E200 001D 2610 0105 2440 4ABC","6.000932842208628","-64.5","2021-05-14 21:03:50.621"
"912.75","0.25","E280 1160 6000 0207 A652 2064","5.553010452146021","-76.5","2021-05-14 21:03:50.633"
"912.75","0.125","3039 5DFA 8332 E480 001D 4299","6.277049384028044","-70.5","2021-05-14 21:03:50.644"
"912.75","20.75","E200 001D 2610 0105 2440 4ABC","5.8659425328746915","-64.0","2021-05-14 21:03:50.665"
"912.75","-4.875","3008 33B2 DDD9 0140 0000 0020","0.7424467013366504","-37.0","2021-05-14 21:03:50.666"
"912.75","9.75","E280 1160 6000 0207 A650 3C3C","5.945709533844745","-62.5","2021-05-14 21:03:50.668"
"912.75","9.75","3039 5DFA 8332 E480 001D 4299","0.018407769454627694","-70.5","2021-05-14 21:03:50.669"
"912.75","-2.3125","E280 1160 6000 0207 A652 2064","5.45483568172134","-75.5","2021-05-14 21:03:50.689"
"908.75","2.4375","3008 33B2 DDD9 0140 0000 0020","1.7978254834019713","-36.0","2021-05-14 21:03:50.748"
"908.75","-7.3125","E280 1160 6000 0207 A650 3C3C","1.4848934026733007","-62.5","2021-05-14 21:03:50.749"
"908.75","68.3125","E200 001D 2610 0105 2440 4ABC","2.2396119503130363","-65.0","2021-05-14 21:03:50.749"
"908.75","21.9375","3039 5DFA 8332 E480 001D 4299","1.0983302441261191","-70.5","2021-05-14 21:03:50.752"
"908.75","4.9375","E280 1160 6000 0207 A652 2064","0.9694758579437253","-76.0","2021-05-14 21:03:50.766"
"924.75","2.4375","E280 1160 6000 0207 A650 3C3C","0.944932165337555","-60.5","2021-05-14 21:03:51.304"
"924.75","24.375","3039 5DFA 8332 E480 001D 4299","2.3193789512830896","-63.5","2021-05-14 21:03:51.305"
"924.75","163.5625","E280 1160 6000 0207 A652 2064","0.47860200582032003","-71.5","2021-05-14 21:03:51.306"
"924.75","12.1875","3008 33B2 DDD9 0140 0000 0020","3.436116964863836","-36.5","2021-05-14 21:03:51.307"
"924.75","0.25","E200 001D 2610 0105 2440 4ABC","4.411728745959104","-68.0","2021-05-14 21:03:51.321"
"924.75","-26.8125","E280 1160 6000 0207 A650 3C3C","1.0369710126106935","-61.0","2021-05-14 21:03:51.338"
"924.75","46.375","3039 5DFA 8332 E480 001D 4299","2.2518837966161214","-64.0","2021-05-14 21:03:51.34"
"924.75","4.875","3008 33B2 DDD9 0140 0000 0020","3.442252888015379","-36.0","2021-05-14 21:03:51.341"
"924.75","0.25","E200 001D 2610 0105 2440 4ABC","4.466952054322987","-68.0","2021-05-14 21:03:51.351"
"924.75","0.8125","E280 1160 6000 0207 A652 2064","0.6504078540635119","-73.0","2021-05-14 21:03:51.366"
"924.75","36.5625","3039 5DFA 8332 E480 001D 4299","2.1598449493429825","-64.5","2021-05-14 21:03:51.411"
"924.75","2.4375","3008 33B2 DDD9 0140 0000 0020","3.448388811166921","-36.0","2021-05-14 21:03:51.412"
"924.75","-7.3125","E200 001D 2610 0105 2440 4ABC","4.540583132141498","-66.5","2021-05-14 21:03:51.413"
"924.75","0.0","E280 1160 6000 0207 A650 3C3C","0.9510680884890975","-62.0","2021-05-14 21:03:51.415"
"924.75","0.75","E280 1160 6000 0207 A652 2064","0.5767767762450011","-73.5","2021-05-14 21:03:51.429"
"924.75","46.375","3039 5DFA 8332 E480 001D 4299","2.1782527187976104","-64.5","2021-05-14 21:03:51.445"
"924.75","-89.0625","E200 001D 2610 0105 2440 4ABC","4.693981210930062","-67.5","2021-05-14 21:03:51.447"
"924.75","-17.0625","E280 1160 6000 0207 A650 3C3C","0.9265243958829272","-62.0","2021-05-14 21:03:51.448"
"924.75","2.4375","3008 33B2 DDD9 0140 0000 0020","3.436116964863836","-36.0","2021-05-14 21:03:51.448"
"908.25","31.6875","E280 1160 6000 0207 A650 3C3C","1.8100973297050567","-64.0","2021-05-14 21:03:51.507"
"908.25","36.5625","3039 5DFA 8332 E480 001D 4299","1.2026409377023426","-70.0","2021-05-14 21:03:51.508"
"908.25","4.875","3008 33B2 DDD9 0140 0000 0020","1.9205439464328227","-36.0","2021-05-14 21:03:51.508"
"908.25","36.5625","E200 001D 2610 0105 2440 4ABC","2.816388726558037","-65.0","2021-05-14 21:03:51.509"
"908.25","48.8125","E200 001D 2610 0105 2440 4ABC","2.7550294950426117","-64.0","2021-05-14 21:03:51.53"
"908.25","61.0","3039 5DFA 8332 E480 001D 4299","1.214912784005428","-69.5","2021-05-14 21:03:51.531"
"908.25","0.0","3008 33B2 DDD9 0140 0000 0020","1.9205439464328227","-36.0","2021-05-14 21:03:51.532"
"908.25","7.3125","E280 1160 6000 0207 A650 3C3C","1.945087639038993","-64.5","2021-05-14 21:03:51.533"
"908.25","-9.75","3039 5DFA 8332 E480 001D 4299","1.2701360923693108","-69.0","2021-05-14 21:03:51.585"
"908.25","85.4375","E200 001D 2610 0105 2440 4ABC","2.6016314162540475","-64.5","2021-05-14 21:03:51.586"
"908.25","-2.4375","3008 33B2 DDD9 0140 0000 0020","1.9266798695843652","-36.0","2021-05-14 21:03:51.587"
"908.25","17.0625","E280 1160 6000 0207 A650 3C3C","2.0371264863121317","-65.0","2021-05-14 21:03:51.588"
"908.25","48.8125","E200 001D 2610 0105 2440 4ABC","2.6998061866787286","-64.0","2021-05-14 21:03:51.608"
"908.25","31.6875","E280 1160 6000 0207 A650 3C3C","2.043262409463674","-65.0","2021-05-14 21:03:51.61"
