"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"922.75","1.1875","E280 1160 6000 0207 A652 2064","1.5707963267948966","-73.0","2021-05-14 20:42:33.162"
"922.75","0.0","3008 33B2 DDD9 0140 0000 0020","3.77972866135022","-36.5","2021-05-14 20:42:33.217"
"922.75","85.4375","3039 5DFA 8332 E480 001D 4299","2.945243112740431","-65.0","2021-05-14 20:42:33.217"
"922.75","4.875","E280 1160 6000 0207 A650 3C3C","1.846912868614312","-61.5","2021-05-14 20:42:33.218"
"922.75","-7.3125","E280 1160 6000 0207 A650 3C3C","1.88986433067511","-61.5","2021-05-14 20:42:33.24"
"922.75","31.6875","3039 5DFA 8332 E480 001D 4299","2.9759227284981438","-65.0","2021-05-14 20:42:33.241"
"922.75","0.0","3008 33B2 DDD9 0140 0000 0020","3.77972866135022","-37.0","2021-05-14 20:42:33.242"
"922.75","4.875","3008 33B2 DDD9 0140 0000 0020","3.7551849687440497","-36.5","2021-05-14 20:42:33.296"
"922.75","26.8125","E280 1160 6000 0207 A650 3C3C","1.7671458676442586","-61.5","2021-05-14 20:42:33.297"
"922.75","39.0625","3039 5DFA 8332 E480 001D 4299","2.9697868053466014","-64.5","2021-05-14 20:42:33.298"
"922.75","1.25","E280 1160 6000 0207 A652 2064","1.4726215563702154","-73.5","2021-05-14 20:42:33.308"
"922.75","4.875","E280 1160 6000 0207 A650 3C3C","1.7978254834019713","-61.0","2021-05-14 20:42:33.328"
"922.75","9.75","3008 33B2 DDD9 0140 0000 0020","3.7551849687440497","-36.5","2021-05-14 20:42:33.33"
"922.75","-4.875","3039 5DFA 8332 E480 001D 4299","3.06182565261974","-65.0","2021-05-14 20:42:33.331"
"922.75","0.75","E280 1160 6000 0207 A652 2064","1.3928545554001621","-73.0","2021-05-14 20:42:33.345"
"903.75","17.0625","E280 1160 6000 0207 A650 3C3C","3.215223731408304","-62.0","2021-05-14 20:42:33.412"
"903.75","58.5625","3039 5DFA 8332 E480 001D 4299","2.086213871524472","-72.0","2021-05-14 20:42:33.415"
"903.75","7.3125","3008 33B2 DDD9 0140 0000 0020","2.84706834231575","-36.5","2021-05-14 20:42:33.415"
"903.75","20.75","E200 001D 2610 0105 2440 4ABC","0.05522330836388308","-63.0","2021-05-14 20:42:33.416"
"903.75","0.1875","3035 15B8 9802 DE90 4000 11E7","4.06811704947272","-67.5","2021-05-14 20:42:33.433"
"903.75","-0.75","E280 1160 6000 0207 A652 2064","2.5402721847386216","-77.0","2021-05-14 20:42:33.442"
"903.75","-24.375","E280 1160 6000 0207 A650 3C3C","3.2643111166206444","-62.0","2021-05-14 20:42:33.456"
"903.75","4.875","3008 33B2 DDD9 0140 0000 0020","2.859340188618835","-36.0","2021-05-14 20:42:33.457"
"903.75","0.0","3039 5DFA 8332 E480 001D 4299","2.2580197197676637","-71.5","2021-05-14 20:42:33.458"
"903.75","23.1875","E200 001D 2610 0105 2440 4ABC","0.06135923151542565","-63.5","2021-05-14 20:42:33.46"
"903.75","0.5","3039 6062 C3AD 3FC0 001F 4997","4.546719055293041","-62.5","2021-05-14 20:42:33.47"
"903.75","-0.8125","E280 1160 6000 0207 A652 2064","2.552544031041707","-77.0","2021-05-14 20:42:33.479"
"903.75","-0.1875","3035 15B8 9802 DE90 4000 11E7","4.111068511533518","-67.0","2021-05-14 20:42:33.494"
"903.75","9.75","E200 001D 2610 0105 2440 4ABC","0.09203884727313846","-63.5","2021-05-14 20:42:33.527"
"903.75","12.1875","E280 1160 6000 0207 A650 3C3C","3.184544115650591","-62.0","2021-05-14 20:42:33.529"
"903.75","9.75","3008 33B2 DDD9 0140 0000 0020","2.84706834231575","-36.0","2021-05-14 20:42:33.53"
"903.75","0.0","3039 5DFA 8332 E480 001D 4299","2.2150682577068657","-70.5","2021-05-14 20:42:33.531"
"903.75","0.375","3039 6062 C3AD 3FC0 001F 4997","4.589670517353839","-62.5","2021-05-14 20:42:33.544"
"924.25","0.875","E280 1160 6000 0207 A652 2064","0.7455146629124216","-73.0","2021-05-14 20:42:33.561"
"924.25","4.875","E280 1160 6000 0207 A650 3C3C","1.1596894756415448","-61.0","2021-05-14 20:42:33.586"
"924.25","0.0","3008 33B2 DDD9 0140 0000 0020","3.3072625786814425","-36.5","2021-05-14 20:42:33.588"
"924.25","-34.125","3039 5DFA 8332 E480 001D 4299","2.521864415283994","-64.0","2021-05-14 20:42:33.589"
"924.25","-29.25","3039 5DFA 8332 E480 001D 4299","2.448233337465483","-64.0","2021-05-14 20:42:33.641"
"924.25","4.875","3008 33B2 DDD9 0140 0000 0020","3.2949907323783574","-36.5","2021-05-14 20:42:33.642"
"924.25","0.0","E280 1160 6000 0207 A650 3C3C","1.1965050145508","-61.0","2021-05-14 20:42:33.643"
"924.25","4.875","3008 33B2 DDD9 0140 0000 0020","3.2949907323783574","-36.5","2021-05-14 20:42:33.665"
"924.25","2.4375","E280 1160 6000 0207 A650 3C3C","1.2026409377023426","-61.5","2021-05-14 20:42:33.665"
"924.25","-68.3125","3039 5DFA 8332 E480 001D 4299","2.5893595699509624","-63.5","2021-05-14 20:42:33.667"
