"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"915.75","7.3125","3008 33B2 DDD9 0140 0000 0020","5.957981380147831","-36.0","2021-05-14 20:42:56.759"
"915.75","-26.8125","3039 5DFA 8332 E480 001D 4299","5.534602682691394","-66.5","2021-05-14 20:42:56.76"
"915.75","46.375","E200 001D 2610 0105 2440 4ABC","4.565126824747668","-66.5","2021-05-14 20:42:56.761"
"915.75","4.875","E280 1160 6000 0207 A650 3C3C","4.816699673960914","-62.5","2021-05-14 20:42:56.762"
"915.75","-7.3125","3008 33B2 DDD9 0140 0000 0020","5.988660995905543","-36.0","2021-05-14 20:42:56.783"
"915.75","53.6875","3039 5DFA 8332 E480 001D 4299","5.350524988145116","-67.0","2021-05-14 20:42:56.784"
"915.75","-50.0","E200 001D 2610 0105 2440 4ABC","4.749204519293945","-65.5","2021-05-14 20:42:56.785"
"915.75","-41.5","E280 1160 6000 0207 A650 3C3C","4.8351074434155406","-62.5","2021-05-14 20:42:56.785"
"926.75","2.4375","3008 33B2 DDD9 0140 0000 0020","2.6875343403756435","-35.5","2021-05-14 20:42:56.84"
"926.75","-24.375","3039 5DFA 8332 E480 001D 4299","1.4603497100671303","-62.0","2021-05-14 20:42:56.841"
"926.75","12.1875","E280 1160 6000 0207 A650 3C3C","0.2086213871524472","-60.5","2021-05-14 20:42:56.841"
"926.75","21.9375","E280 1160 6000 0207 A650 3C3C","0.20248546400090464","-60.0","2021-05-14 20:42:56.862"
"926.75","12.1875","3039 5DFA 8332 E480 001D 4299","1.3867186322486196","-62.5","2021-05-14 20:42:56.864"
"926.75","4.875","3008 33B2 DDD9 0140 0000 0020","2.6691265709210157","-35.5","2021-05-14 20:42:56.864"
"926.75","75.625","E280 1160 6000 0207 A652 2064","5.9518454569962875","-70.5","2021-05-14 20:42:56.865"
"926.75","9.75","3008 33B2 DDD9 0140 0000 0020","2.6691265709210157","-35.5","2021-05-14 20:42:56.918"
"926.75","-26.8125","E280 1160 6000 0207 A652 2064","6.209554229361076","-71.0","2021-05-14 20:42:56.919"
"926.75","-12.1875","3039 5DFA 8332 E480 001D 4299","1.4603497100671303","-62.5","2021-05-14 20:42:56.919"
"926.75","14.625","E280 1160 6000 0207 A650 3C3C","0.20248546400090464","-60.0","2021-05-14 20:42:56.92"
"926.75","-31.6875","E280 1160 6000 0207 A652 2064","0.018407769454627694","-70.5","2021-05-14 20:42:56.942"
"926.75","7.3125","E280 1160 6000 0207 A650 3C3C","0.2454369260617026","-60.5","2021-05-14 20:42:56.943"
"926.75","-39.0625","3039 5DFA 8332 E480 001D 4299","1.521708941582556","-63.0","2021-05-14 20:42:56.943"
"926.75","-2.4375","3008 33B2 DDD9 0140 0000 0020","2.693670263527186","-35.5","2021-05-14 20:42:56.945"
"926.75","9.75","E280 1160 6000 0207 A650 3C3C","0.18407769454627693","-60.5","2021-05-14 20:42:56.998"
"926.75","12.1875","3039 5DFA 8332 E480 001D 4299","1.4787574795217582","-62.5","2021-05-14 20:42:56.998"
"926.75","75.625","E280 1160 6000 0207 A652 2064","6.160466844148735","-71.0","2021-05-14 20:42:56.999"
"926.75","7.3125","3008 33B2 DDD9 0140 0000 0020","2.6813984172241008","-35.5","2021-05-14 20:42:57.001"
"926.75","7.3125","3008 33B2 DDD9 0140 0000 0020","2.6813984172241008","-35.5","2021-05-14 20:42:57.022"
"926.75","90.3125","E280 1160 6000 0207 A652 2064","5.890486225480862","-70.5","2021-05-14 20:42:57.022"
"926.75","14.625","3039 5DFA 8332 E480 001D 4299","1.4419419406125027","-61.5","2021-05-14 20:42:57.023"
