"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"916.75","4.875","3008 33B2 DDD9 0140 0000 0020","5.559146375297564","-37.0","2021-05-14 19:28:08.999"
"916.75","-41.5","3039 5DFA 8332 E480 001D 4299","5.117359908386499","-66.5","2021-05-14 19:28:09.0"
"916.75","-30.5","3039 6062 C3AD 3FC0 001F 4997","5.816855147662351","-58.5","2021-05-14 19:28:09.001"
"916.75","1.5625","E280 1160 6000 0207 A650 3C3C","4.1601558967458585","-64.5","2021-05-14 19:28:09.028"
"916.75","-0.1875","E200 001D 2610 0105 2440 4ABC","0.521553467881118","-66.0","2021-05-14 19:28:09.047"
"925.75","-7.3125","E280 1160 6000 0207 A650 3C3C","0.380427235395639","-61.0","2021-05-14 19:28:09.129"
"925.75","134.25","E280 1160 6000 0207 A652 2064","6.209554229361076","-72.0","2021-05-14 19:28:09.13"
"925.75","12.1875","3008 33B2 DDD9 0140 0000 0020","2.7857091108003242","-36.5","2021-05-14 19:28:09.131"
"925.75","-57.3125","3039 6062 C3AD 3FC0 001F 4997","2.3316507975861747","-62.5","2021-05-14 19:28:09.131"
"925.75","12.1875","3039 5DFA 8332 E480 001D 4299","1.88986433067511","-65.0","2021-05-14 19:28:09.132"
"925.75","213.5625","E200 001D 2610 0105 2440 4ABC","3.552699504743145","-67.0","2021-05-14 19:28:09.134"
"925.75","39.0625","E280 1160 6000 0207 A650 3C3C","0.37429131224409645","-62.0","2021-05-14 19:28:09.187"
"925.75","-36.5625","E200 001D 2610 0105 2440 4ABC","3.9944859716542096","-66.5","2021-05-14 19:28:09.188"
"925.75","-17.0625","3039 6062 C3AD 3FC0 001F 4997","2.270291566070749","-62.5","2021-05-14 19:28:09.189"
"925.75","2.4375","3008 33B2 DDD9 0140 0000 0020","2.8102528034064944","-36.5","2021-05-14 19:28:09.189"
"925.75","4.875","3039 5DFA 8332 E480 001D 4299","1.9696313316451632","-64.5","2021-05-14 19:28:09.191"
"925.75","-0.1875","E280 1160 6000 0207 A652 2064","6.22182607566416","-73.0","2021-05-14 19:28:09.208"
"925.75","23.1875","3039 6062 C3AD 3FC0 001F 4997","2.2764274892222915","-62.5","2021-05-14 19:28:09.223"
"925.75","68.3125","E280 1160 6000 0207 A650 3C3C","0.3129320807286708","-61.5","2021-05-14 19:28:09.224"
"925.75","7.3125","3008 33B2 DDD9 0140 0000 0020","2.7979809571034093","-36.5","2021-05-14 19:28:09.226"
"925.75","20.75","E200 001D 2610 0105 2440 4ABC","3.877903431774901","-66.5","2021-05-14 19:28:09.227"
"925.75","-41.5","3039 5DFA 8332 E480 001D 4299","2.067806102069844","-64.5","2021-05-14 19:28:09.227"
"925.75","0.0625","E280 1160 6000 0207 A652 2064","0.006135923151542565","-73.0","2021-05-14 19:28:09.248"
"925.75","25.625","3039 6062 C3AD 3FC0 001F 4997","2.313243028131547","-63.0","2021-05-14 19:28:09.291"
"925.75","10.9375","E200 001D 2610 0105 2440 4ABC","4.0128937411088375","-67.0","2021-05-14 19:28:09.292"
"925.75","12.1875","3008 33B2 DDD9 0140 0000 0020","2.7979809571034093","-36.5","2021-05-14 19:28:09.293"
"925.75","36.5625","3039 5DFA 8332 E480 001D 4299","1.8162332528565992","-64.5","2021-05-14 19:28:09.294"
"925.75","-24.375","E280 1160 6000 0207 A650 3C3C","0.46019423636569234","-61.5","2021-05-14 19:28:09.294"
"913.75","0.25","E200 001D 700E 0075 2100 3221","0.9203884727313847","-68.0","2021-05-14 19:28:09.328"
"913.75","-32.9375","3039 6062 C3AD 3FC0 001F 4997","0.8958447801252144","-58.5","2021-05-14 19:28:09.342"
"913.75","21.9375","E280 1160 6000 0207 A650 3C3C","5.246214294568893","-63.5","2021-05-14 19:28:09.343"
"913.75","0.0","3008 33B2 DDD9 0140 0000 0020","0.15339807878856412","-37.5","2021-05-14 19:28:09.344"
"913.75","-24.375","3039 5DFA 8332 E480 001D 4299","5.822991070813893","-68.0","2021-05-14 19:28:09.345"
"913.75","73.1875","E200 001D 2610 0105 2440 4ABC","5.295301679781233","-64.5","2021-05-14 19:28:09.346"
"913.75","0.0","E200 001D 700E 0075 2100 3221","0.9081166264282996","-67.5","2021-05-14 19:28:09.362"
"913.75","1.1875","E280 6890 0000 5006 F494 B19E","4.479223900626073","-67.0","2021-05-14 19:28:09.373"
