"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"925.75","7.3125","E280 1160 6000 0207 A650 3C3C","0.4111068511533518","-62.0","2021-05-14 20:37:01.504"
"925.75","-58.5625","E280 1160 6000 0207 A652 2064","0.1043106935762236","-71.5","2021-05-14 20:37:01.504"
"925.75","14.625","3008 33B2 DDD9 0140 0000 0030","2.7857091108003242","-41.5","2021-05-14 20:37:01.505"
"925.75","19.5","3039 5DFA 8332 E480 001D 4299","1.7978254834019713","-62.5","2021-05-14 20:37:01.506"
"925.75","0.8125","E200 001D 2610 0105 2440 4ABC","3.4606606574700063","-69.0","2021-05-14 20:37:01.521"
"925.75","-4.875","E280 1160 6000 0207 A650 3C3C","0.380427235395639","-61.5","2021-05-14 20:37:01.536"
"925.75","12.1875","3008 33B2 DDD9 0140 0000 0030","2.7857091108003242","-41.5","2021-05-14 20:37:01.537"
"925.75","-4.875","3039 5DFA 8332 E480 001D 4299","1.748738098189631","-62.0","2021-05-14 20:37:01.539"
"925.75","90.3125","E280 1160 6000 0207 A652 2064","6.178874613603362","-70.5","2021-05-14 20:37:01.54"
"925.75","-0.0625","E200 001D 2610 0105 2440 4ABC","3.497476196379262","-68.5","2021-05-14 20:37:01.553"
"913.75","48.8125","E280 1160 6000 0207 A650 3C3C","5.203262832508095","-63.0","2021-05-14 20:37:01.62"
"913.75","-90.3125","3039 5DFA 8332 E480 001D 4299","6.007068765360171","-66.5","2021-05-14 20:37:01.621"
"913.75","0.0","3008 33B2 DDD9 0140 0000 0030","6.264777537724958","-41.5","2021-05-14 20:37:01.622"
"913.75","0.625","E280 1160 6000 0207 A652 5963","6.1420590746941075","-72.0","2021-05-14 20:37:01.643"
"913.75","-0.625","E280 1160 6000 0207 A652 2064","4.4362724385652745","-76.0","2021-05-14 20:37:01.655"
"913.75","2.4375","3008 33B2 DDD9 0140 0000 0030","6.270913460876501","-41.5","2021-05-14 20:37:01.661"
"913.75","2.4375","3039 5DFA 8332 E480 001D 4299","5.853670686571607","-66.5","2021-05-14 20:37:01.664"
"913.75","-14.625","E280 1160 6000 0207 A650 3C3C","5.203262832508095","-63.0","2021-05-14 20:37:01.664"
"913.75","-1.0625","E280 1160 6000 0207 A652 5963","2.890019804376548","-72.5","2021-05-14 20:37:01.685"
"913.75","-0.625","E280 1160 6000 0207 A652 2064","4.430136515413731","-76.0","2021-05-14 20:37:01.698"
"913.75","-2.4375","3008 33B2 DDD9 0140 0000 0030","6.270913460876501","-41.5","2021-05-14 20:37:01.735"
"913.75","-29.25","E280 1160 6000 0207 A650 3C3C","5.270757987175063","-63.0","2021-05-14 20:37:01.737"
"913.75","-39.0625","3039 5DFA 8332 E480 001D 4299","6.154330920997192","-66.5","2021-05-14 20:37:01.738"
"913.75","-0.5625","E280 1160 6000 0207 A652 5963","6.135923151542564","-72.5","2021-05-14 20:37:01.757"
"905.25","25.9375","E280 1160 6000 0207 A652 2064","4.795223942930514","-76.5","2021-05-14 20:37:01.776"
"905.25","-7.3125","E280 1160 6000 0207 A650 3C3C","2.4850488763747385","-63.5","2021-05-14 20:37:01.799"
"905.25","7.3125","3008 33B2 DDD9 0140 0000 0030","2.2764274892222915","-40.5","2021-05-14 20:37:01.801"
"905.25","29.25","3039 5DFA 8332 E480 001D 4299","1.9389517158874505","-68.5","2021-05-14 20:37:01.801"
"905.25","0.0","3008 33B2 DDD9 0140 0000 0030","2.282563412373834","-40.5","2021-05-14 20:37:01.853"
"905.25","29.25","3039 5DFA 8332 E480 001D 4299","1.9573594853420782","-67.5","2021-05-14 20:37:01.854"
"905.25","-7.3125","E280 1160 6000 0207 A650 3C3C","2.454369260617026","-63.5","2021-05-14 20:37:01.855"
"905.25","-4.875","3008 33B2 DDD9 0140 0000 0030","2.2948352586769194","-40.0","2021-05-14 20:37:01.876"
"905.25","24.375","E280 1160 6000 0207 A650 3C3C","2.4727770300716534","-64.5","2021-05-14 20:37:01.876"
"905.25","83.0","3039 5DFA 8332 E480 001D 4299","1.9941750242513334","-68.5","2021-05-14 20:37:01.878"
"905.25","1.3125","E280 1160 6000 0207 A652 2064","1.6689710972195777","-77.0","2021-05-14 20:37:01.888"
"905.25","2.4375","3008 33B2 DDD9 0140 0000 0030","2.282563412373834","-40.0","2021-05-14 20:37:01.941"
"905.25","-83.0","E280 1160 6000 0207 A650 3C3C","2.761165418194154","-63.5","2021-05-14 20:37:01.941"
"905.25","24.375","3039 5DFA 8332 E480 001D 4299","1.9941750242513334","-67.0","2021-05-14 20:37:01.943"
"905.25","-0.375","E280 1160 6000 0207 A652 2064","1.564660403643354","-77.5","2021-05-14 20:37:01.963"
"905.75","-63.4375","3039 5DFA 8332 E480 001D 4299","1.9941750242513334","-67.5","2021-05-14 20:37:01.996"
"905.75","63.4375","E280 1160 6000 0207 A650 3C3C","2.141437179888355","-64.0","2021-05-14 20:37:01.997"
"905.75","4.875","3008 33B2 DDD9 0140 0000 0030","2.12916533358527","-40.0","2021-05-14 20:37:01.999"
"905.75","0.0","E280 1160 6000 0207 A652 5963","0.6872233929727672","-73.0","2021-05-14 20:37:02.021"
"905.75","39.0625","E280 1160 6000 0207 A650 3C3C","2.227340104009951","-63.5","2021-05-14 20:37:02.061"
"905.75","-41.5","3039 5DFA 8332 E480 001D 4299","1.9205439464328227","-68.0","2021-05-14 20:37:02.062"
"905.75","4.875","3008 33B2 DDD9 0140 0000 0030","2.141437179888355","-40.0","2021-05-14 20:37:02.062"
"905.75","-17.0625","E280 1160 6000 0207 A650 3C3C","2.3623304133438876","-64.0","2021-05-14 20:37:02.083"
"905.75","12.1875","3039 5DFA 8332 E480 001D 4299","1.8285050991596843","-67.5","2021-05-14 20:37:02.083"
"905.75","2.4375","3008 33B2 DDD9 0140 0000 0030","2.141437179888355","-40.0","2021-05-14 20:37:02.085"
"905.75","0.0","3008 33B2 DDD9 0140 0000 0030","2.1353012567368124","-40.0","2021-05-14 20:37:02.138"
"905.75","41.5","E280 1160 6000 0207 A650 3C3C","2.2396119503130363","-64.0","2021-05-14 20:37:02.139"
"905.75","114.6875","3039 5DFA 8332 E480 001D 4299","1.6812429435226628","-67.5","2021-05-14 20:37:02.14"
"905.75","19.5","3039 5DFA 8332 E480 001D 4299","1.8039614065535141","-67.5","2021-05-14 20:37:02.162"
"905.75","2.4375","3008 33B2 DDD9 0140 0000 0030","2.1353012567368124","-40.0","2021-05-14 20:37:02.163"
"905.75","68.3125","E280 1160 6000 0207 A650 3C3C","2.2150682577068657","-64.0","2021-05-14 20:37:02.163"
"916.25","0.0625","E280 1160 6000 0207 A652 2064","3.7551849687440497","-76.0","2021-05-14 20:37:02.187"
"916.25","-14.625","E280 1160 6000 0207 A650 3C3C","4.344233591292136","-63.0","2021-05-14 20:37:02.236"
"916.25","2.4375","3008 33B2 DDD9 0140 0000 0030","5.553010452146021","-41.0","2021-05-14 20:37:02.237"
"916.25","2.4375","3039 5DFA 8332 E480 001D 4299","5.221670601962723","-66.0","2021-05-14 20:37:02.238"
"916.25","1.3125","E280 1160 6000 0207 A652 2064","3.6876898140770815","-76.0","2021-05-14 20:37:02.252"
"916.25","2.4375","3008 33B2 DDD9 0140 0000 0030","5.559146375297564","-41.0","2021-05-14 20:37:02.269"
"916.25","-31.6875","E280 1160 6000 0207 A650 3C3C","4.374913207049849","-62.5","2021-05-14 20:37:02.27"
"916.25","53.6875","3039 5DFA 8332 E480 001D 4299","5.129631754689584","-66.0","2021-05-14 20:37:02.27"
"916.25","-58.5625","3039 5DFA 8332 E480 001D 4299","5.307573526084319","-66.5","2021-05-14 20:37:02.324"
"916.25","-2.4375","3008 33B2 DDD9 0140 0000 0030","5.5714182216006485","-41.0","2021-05-14 20:37:02.325"
"916.25","24.375","E280 1160 6000 0207 A650 3C3C","4.289010282928253","-62.5","2021-05-14 20:37:02.326"
"916.25","0.125","E280 1160 6000 0207 A652 5963","0.7424467013366504","-73.0","2021-05-14 20:37:02.338"
"916.25","-7.3125","E280 1160 6000 0207 A650 3C3C","4.3503695144436785","-63.0","2021-05-14 20:37:02.357"
"916.25","0.0","3008 33B2 DDD9 0140 0000 0030","5.565282298449106","-41.0","2021-05-14 20:37:02.358"
"916.25","63.4375","3039 5DFA 8332 E480 001D 4299","5.135767677841127","-65.5","2021-05-14 20:37:02.36"
"925.25","-1.8125","E280 1160 6000 0207 A652 2064","3.4085053106818948","-72.5","2021-05-14 20:37:02.377"
"925.25","7.3125","3039 5DFA 8332 E480 001D 4299","1.9696313316451632","-63.0","2021-05-14 20:37:02.436"
"925.25","34.125","E280 1160 6000 0207 A650 3C3C","0.6504078540635119","-62.0","2021-05-14 20:37:02.436"
"925.25","-4.875","3008 33B2 DDD9 0140 0000 0030","2.988194574801229","-42.0","2021-05-14 20:37:02.437"
"925.25","0.1875","E200 001D 2610 0105 2440 4ABC","3.8533597391687304","-68.5","2021-05-14 20:37:02.447"
"925.25","-2.1875","E280 1160 6000 0207 A652 2064","0.3865631585471816","-72.5","2021-05-14 20:37:02.463"
"925.25","-56.125","E280 1160 6000 0207 A650 3C3C","0.7915340865489908","-62.0","2021-05-14 20:37:02.477"
"925.25","-19.5","3039 5DFA 8332 E480 001D 4299","2.0064468705544187","-62.5","2021-05-14 20:37:02.478"
"925.25","0.0","3008 33B2 DDD9 0140 0000 0030","2.9697868053466014","-42.0","2021-05-14 20:37:02.479"
"925.25","0.8125","E280 1160 6000 0207 A652 2064","0.3620194659410113","-72.5","2021-05-14 20:37:02.49"
"925.25","36.5625","3039 5DFA 8332 E480 001D 4299","1.88986433067511","-62.0","2021-05-14 20:37:02.541"
"925.25","70.75","E280 1160 6000 0207 A652 2064","0.28838838812250056","-71.5","2021-05-14 20:37:02.542"
"925.25","7.3125","3008 33B2 DDD9 0140 0000 0030","2.9391071895888885","-42.0","2021-05-14 20:37:02.543"
"925.25","24.375","E280 1160 6000 0207 A650 3C3C","0.6749515466696822","-61.5","2021-05-14 20:37:02.544"
"925.25","9.75","3008 33B2 DDD9 0140 0000 0030","2.9391071895888885","-42.0","2021-05-14 20:37:02.565"
"925.25","14.625","3039 5DFA 8332 E480 001D 4299","1.902136176978195","-62.0","2021-05-14 20:37:02.566"
"906.75","85.4375","E280 1160 6000 0207 A650 3C3C","1.7548740213411735","-63.0","2021-05-14 20:37:02.574"
"906.75","0.0625","E280 1160 6000 0207 A652 5963","6.080699843178682","-72.5","2021-05-14 20:37:02.586"
"906.75","2.4375","3008 33B2 DDD9 0140 0000 0030","1.8714565612204823","-40.0","2021-05-14 20:37:02.636"
"906.75","0.0","E280 1160 6000 0207 A650 3C3C","1.9880391010997909","-63.0","2021-05-14 20:37:02.637"
"906.75","-14.625","3039 5DFA 8332 E480 001D 4299","1.564660403643354","-68.0","2021-05-14 20:37:02.638"
"906.75","2.4375","3008 33B2 DDD9 0140 0000 0030","1.8714565612204823","-40.0","2021-05-14 20:37:02.66"
"906.75","14.625","E280 1160 6000 0207 A650 3C3C","1.9634954084936207","-63.0","2021-05-14 20:37:02.661"
"906.75","17.0625","3039 5DFA 8332 E480 001D 4299","1.6321555583103222","-70.0","2021-05-14 20:37:02.663"
"906.75","-63.4375","3039 5DFA 8332 E480 001D 4299","1.7794177139473437","-68.5","2021-05-14 20:37:02.714"
"906.75","7.3125","E280 1160 6000 0207 A650 3C3C","1.9512235621905356","-63.0","2021-05-14 20:37:02.716"
"906.75","2.4375","3008 33B2 DDD9 0140 0000 0030","1.8775924843720249","-40.0","2021-05-14 20:37:02.717"
"906.75","17.0625","E280 1160 6000 0207 A650 3C3C","1.902136176978195","-63.0","2021-05-14 20:37:02.738"
"906.75","12.1875","3039 5DFA 8332 E480 001D 4299","1.6505633277649499","-68.5","2021-05-14 20:37:02.738"
"906.75","0.0","3008 33B2 DDD9 0140 0000 0030","1.8775924843720249","-40.0","2021-05-14 20:37:02.74"
"906.75","3.625","E280 1160 6000 0207 A652 2064","1.1044661672776617","-76.5","2021-05-14 20:37:02.751"
"917.25","0.0","3008 33B2 DDD9 0140 0000 0030","5.270757987175063","-40.5","2021-05-14 20:37:02.808"
"917.25","-2.4375","E280 1160 6000 0207 A650 3C3C","3.9515345095934116","-63.0","2021-05-14 20:37:02.81"
"917.25","4.875","3039 5DFA 8332 E480 001D 4299","4.859651136021712","-65.0","2021-05-14 20:37:02.811"
"917.25","2.4375","E280 1160 6000 0207 A652 5963","6.111379458936394","-73.5","2021-05-14 20:37:02.827"
"917.25","26.8125","3039 5DFA 8332 E480 001D 4299","4.884194828627882","-65.5","2021-05-14 20:37:02.843"
"917.25","-61.0","E280 1160 6000 0207 A650 3C3C","4.025165587411922","-63.0","2021-05-14 20:37:02.844"
"917.25","0.0","3008 33B2 DDD9 0140 0000 0030","5.270757987175063","-40.5","2021-05-14 20:37:02.845"
"917.25","0.0","E280 1160 6000 0207 A652 5963","6.19728238305799","-73.5","2021-05-14 20:37:02.856"
"917.25","-26.8125","E280 1160 6000 0207 A650 3C3C","3.988350048502667","-63.0","2021-05-14 20:37:02.908"
"917.25","2.4375","3008 33B2 DDD9 0140 0000 0030","5.264622064023521","-40.5","2021-05-14 20:37:02.909"
"917.25","-17.0625","3039 5DFA 8332 E480 001D 4299","4.921010367537137","-66.0","2021-05-14 20:37:02.91"
"917.25","-0.4375","E280 1160 6000 0207 A652 5963","6.270913460876501","-73.5","2021-05-14 20:37:02.921"
"917.25","-0.9375","E280 1160 6000 0207 A652 2064","3.454524734318464","-76.0","2021-05-14 20:37:02.933"
"917.25","-21.9375","E280 1160 6000 0207 A650 3C3C","3.9453985864418692","-63.0","2021-05-14 20:37:02.954"
"917.25","9.75","3039 5DFA 8332 E480 001D 4299","4.859651136021712","-65.5","2021-05-14 20:37:02.956"
"917.25","9.75","3008 33B2 DDD9 0140 0000 0030","5.264622064023521","-40.5","2021-05-14 20:37:02.957"
"921.25","-0.25","E200 001D 2610 0105 2440 4ABC","0.5031456984264903","-69.0","2021-05-14 20:37:02.981"
"921.25","-2.125","E280 1160 6000 0207 A652 2064","5.071340484749929","-74.0","2021-05-14 20:37:02.983"
"921.25","19.5","3039 5DFA 8332 E480 001D 4299","3.411573272257666","-63.5","2021-05-14 20:37:03.037"
"921.25","9.75","3008 33B2 DDD9 0140 0000 0030","4.154019973594316","-41.0","2021-05-14 20:37:03.039"
"921.25","2.4375","E280 1160 6000 0207 A650 3C3C","2.36846633649543","-62.5","2021-05-14 20:37:03.04"
"921.25","-9.75","E280 1160 6000 0207 A650 3C3C","2.337786720737717","-62.5","2021-05-14 20:37:03.062"
"921.25","4.875","3008 33B2 DDD9 0140 0000 0030","4.166291819897402","-41.0","2021-05-14 20:37:03.062"
"921.25","34.125","3039 5DFA 8332 E480 001D 4299","3.442252888015379","-64.0","2021-05-14 20:37:03.064"
"921.25","19.5","E280 1160 6000 0207 A650 3C3C","2.3071071049800045","-62.0","2021-05-14 20:37:03.117"
"921.25","4.875","3008 33B2 DDD9 0140 0000 0030","4.147884050442774","-41.0","2021-05-14 20:37:03.118"
"921.25","56.125","3039 5DFA 8332 E480 001D 4299","3.393165502803038","-64.0","2021-05-14 20:37:03.119"
"921.25","0.0","3039 5DFA 8332 E480 001D 4299","3.4177091954092087","-64.0","2021-05-14 20:37:03.14"
"921.25","2.4375","3008 33B2 DDD9 0140 0000 0030","4.1417481272912315","-41.0","2021-05-14 20:37:03.141"
"921.25","19.5","E280 1160 6000 0207 A650 3C3C","2.3316507975861747","-62.0","2021-05-14 20:37:03.142"
"920.75","0.0","3008 33B2 DDD9 0140 0000 0030","4.289010282928253","-41.0","2021-05-14 20:37:03.195"
"920.75","-14.625","E280 1160 6000 0207 A650 3C3C","2.5586799541932495","-62.5","2021-05-14 20:37:03.198"
"920.75","-36.5625","3039 5DFA 8332 E480 001D 4299","3.7122335066832517","-64.0","2021-05-14 20:37:03.199"
"920.75","-1.125","E280 1160 6000 0207 A652 2064","2.1966604882522383","-74.5","2021-05-14 20:37:03.222"
"920.75","7.3125","3008 33B2 DDD9 0140 0000 0030","4.289010282928253","-41.0","2021-05-14 20:37:03.229"
"920.75","4.875","E280 1160 6000 0207 A650 3C3C","2.4850488763747385","-62.0","2021-05-14 20:37:03.229"
"920.75","17.0625","3039 5DFA 8332 E480 001D 4299","3.6263305825616556","-64.0","2021-05-14 20:37:03.231"
"920.75","2.3125","E280 1160 6000 0207 A652 2064","2.030990563160589","-74.5","2021-05-14 20:37:03.245"
"920.75","7.3125","E280 1160 6000 0207 A650 3C3C","2.4911847995262812","-62.5","2021-05-14 20:37:03.293"
"920.75","-2.4375","3008 33B2 DDD9 0140 0000 0030","4.301282129231338","-41.0","2021-05-14 20:37:03.295"
"920.75","-17.0625","3039 5DFA 8332 E480 001D 4299","3.6692820446224537","-64.0","2021-05-14 20:37:03.296"
"920.75","0.375","E280 1160 6000 0207 A652 2064","2.1046216409791","-74.5","2021-05-14 20:37:03.31"
"920.75","4.875","E280 1160 6000 0207 A650 3C3C","2.5280003384355365","-62.5","2021-05-14 20:37:03.326"
"920.75","7.3125","3008 33B2 DDD9 0140 0000 0030","4.276738436625168","-41.0","2021-05-14 20:37:03.328"
"920.75","12.1875","3039 5DFA 8332 E480 001D 4299","3.6263305825616556","-64.0","2021-05-14 20:37:03.329"
"920.75","0.875","E280 1160 6000 0207 A652 2064","2.116893487282185","-74.5","2021-05-14 20:37:03.351"
"907.75","-46.375","3039 5DFA 8332 E480 001D 4299","1.4419419406125027","-68.5","2021-05-14 20:37:03.396"
"907.75","7.3125","3008 33B2 DDD9 0140 0000 0030","1.607611865704152","-40.5","2021-05-14 20:37:03.398"
"907.75","24.375","E280 1160 6000 0207 A650 3C3C","1.5401167110371838","-63.0","2021-05-14 20:37:03.399"
"907.75","4.875","3008 33B2 DDD9 0140 0000 0030","1.6198837120072371","-40.5","2021-05-14 20:37:03.42"
"907.75","34.125","3039 5DFA 8332 E480 001D 4299","1.2087768608538851","-68.5","2021-05-14 20:37:03.421"
"907.75","17.0625","E280 1160 6000 0207 A650 3C3C","1.5278448647340985","-63.0","2021-05-14 20:37:03.421"
"907.75","53.6875","E280 1160 6000 0207 A650 3C3C","1.533980787885641","-63.0","2021-05-14 20:37:03.475"
"907.75","-2.4375","3008 33B2 DDD9 0140 0000 0030","1.6137477888556946","-40.5","2021-05-14 20:37:03.476"
"907.75","46.375","3039 5DFA 8332 E480 001D 4299","1.086058397823034","-68.5","2021-05-14 20:37:03.477"
"907.75","2.0","E280 1160 6000 0207 A652 2064","0.7915340865489908","-76.5","2021-05-14 20:37:03.495"
"907.75","21.9375","3039 5DFA 8332 E480 001D 4299","1.3008157081270237","-68.0","2021-05-14 20:37:03.51"
"907.75","7.3125","3008 33B2 DDD9 0140 0000 0030","1.607611865704152","-40.5","2021-05-14 20:37:03.512"
"907.75","34.125","E280 1160 6000 0207 A650 3C3C","1.5278448647340985","-63.0","2021-05-14 20:37:03.513"
"907.75","0.75","E280 1160 6000 0207 A652 2064","0.7976700097005334","-76.5","2021-05-14 20:37:03.532"
"907.75","51.25","E280 1160 6000 0207 A650 3C3C","1.4664856332186729","-63.5","2021-05-14 20:37:03.577"
"907.75","4.875","3008 33B2 DDD9 0140 0000 0030","1.6198837120072371","-40.5","2021-05-14 20:37:03.578"
"907.75","-53.6875","3039 5DFA 8332 E480 001D 4299","1.368310862793992","-68.0","2021-05-14 20:37:03.579"
"907.75","-0.625","E280 1160 6000 0207 A652 2064","1.0492428589137786","-76.5","2021-05-14 20:37:03.589"
"909.75","-12.1875","E280 1160 6000 0207 A650 3C3C","0.7669903939428205","-63.0","2021-05-14 20:37:03.618"
"909.75","9.75","3039 5DFA 8332 E480 001D 4299","0.7240389318820226","-67.0","2021-05-14 20:37:03.62"
"909.75","0.0","3008 33B2 DDD9 0140 0000 0030","1.0921943209745766","-40.0","2021-05-14 20:37:03.62"
"909.75","-0.8125","E280 1160 6000 0207 A652 5963","0.23316507975861744","-72.0","2021-05-14 20:37:03.631"
"909.75","-2.125","E280 1160 6000 0207 A652 2064","0.006135923151542565","-76.0","2021-05-14 20:37:03.649"
"909.75","26.8125","E280 1160 6000 0207 A650 3C3C","0.7179030087304801","-63.0","2021-05-14 20:37:03.691"
"909.75","12.1875","3039 5DFA 8332 E480 001D 4299","0.5829126993965437","-68.5","2021-05-14 20:37:03.693"
"909.75","0.0","3008 33B2 DDD9 0140 0000 0030","1.086058397823034","-40.0","2021-05-14 20:37:03.693"
"909.75","-0.75","E280 1160 6000 0207 A652 2064","6.160466844148735","-76.5","2021-05-14 20:37:03.711"
"909.75","4.875","3008 33B2 DDD9 0140 0000 0030","1.086058397823034","-40.0","2021-05-14 20:37:03.727"
"909.75","19.5","E280 1160 6000 0207 A650 3C3C","0.6749515466696822","-63.5","2021-05-14 20:37:03.727"
"909.75","68.3125","3039 5DFA 8332 E480 001D 4299","0.5460971604872883","-67.5","2021-05-14 20:37:03.728"
"909.75","0.9375","E280 1160 6000 0207 A652 2064","6.2034183062095325","-76.0","2021-05-14 20:37:03.738"
"909.75","126.9375","3039 5DFA 8332 E480 001D 4299","0.4356505437595221","-68.5","2021-05-14 20:37:03.789"
"909.75","-2.4375","E280 1160 6000 0207 A650 3C3C","0.7731263170943632","-63.5","2021-05-14 20:37:03.79"
"909.75","7.3125","3008 33B2 DDD9 0140 0000 0030","1.0799224746714913","-40.0","2021-05-14 20:37:03.792"
"912.25","0.375","E280 1160 6000 0207 A652 2064","5.197126909356553","-76.0","2021-05-14 20:37:03.813"
