"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"907.25","18.25","E200 001D 2610 0105 2440 4ABC","3.834951969714103","-64.5","2021-05-14 20:40:55.277"
"907.25","0.0","3008 33B2 DDD9 0140 0000 0030","1.7794177139473437","-36.0","2021-05-14 20:40:55.279"
"907.25","17.0625","E280 1160 6000 0207 A650 3C3C","1.718058482431918","-62.0","2021-05-14 20:40:55.28"
"907.25","51.25","3039 5DFA 8332 E480 001D 4299","1.5155730184310134","-70.0","2021-05-14 20:40:55.281"
"907.25","1.1875","E280 1160 6000 0207 A652 2064","0.9203884727313847","-76.5","2021-05-14 20:40:55.291"
"907.25","0.0","3039 6062 C3AD 3FC0 001F 4997","6.031612457966341","-63.5","2021-05-14 20:40:55.306"
"904.75","24.375","3039 5DFA 8332 E480 001D 4299","2.000310947402876","-69.0","2021-05-14 20:40:55.34"
"904.75","-7.3125","E200 001D 2610 0105 2440 4ABC","5.540738605842936","-64.5","2021-05-14 20:40:55.341"
"904.75","2.4375","E280 1160 6000 0207 A650 3C3C","2.859340188618835","-62.0","2021-05-14 20:40:55.341"
"904.75","2.4375","3008 33B2 DDD9 0140 0000 0030","2.448233337465483","-36.0","2021-05-14 20:40:55.342"
"904.75","14.625","3039 6062 C3AD 3FC0 001F 4997","4.190835512503572","-61.5","2021-05-14 20:40:55.343"
"904.75","14.625","E280 1160 6000 0207 A650 3C3C","2.816388726558037","-62.5","2021-05-14 20:40:55.394"
"904.75","-4.875","3008 33B2 DDD9 0140 0000 0030","2.4727770300716534","-36.0","2021-05-14 20:40:55.395"
"904.75","-10.9375","E200 001D 2610 0105 2440 4ABC","5.546874528994478","-64.0","2021-05-14 20:40:55.397"
"904.75","2.4375","3039 5DFA 8332 E480 001D 4299","1.8100973297050567","-69.5","2021-05-14 20:40:55.398"
"904.75","-0.125","3039 6062 C3AD 3FC0 001F 4997","4.2092432819582","-62.0","2021-05-14 20:40:55.419"
"904.75","-85.4375","E200 001D 2610 0105 2440 4ABC","5.64504929941916","-65.5","2021-05-14 20:40:55.431"
"904.75","4.875","3008 33B2 DDD9 0140 0000 0030","2.448233337465483","-36.0","2021-05-14 20:40:55.433"
"904.75","48.8125","3039 5DFA 8332 E480 001D 4299","1.9205439464328227","-70.5","2021-05-14 20:40:55.433"
