"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"919.75","14.625","E280 1160 6000 0207 A650 3C3C","2.509592568980909","-60.0","2021-05-14 21:07:13.787"
"919.75","14.625","3039 5DFA 8332 E480 001D 4299","3.988350048502667","-65.5","2021-05-14 21:07:13.788"
"919.75","9.75","3008 33B2 DDD9 0140 0000 0020","4.871922982324796","-36.0","2021-05-14 21:07:13.789"
"919.75","114.6875","E280 1160 6000 0207 A652 2064","2.0493983326152168","-71.5","2021-05-14 21:07:13.79"
"919.75","-34.125","3039 5DFA 8332 E480 001D 4299","4.0128937411088375","-65.5","2021-05-14 21:07:13.811"
"919.75","24.375","E280 1160 6000 0207 A650 3C3C","2.497320722677824","-60.0","2021-05-14 21:07:13.812"
"919.75","-4.875","3008 33B2 DDD9 0140 0000 0020","4.878058905476339","-36.0","2021-05-14 21:07:13.812"
"919.75","7.3125","E280 1160 6000 0207 A652 2064","2.1659808724945253","-70.5","2021-05-14 21:07:13.815"
"910.25","203.8125","E280 1160 6000 0207 A652 2064","6.031612457966341","-72.0","2021-05-14 21:07:13.886"
"910.25","7.3125","3008 33B2 DDD9 0140 0000 0020","1.3130875544301088","-37.0","2021-05-14 21:07:13.887"
"910.25","29.25","E280 1160 6000 0207 A650 3C3C","0.4111068511533518","-60.0","2021-05-14 21:07:13.889"
"910.25","-36.5625","3039 5DFA 8332 E480 001D 4299","0.5338253141842031","-70.0","2021-05-14 21:07:13.89"
"910.25","-4.875","E280 1160 6000 0207 A650 3C3C","0.4295146206079795","-60.0","2021-05-14 21:07:13.91"
"910.25","112.25","3039 5DFA 8332 E480 001D 4299","0.35588354278946877","-68.0","2021-05-14 21:07:13.911"
"910.25","-46.375","E280 1160 6000 0207 A652 2064","0.1227184630308513","-72.0","2021-05-14 21:07:13.912"
"910.25","4.875","3008 33B2 DDD9 0140 0000 0020","1.3130875544301088","-37.0","2021-05-14 21:07:13.914"
"910.25","-9.75","E280 1160 6000 0207 A650 3C3C","0.4724660826687775","-60.0","2021-05-14 21:07:13.965"
"910.25","51.25","3039 5DFA 8332 E480 001D 4299","0.5154175447295755","-69.0","2021-05-14 21:07:13.965"
"910.25","2.4375","3008 33B2 DDD9 0140 0000 0020","1.3130875544301088","-37.0","2021-05-14 21:07:13.967"
"910.25","92.75","E280 1160 6000 0207 A652 2064","0.006135923151542565","-73.0","2021-05-14 21:07:13.969"
"910.25","4.875","3008 33B2 DDD9 0140 0000 0020","1.3130875544301088","-37.0","2021-05-14 21:07:13.99"
"910.25","-2.4375","E280 1160 6000 0207 A650 3C3C","0.44178646691106466","-60.0","2021-05-14 21:07:13.991"
"910.25","0.0","3039 5DFA 8332 E480 001D 4299","0.5767767762450011","-68.5","2021-05-14 21:07:13.992"
"910.25","0.0","E280 1160 6000 0207 A652 2064","0.030679615757712823","-71.0","2021-05-14 21:07:13.992"
"913.25","12.1875","3039 5DFA 8332 E480 001D 4299","6.074563920027139","-68.5","2021-05-14 21:07:14.043"
"913.25","34.125","E280 1160 6000 0207 A650 3C3C","5.3627968344482015","-60.5","2021-05-14 21:07:14.044"
"913.25","14.625","3008 33B2 DDD9 0140 0000 0020","0.4663301595172349","-37.0","2021-05-14 21:07:14.045"
"913.25","-119.625","E280 1160 6000 0207 A652 2064","5.21553467881118","-71.0","2021-05-14 21:07:14.047"
"913.25","12.1875","3008 33B2 DDD9 0140 0000 0020","0.4663301595172349","-37.0","2021-05-14 21:07:14.069"
"913.25","-2.4375","E280 1160 6000 0207 A650 3C3C","5.411884219660542","-60.0","2021-05-14 21:07:14.07"
"913.25","319.8125","E280 1160 6000 0207 A652 2064","4.221515128261284","-71.5","2021-05-14 21:07:14.07"
