"CHANNEL","DOPPLER","EPC","PHASE","RSSI","TIME"
"908.25","39.0625","E280 1160 6000 0207 A650 3C3C","1.6014759425526093","-60.5","2021-05-14 21:06:24.792"
"908.25","68.3125","3039 5DFA 8332 E480 001D 4299","1.1106020904292042","-69.5","2021-05-14 21:06:24.794"
"908.25","7.3125","3008 33B2 DDD9 0140 0000 0020","1.9512235621905356","-36.0","2021-05-14 21:06:24.794"
"908.25","124.5","3039 5DFA 8332 E480 001D 4299","1.0246991663076084","-70.0","2021-05-14 21:06:24.816"
"908.25","2.4375","3008 33B2 DDD9 0140 0000 0020","1.9573594853420782","-36.0","2021-05-14 21:06:24.817"
"908.25","4.875","E280 1160 6000 0207 A650 3C3C","1.607611865704152","-60.5","2021-05-14 21:06:24.819"
"908.25","3.25","E280 1160 6000 0207 A652 2064","0.8651651643675016","-74.5","2021-05-14 21:06:24.837"
"908.25","0.0","3008 33B2 DDD9 0140 0000 0020","1.9634954084936207","-36.0","2021-05-14 21:06:24.881"
"908.25","17.0625","3039 5DFA 8332 E480 001D 4299","1.0921943209745766","-69.5","2021-05-14 21:06:24.883"
"908.25","36.5625","E280 1160 6000 0207 A650 3C3C","1.6137477888556946","-60.5","2021-05-14 21:06:24.884"
"908.25","-0.625","E200 001D 2610 0105 2440 4ABC","6.031612457966341","-66.0","2021-05-14 21:06:24.907"
"908.25","4.875","3008 33B2 DDD9 0140 0000 0020","1.945087639038993","-36.0","2021-05-14 21:06:24.916"
"908.25","-41.5","3039 5DFA 8332 E480 001D 4299","1.3008157081270237","-69.5","2021-05-14 21:06:24.916"
"908.25","14.625","E280 1160 6000 0207 A650 3C3C","1.6505633277649499","-60.5","2021-05-14 21:06:24.917"
"918.25","18.25","E200 001D 2610 0105 2440 4ABC","2.497320722677824","-66.5","2021-05-14 21:06:24.931"
"918.25","-9.75","E200 001D 2610 0105 2440 4ABC","2.564815877344792","-65.5","2021-05-14 21:06:24.983"
"918.25","-2.4375","E280 1160 6000 0207 A650 3C3C","3.736777199289422","-61.0","2021-05-14 21:06:24.984"
"918.25","9.75","3008 33B2 DDD9 0140 0000 0020","5.368932757599744","-36.0","2021-05-14 21:06:24.986"
"918.25","-9.75","3039 5DFA 8332 E480 001D 4299","4.718524903536232","-66.0","2021-05-14 21:06:24.987"
"918.25","-0.0625","E280 1160 6000 0207 A652 2064","6.2463697682703305","-74.5","2021-05-14 21:06:25.011"
"918.25","-18.25","E200 001D 2610 0105 2440 4ABC","2.5034566458293663","-66.5","2021-05-14 21:06:25.017"
"918.25","166.0","3039 5DFA 8332 E480 001D 4299","4.638757902566179","-66.5","2021-05-14 21:06:25.018"
"918.25","7.3125","3008 33B2 DDD9 0140 0000 0020","5.368932757599744","-36.0","2021-05-14 21:06:25.019"
"918.25","19.5","E280 1160 6000 0207 A650 3C3C","3.650874275167826","-61.0","2021-05-14 21:06:25.021"
"918.25","1.875","E280 1160 6000 0207 A652 2064","6.22182607566416","-74.5","2021-05-14 21:06:25.036"
"918.25","-52.4375","E200 001D 2610 0105 2440 4ABC","2.509592568980909","-66.5","2021-05-14 21:06:25.081"
"918.25","0.0","3008 33B2 DDD9 0140 0000 0020","5.393476450205914","-36.0","2021-05-14 21:06:25.082"
"918.25","-2.4375","3039 5DFA 8332 E480 001D 4299","4.73693267299086","-65.5","2021-05-14 21:06:25.083"
"918.25","-4.875","E280 1160 6000 0207 A650 3C3C","3.6876898140770815","-61.5","2021-05-14 21:06:25.084"
"918.25","-0.1875","E280 1160 6000 0207 A652 2064","0.14726215563702155","-74.5","2021-05-14 21:06:25.1"
"918.25","7.3125","3039 5DFA 8332 E480 001D 4299","4.7307967498393175","-65.5","2021-05-14 21:06:25.115"
"918.25","-14.625","E280 1160 6000 0207 A650 3C3C","3.693825737228624","-61.5","2021-05-14 21:06:25.116"
"918.25","12.1875","3008 33B2 DDD9 0140 0000 0020","5.375068680751287","-36.5","2021-05-14 21:06:25.117"
"918.25","89.0625","E200 001D 2610 0105 2440 4ABC","2.3009711818284617","-65.5","2021-05-14 21:06:25.118"
"926.25","14.9375","E280 1160 6000 0207 A652 2064","6.07763188160291","-71.5","2021-05-14 21:06:25.135"
"926.25","7.3125","E200 001D 2610 0105 2440 4ABC","3.06182565261974","-66.0","2021-05-14 21:06:25.189"
"926.25","12.1875","3008 33B2 DDD9 0140 0000 0020","2.9575149590435164","-36.5","2021-05-14 21:06:25.19"
"926.25","12.1875","3039 5DFA 8332 E480 001D 4299","1.6812429435226628","-64.0","2021-05-14 21:06:25.191"
"926.25","26.8125","E280 1160 6000 0207 A650 3C3C","0.2638446955163303","-59.5","2021-05-14 21:06:25.192"
"926.25","217.25","E280 1160 6000 0207 A652 2064","5.921165841238575","-70.0","2021-05-14 21:06:25.194"
"926.25","103.75","E280 1160 6000 0207 A652 2064","6.154330920997192","-71.0","2021-05-14 21:06:25.214"
"926.25","14.625","3008 33B2 DDD9 0140 0000 0020","2.945243112740431","-36.5","2021-05-14 21:06:25.216"
"926.25","2.4375","E280 1160 6000 0207 A650 3C3C","0.32520392703175593","-60.0","2021-05-14 21:06:25.217"
"926.25","28.0625","E200 001D 2610 0105 2440 4ABC","2.9943304979527716","-67.0","2021-05-14 21:06:25.217"
"926.25","-29.25","3039 5DFA 8332 E480 001D 4299","1.7548740213411735","-64.5","2021-05-14 21:06:25.219"
"926.25","65.875","E280 1160 6000 0207 A652 2064","6.031612457966341","-71.0","2021-05-14 21:06:25.27"
"926.25","4.875","3008 33B2 DDD9 0140 0000 0020","2.9575149590435164","-36.5","2021-05-14 21:06:25.272"
"926.25","25.625","E200 001D 2610 0105 2440 4ABC","2.9636508821950587","-67.0","2021-05-14 21:06:25.272"
"926.25","2.4375","E280 1160 6000 0207 A650 3C3C","0.30066023442558565","-59.5","2021-05-14 21:06:25.273"
"926.25","78.125","3039 5DFA 8332 E480 001D 4299","1.4542137869155878","-64.5","2021-05-14 21:06:25.275"
"926.25","-2.4375","E280 1160 6000 0207 A650 3C3C","0.2454369260617026","-60.0","2021-05-14 21:06:25.295"
"926.25","-36.5625","3039 5DFA 8332 E480 001D 4299","1.6689710972195777","-64.0","2021-05-14 21:06:25.296"
"926.25","-85.4375","E280 1160 6000 0207 A652 2064","0.2761165418194154","-69.0","2021-05-14 21:06:25.297"
"926.25","7.3125","3008 33B2 DDD9 0140 0000 0020","2.9513790358919736","-36.5","2021-05-14 21:06:25.298"
"926.25","75.625","E200 001D 2610 0105 2440 4ABC","2.9084275738311756","-67.0","2021-05-14 21:06:25.299"
"910.75","12.1875","3008 33B2 DDD9 0140 0000 0020","1.2578642460662257","-36.0","2021-05-14 21:06:25.352"
"910.75","2.4375","E200 001D 2610 0105 2440 4ABC","1.1167380135807468","-65.0","2021-05-14 21:06:25.353"
"910.75","39.0625","3039 5DFA 8332 E480 001D 4299","0.4111068511533518","-68.5","2021-05-14 21:06:25.354"
"910.75","17.0625","E280 1160 6000 0207 A650 3C3C","0.4908738521234052","-60.5","2021-05-14 21:06:25.354"
"910.75","2.4375","3008 33B2 DDD9 0140 0000 0020","1.2701360923693108","-36.0","2021-05-14 21:06:25.375"
"910.75","2.4375","E200 001D 2610 0105 2440 4ABC","1.1044661672776617","-66.0","2021-05-14 21:06:25.376"
"910.75","17.0625","E280 1160 6000 0207 A650 3C3C","0.4970097752749477","-60.5","2021-05-14 21:06:25.376"
"910.75","21.9375","3039 5DFA 8332 E480 001D 4299","0.3988350048502667","-69.0","2021-05-14 21:06:25.378"
"910.75","-4.875","E280 1160 6000 0207 A650 3C3C","0.5645049299419159","-61.0","2021-05-14 21:06:25.43"
"910.75","9.75","3008 33B2 DDD9 0140 0000 0020","1.2517283229146832","-36.0","2021-05-14 21:06:25.431"
"910.75","124.5","3039 5DFA 8332 E480 001D 4299","0.2945243112740431","-69.5","2021-05-14 21:06:25.432"
"910.75","-2.4375","E200 001D 2610 0105 2440 4ABC","1.1044661672776617","-65.5","2021-05-14 21:06:25.433"
"910.75","70.75","3039 5DFA 8332 E480 001D 4299","0.36815538909255385","-71.0","2021-05-14 21:06:25.454"
"910.75","41.5","E280 1160 6000 0207 A650 3C3C","0.4663301595172349","-61.0","2021-05-14 21:06:25.455"
"910.75","13.375","E200 001D 2610 0105 2440 4ABC","1.184233168247715","-64.5","2021-05-14 21:06:25.456"
"910.75","9.75","3008 33B2 DDD9 0140 0000 0020","1.2517283229146832","-36.0","2021-05-14 21:06:25.457"
"910.75","14.625","3008 33B2 DDD9 0140 0000 0020","1.2517283229146832","-36.0","2021-05-14 21:06:25.509"
"910.75","146.4375","3039 5DFA 8332 E480 001D 4299","0.1902136176978195","-69.5","2021-05-14 21:06:25.511"
"910.75","26.8125","E280 1160 6000 0207 A650 3C3C","0.4970097752749477","-61.0","2021-05-14 21:06:25.511"
"910.75","25.625","E200 001D 2610 0105 2440 4ABC","1.0492428589137786","-66.0","2021-05-14 21:06:25.512"
