CHANNEL,RSSI,PHASE
902.75,-48.0,3.79267885091629
903.25,-47.5,3.6630844539015492
903.75,-47.494974874371856,3.520478199751376
904.25,-47.0,3.368837646689636
904.75,-47.01005025125628,3.2301472831939653
905.25,-47.5,3.072555809688769
905.75,-47.0,2.9088900806013926
906.25,-46.5,2.7685963603023036
906.75,-46.5,2.6187133329673875
907.25,-46.5,2.469755319172904
907.75,-46.99748743718593,2.3409317667751917
908.25,-46.5,2.164840022461324
908.75,-46.0,2.016344515437057
909.25,-46.0,1.8676023381353424
909.75,-46.0,1.7300528246728732
910.25,-46.5,1.5676512807574228
910.75,-46.00251256281407,1.402135524589179
911.25,-46.0,1.2627668178305238
911.75,-46.0,1.1168613487194712
912.25,-46.0,0.9669474875998735
912.75,-46.5,0.8277329497646239
913.25,-46.5,0.6668114275138669
913.75,-46.0,0.5134133487253028
914.25,-46.0,0.36914207020234974
914.75,-46.49748743718593,0.21873486852785404
915.25,-46.5,0.0736619116031919
915.75,-46.99748743718593,6.211126752379813
916.25,-46.5,6.080946513456131
916.75,-46.5,5.933252684833573
917.25,-46.00251256281407,5.798601547131129
917.75,-46.5,5.67594475166964
918.25,-47.0,5.554305471102628
918.75,-47.0,5.42091851857211
919.25,-46.5,5.278805604976836
919.75,-46.5,5.150537060703382
920.25,-46.5,5.032967839714278
920.75,-46.5,4.905223469780404
921.25,-47.0,4.787623415006619
921.75,-47.0,4.659324036948485
922.25,-47.0,4.540521464572136
922.75,-46.99748743718593,4.407442849888429
923.25,-46.5,4.2911378140712495
923.75,-47.0,4.166353487466764
924.25,-47.0,4.044313367698897
924.75,-47.5,3.929550021115775
925.25,-47.0,3.764373436579023
925.75,-46.5,3.6204104959028807
926.25,-46.5,3.4866535379561894
926.75,-46.5,3.342906433772815
927.25,-47.0,3.2034143918754356
