CHANNEL,RSSI,PHASE
902.75,-44.0,3.5280324769982503
903.25,-43.99246231155779,3.381649084224641
903.75,-44.0,3.2401682632153284
904.25,-44.0,3.0867701844267645
904.75,-43.994974874371856,2.907595061644786
905.25,-43.5,2.7698605454742293
905.75,-43.5,2.624941757472973
906.25,-43.5,2.485603884498999
906.75,-44.0,2.3458035047548074
907.25,-43.5,2.167183390097089
907.75,-43.0,2.0353381268006263
908.25,-43.0,1.883358402107394
908.75,-43.0,1.7344312220975922
909.25,-43.5,1.5871690664605702
909.75,-43.5,1.4220233157085003
910.25,-43.0,1.2661277003607654
910.75,-43.0,1.1199755609722644
911.25,-43.0,0.9614590739266344
911.75,-43.5,0.810589365481922
912.25,-43.5,0.642606906539189
912.75,-43.5,0.4855396073735717
913.25,-43.5,0.3280098014377377
913.75,-43.5,0.16554658995292476
914.25,-44.0,0.03154296172878414
914.75,-44.0,6.125994672875245
915.25,-43.5,5.974045781966693
915.75,-43.5,5.817872662556828
916.25,-43.5,5.665029591892525
916.75,-44.0,5.533276829950106
917.25,-44.0,5.354595047723024
917.75,-43.5,5.225987331818079
918.25,-43.5,5.077645993717218
918.75,-44.0,4.948329100764607
919.25,-44.0,4.794869354406681
919.75,-44.5,4.657874849068473
920.25,-44.0,4.5058642905905595
920.75,-44.0,4.365601404076151
921.25,-44.0,4.198975631659387
921.75,-44.5,4.0668836980854755
922.25,-45.0,3.9358401131907224
922.75,-44.994974874371856,3.760303377001115
923.25,-44.5,3.6120237064696172
923.75,-44.5,3.459519807436805
924.25,-45.0,3.3159577059615177
924.75,-45.0,3.1710697517449424
925.25,-45.0,3.0208475527785335
925.75,-44.51005025125628,2.866678629372941
926.25,-44.5,2.703259570563014
926.75,-44.5,2.5724934897303906
927.25,-44.994974874371856,2.440309054802436
