CHANNEL,RSSI,PHASE
902.75,-41.5,1.5888649246180317
903.25,-41.5,1.4589930235411612
903.75,-41.0,1.301432383820646
904.25,-41.0,1.16782959479736
904.75,-41.0,1.0300334110574418
905.25,-41.0,0.8817845743106244
905.75,-41.494974874371856,0.739486658007263
906.25,-41.0,0.5649982704968138
906.75,-40.5,0.4210044960359908
907.25,-40.5,0.27164564304065325
907.75,-40.99748743718593,0.11889507373039261
908.25,-41.0,6.239401332932399
908.75,-40.5,6.078726480959091
909.25,-40.0,5.918267465478549
909.75,-40.0,5.766226073215955
910.25,-40.005025125628144,5.601974502219637
910.75,-40.5,5.4589365750839285
911.25,-40.0,5.2768939103266055
911.75,-39.5,5.1237116680308095
912.25,-39.5,4.976819517809961
912.75,-40.0,4.8212939078784
913.25,-40.017587939698494,4.6633940965263925
913.75,-39.5,4.498217511989641
914.25,-39.5,4.344202757507455
914.75,-39.5,4.185747938031187
915.25,-40.0,4.01711796961015
915.75,-40.0,3.8408103888035154
916.25,-39.51005025125628,3.6643486390734745
916.75,-39.5,3.497507030163943
917.25,-40.0,3.3335637970144365
917.75,-40.0,3.1644404880385024
918.25,-40.0,2.992511304656585
918.75,-39.99748743718593,2.821815472661914
919.25,-39.50251256281407,2.6542955204893977
919.75,-40.0,2.5041349890923508
920.25,-40.0,2.358630359182153
920.75,-40.0,2.1787460593525085
921.25,-40.0,2.02414546296138
921.75,-40.0,1.8675715043506613
922.25,-40.0,1.717534308092339
922.75,-40.5,1.5584011453530873
923.25,-40.5,1.3994529853219215
923.75,-40.0,1.2491382850014694
924.25,-40.494974874371856,1.082204174737894
924.75,-40.5,0.936190787380458
925.25,-41.0,0.7869398526315042
925.75,-41.0,0.6157815138666158
926.25,-40.5,0.45933089039462105
926.75,-41.0,0.30183191824346817
927.25,-41.0,0.13088941597134768
