CHANNEL,RSSI,PHASE
902.75,-47.5,2.347900202113124
903.25,-47.0,2.19918885859609
903.75,-46.98994974874372,2.065863573634934
904.25,-46.5,1.9274507142013935
904.75,-46.5,1.7994596739900708
905.25,-46.5,1.6543558832807275
905.75,-47.0,1.517299710373156
906.25,-46.5,1.3835735862111453
906.75,-46.0,1.2196611868463199
907.25,-46.0,1.0958635413516296
907.75,-46.0,0.9432054733954125
908.25,-46.01005025125628,0.7985025218869236
908.75,-45.51005025125628,0.6278066898922521
909.25,-45.5,0.46808768524405864
909.75,-45.5,0.29702184783321367
910.25,-45.5,0.13687117019948467
910.75,-46.0,6.245506422299259
911.25,-45.5,6.077986470126744
911.75,-45.0,5.909572338198474
912.25,-45.0,5.747756636191965
912.75,-45.030150753768844,5.597287766948107
913.25,-45.00251256281407,5.415491772468233
913.75,-45.0,5.2414042241586385
914.25,-44.5,5.074285111186978
914.75,-45.0,4.918913670178821
915.25,-45.5,4.755217107306763
915.75,-45.5,4.601788194733518
916.25,-45.0,4.438492471062315
916.75,-45.0,4.273439221664288
917.25,-45.5,4.114491061633123
917.75,-46.0,3.9667972330105656
918.25,-46.0,3.7748569233706033
918.75,-45.5,3.6245730568348318
919.25,-45.5,3.455603916782303
919.75,-46.0,3.31324433290958
920.25,-46.5,3.1433810131012976
920.75,-46.49748743718593,2.9861903787969566
921.25,-46.0,2.847222511239156
921.75,-46.0,2.6764341778904406
922.25,-46.0,2.530467041210026
922.75,-46.5,2.398066769789304
923.25,-46.5,2.2208650092269164
923.75,-46.49748743718593,2.1052691504574033
924.25,-46.5,1.9668871248085436
924.75,-46.5,1.8360902101912393
925.25,-46.5,1.6756311947106992
925.75,-47.0,1.536817496076304
926.25,-47.0,1.384436932182217
926.75,-46.5,1.2331047169672875
927.25,-46.98743718592965,1.099347759020596
