CHANNEL,RSSI,PHASE
902.75,-47.49748743718593,0.5683591530270558
903.25,-47.0,0.4057726064035183
903.75,-47.0,0.269764782175105
904.25,-47.5,0.13249277277476582
904.75,-47.50251256281407,0.09462888518635242
905.25,-47.5,6.1487808397545916
905.75,-47.5,6.012773015526178
906.25,-47.0,5.8749459980015795
906.75,-47.5,5.731538065449697
907.25,-47.5,5.605582055027328
907.75,-48.0,5.505464756167736
908.25,-47.5,5.3472257731842365
908.75,-47.5,5.220838089776333
909.25,-47.5,5.124945019418054
909.75,-47.5,5.007036626797458
910.25,-47.5,4.877781401414208
910.75,-48.0,4.763110556185129
911.25,-48.0,4.654668135461636
911.75,-48.0,4.540953137557672
912.25,-47.5,4.409817051308875
912.75,-47.5,4.296009552050866
913.25,-47.5,4.184267916366494
913.75,-47.505025125628144,4.056307709939852
914.25,-48.0,3.9490369730342403
914.75,-48.0,3.792925521193738
915.25,-47.5,3.6660136634462552
915.75,-47.5,3.525411605300355
916.25,-47.494974874371856,3.403278984178445
916.75,-47.5,3.2648969585295857
917.25,-47.5,3.127224109928392
917.75,-47.0,2.9753060528045214
918.25,-46.99748743718593,2.8370165285097055
918.75,-46.5,2.7123247032592626
919.25,-46.5,2.5599441393651756
919.75,-46.5,2.439137370984553
920.25,-46.5,2.2903643598981573
920.75,-46.00251256281407,2.1250336064380004
921.25,-46.0,2.002407644761192
921.75,-46.0,1.8556079958943872
922.25,-46.0,1.715406776949342
922.75,-46.49748743718593,1.5758222336979189
923.25,-46.0,1.4465361745299894
923.75,-45.5,1.284782140092842
924.25,-45.5,1.1482501415248496
924.75,-45.5,0.991059507220508
925.25,-46.0,0.8290279687212309
925.75,-46.0,0.6886725808527798
926.25,-45.5,0.5216151354504802
926.75,-45.5,0.3807664070271313
927.25,-45.5,0.22027655776190996
