CHANNEL,RSSI,PHASE
902.75,-45.5,3.6857472856421714
903.25,-45.0,3.5700589255186146
903.75,-45.0,3.41801753325602
904.25,-45.0,3.2790804994829
904.75,-45.5,3.136135073701235
905.25,-45.0,2.968615121528719
905.75,-44.5,2.8242821754364034
906.25,-44.5,2.680966744238565
906.75,-44.5,2.514556808314569
907.25,-44.5,2.3786723192248806
907.75,-44.5,2.2188916470073243
908.25,-44.0,2.081033795698044
908.75,-44.0,1.920112273447287
909.25,-44.0,1.7828402640469476
909.75,-44.00251256281407,1.6251254554030272
910.25,-44.5,1.513167983225886
910.75,-44.0,1.3348870401996595
911.25,-44.0,1.181180623564284
911.75,-44.0,1.0228799730114224
912.25,-44.5,0.899884005918441
912.75,-45.0,0.7513268313248125
913.25,-44.5,0.6271591804139486
913.75,-44.5,0.46182842695379167
914.25,-44.5,0.30667282243840377
914.75,-44.5,0.19446867998381384
915.25,-45.0,0.054174959684725056
915.75,-45.49748743718593,6.207241695509991
916.25,-45.0,6.099508451834163
916.75,-44.994974874371856,5.926962592758625
917.25,-45.0,5.813000924577212
917.75,-45.0,5.692039987273184
918.25,-45.494974874371856,5.542465297785079
918.75,-45.00251256281407,5.469173391598059
919.25,-45.0,5.305168490879192
919.75,-45.0,5.207826232640901
920.25,-44.505025125628144,5.056802355272782
920.75,-44.99748743718593,4.972132782538431
921.25,-45.0,4.829434027034216
921.75,-45.5,4.734928476986588
922.25,-45.0,4.606844935421221
922.75,-45.0,4.4821222763860975
923.25,-45.0,4.344572762923628
923.75,-44.505025125628144,4.204679881825394
924.25,-45.0,4.087850671668637
924.75,-45.0,3.9500853217133987
925.25,-45.0,3.787776279151992
925.75,-44.5,3.6589527267542787
926.25,-44.5,3.5211257092296795
926.75,-44.5,3.354469103028235
927.25,-44.5,3.2212671532058033
