CHANNEL,RSSI,PHASE
902.75,-47.0,2.198048008562888
903.25,-46.505025125628144,2.0664494155438753
903.75,-46.5,1.9586236705140039
904.25,-46.5,1.7900245358776483
904.75,-47.0,1.6614784875420656
905.25,-47.0,1.513414653503335
905.75,-46.5,1.3718875818170015
906.25,-46.5,1.2258279437825437
906.75,-46.005025125628144,1.0856575586221793
907.25,-46.5,0.9408312719749662
907.75,-47.0,0.8089243411091416
908.25,-46.5,0.6347442914455037
908.75,-46.0,0.49269304541959114
909.25,-46.0,0.3422241761757333
909.75,-46.0,0.19039862040590622
910.25,-46.5,0.019887791119321378
910.75,-46.005025125628144,6.1597268333163875
911.25,-46.0,5.974878294153083
911.75,-45.5,5.817965163910872
912.25,-45.505025125628144,5.6735397164645125
912.75,-46.0,5.520634978230848
913.25,-46.0,5.347472443461685
913.75,-45.5,5.18960346589436
914.25,-45.5,5.027294423332953
914.75,-45.5,4.883670654288302
915.25,-46.0,4.719542418430708
915.75,-45.505025125628144,4.566206007211507
916.25,-45.5,4.402632779478174
916.75,-45.5,4.241341251811244
917.25,-45.994974874371856,4.098920000369158
917.75,-46.00251256281407,3.9302283643787588
918.25,-46.0,3.7450714873686426
918.75,-46.0,3.589730880145168
919.25,-46.0,3.422087592833927
919.75,-46.0,3.2664078139789603
920.25,-46.5,3.0909019115740346
920.75,-46.0,2.945643951941286
921.25,-46.0,2.7580820397260415
921.75,-46.0,2.6192066735222848
922.25,-46.49748743718593,2.454924268741286
922.75,-46.5,2.31718975257073
923.25,-46.00251256281407,2.1315703687903973
923.75,-46.0,1.9874532591908496
924.25,-46.0,1.8341476817563291
924.75,-46.5,1.6819829543550096
925.25,-47.0,1.5439709341223236
925.75,-46.50251256281407,1.3706233966450758
926.25,-46.5,1.2135869312641396
926.75,-46.5,1.0798299733174481
927.25,-47.0,0.9194634591909513
