CHANNEL,RSSI,PHASE
902.75,-45.99748743718593,1.9975050729968946
903.25,-45.99748743718593,1.8699457057711077
903.75,-46.0,1.7363120829631402
904.25,-46.5,1.5837773501456474
904.75,-46.005025125628144,1.4523945936194018
905.25,-45.517587939698494,1.2857688212026381
905.75,-46.0,1.1825373100902534
906.25,-46.0,1.0279675474838068
906.75,-46.0,0.8801812175072063
907.25,-46.5,0.7543177084388808
907.75,-46.0,0.5839918818603828
908.25,-45.99748743718593,0.45341080373584625
908.75,-45.5,0.28357831771224606
909.25,-46.0,0.1610756911741626
909.75,-46.0,6.245506422299259
910.25,-45.50251256281407,6.1006184680826845
910.75,-45.5,5.951197947517984
911.25,-45.5,5.800729078274127
911.75,-45.5,5.645295969696608
912.25,-45.505025125628144,5.4978488113515
912.75,-45.5,5.316299487149075
913.25,-45.0,5.167464808493317
913.75,-45.0,5.009688332280033
914.25,-45.5,4.866989576775818
914.75,-45.5,4.690373658122371
915.25,-45.5,4.560964263815717
915.75,-45.0,4.38955925477338
916.25,-45.494974874371856,4.215101701047613
916.75,-45.5,4.059452755977327
917.25,-46.0,3.9023237892423466
917.75,-45.5,3.7158718932756236
918.25,-45.5,3.5398726503157993
918.75,-45.5,3.3704718372777354
919.25,-46.0,3.201256026947757
919.75,-46.0,3.0590814457831197
920.25,-45.52010050251256,2.8705636862427624
920.75,-45.50251256281407,2.6961061325169946
921.25,-46.0,2.558371616346438
921.75,-46.0,2.3874907816436806
922.25,-46.49748743718593,2.2236400498482167
922.75,-46.0,2.0743120306375604
923.25,-46.0,1.9186939193519557
923.75,-46.5,1.7468264035394017
924.25,-47.0,1.6023392885236807
924.75,-47.0,1.4338326552413685
925.25,-46.99748743718593,1.2663127030688521
925.75,-46.50251256281407,1.142083384588626
926.25,-47.0,0.9754267783871811
926.75,-47.5,0.8118535506538478
927.25,-47.5,0.6509936959724532
