CHANNEL,RSSI,PHASE
902.75,-63.80904522613066,3.843585429424816
903.25,-63.753768844221106,3.758638352628335
903.75,-64.0,3.74608900226312
904.25,-63.25125628140704,3.685839786996214
904.75,-64.0678391959799,3.536820105632369
905.25,-63.29396984924623,3.4696641225968934
905.75,-62.44221105527638,3.596360143851609
906.25,-62.505025125628144,3.3155568667606627
906.75,-62.53266331658291,3.2332923292314395
907.25,-62.54522613065327,3.1948425997340846
907.75,-61.972361809045225,2.9706501513176726
908.25,-61.51256281407035,2.9372879962927025
908.75,-61.49748743718593,2.772512250956806
909.25,-61.005025125628144,2.7080079734039058
909.75,-61.01005025125628,2.619700014077183
910.25,-60.902010050251256,2.4399698831709435
910.75,-60.459798994974875,2.4245529908303842
911.25,-60.5,2.1863928379534263
911.75,-59.24874371859296,2.0412582134594013
912.25,-58.87688442211055,1.994144190466653
912.75,-59.050251256281406,1.8784249965584148
913.25,-59.437185929648244,1.7343387207435488
913.75,-59.494974874371856,1.5866448921209915
914.25,-59.44472361809045,1.4380260499580007
914.75,-58.51256281407035,1.3186376356727103
915.25,-58.50251256281407,1.2836104562749597
915.75,-58.037688442211056,1.0619772119870805
916.25,-58.04773869346734,0.9583140278891603
916.75,-57.99748743718593,0.8911888786383655
917.25,-57.517587939698494,0.8276712821952616
917.75,-57.50251256281407,0.5482863591996476
918.25,-57.0,0.4630001107716741
918.75,-56.994974874371856,0.29992022359323883
919.25,-57.153266331658294,0.08038367666367571
919.75,-56.48743718592965,6.228054500169746
920.25,-56.5,6.0437918029153845
920.75,-55.778894472361806,5.925575072447974
921.25,-56.00251256281407,5.730181378923728
921.75,-55.39698492462311,5.5787874961394355
922.25,-55.517587939698494,5.448915595062565
922.75,-55.48743718592965,5.264930401870332
923.25,-55.02512562814071,5.116311559707341
923.75,-54.93467336683417,4.944382376325424
924.25,-55.017587939698494,4.774519056517144
924.75,-55.00251256281407,4.615601730270659
925.25,-54.98743718592965,4.447865941605374
925.75,-54.984924623115575,4.31595901073955
926.25,-54.99748743718593,4.1811537041137
926.75,-55.0,4.028988976712381
927.25,-55.00753768844221,3.874265045182529
