CHANNEL,RSSI,PHASE
902.75,-58.49748743718593,3.6492709183644076
903.25,-58.0,3.585568319213217
903.75,-57.99246231155779,3.4512871869269466
904.25,-58.0,3.3561649611856965
904.75,-58.0,3.1990051606660352
905.25,-57.52010050251256,3.1513052957643457
905.75,-57.49748743718593,2.979376112382429
906.25,-56.99748743718593,2.8644894306605817
906.75,-56.5,2.743497659571873
907.25,-56.49246231155779,2.59783886073827
907.75,-56.49748743718593,2.4188179068796964
908.25,-56.00251256281407,2.3511685832893225
908.75,-56.0,2.1262361240405636
909.25,-55.5,2.0009584568811802
909.75,-55.54271356783919,1.779263545023938
910.25,-55.5,1.6657643836127414
910.75,-56.00251256281407,1.523497301094061
911.25,-56.0,1.3676016857463262
911.75,-55.50251256281407,1.2035042836734142
912.25,-55.49748743718593,1.0542379320321198
912.75,-55.5678391959799,0.8898938596817585
913.25,-55.994974874371856,0.7356324349221232
913.75,-56.0,0.5952770470536721
914.25,-55.517587939698494,0.4979039550307001
914.75,-55.50251256281407,0.34117582749657527
915.25,-55.52512562814071,0.16206237228395837
915.75,-55.53517587939699,0.03151212794410302
916.25,-55.56030150753769,6.183561348874893
916.75,-55.459798994974875,6.035374179697437
917.25,-55.005025125628144,5.8742368209539135
917.75,-55.44221105527638,5.7416823806097845
918.25,-55.437185929648244,5.639314215468471
918.75,-55.5,5.4730276146831995
919.25,-54.99748743718593,5.310780239691155
919.75,-54.51005025125628,5.216706362629063
920.25,-55.00251256281407,5.028065267949979
920.75,-55.0,4.926560448779738
921.25,-55.005025125628144,4.706468893725915
921.75,-55.0,4.558744231318677
922.25,-55.40954773869347,4.425449780142202
922.75,-54.99748743718593,4.272360039200448
923.25,-55.005025125628144,4.131942983762635
923.75,-55.050251256281406,3.925603296676591
924.25,-55.494974874371856,3.72789706930126
924.75,-55.51256281407035,3.589576711221763
925.25,-55.47989949748744,3.473857517313525
925.75,-55.517587939698494,3.300910819037132
926.25,-56.0,3.0968219982328087
926.75,-56.00251256281407,2.9116959550073744
927.25,-55.61557788944724,2.8289997444926147
