CHANNEL,RSSI,PHASE
902.75,-50.0,2.8250221862687503
903.25,-50.0,2.7300232956662245
903.75,-50.0,2.6325885360738903
904.25,-50.0,2.5039808201689455
904.75,-50.5,2.388014955983259
905.25,-50.0,2.250002935750573
905.75,-49.5,2.0789987659090903
906.25,-49.5,1.9848015537082735
906.75,-49.49748743718593,1.8478070483700646
907.25,-49.5,1.7031349306462569
907.75,-49.5,1.538945027219301
908.25,-49.5,1.4276658983051447
908.75,-49.0,1.2549967040908816
909.25,-49.0,1.101166952316782
909.75,-49.0,0.9546139737274261
910.25,-49.5,0.7867856837080986
910.75,-49.0,0.645751952576663
911.25,-49.0,0.48069870317863606
911.75,-49.0,0.306487819730317
912.25,-49.0,0.14827967053149846
912.75,-49.5,6.245506422299259
913.25,-49.0,6.113537823864073
913.75,-49.0,5.988907666182992
914.25,-49.0,5.813895104332965
914.75,-49.0,5.659818682281415
915.25,-49.0,5.532135979916903
915.75,-49.0,5.4064883073413466
916.25,-48.50251256281407,5.214455496347341
916.75,-48.5,5.076289307191249
917.25,-48.51005025125628,4.95279999954337
917.75,-49.00251256281407,4.789966782642384
918.25,-49.0,4.640669597216408
918.75,-49.0,4.4702204354991855
919.25,-48.5,4.317099860772752
919.75,-48.5,4.156949183139023
920.25,-49.0,3.998864369078929
920.75,-49.0,3.8564122838521624
921.25,-48.505025125628144,3.676805488084646
921.75,-48.99748743718593,3.5191831807947693
922.25,-48.99748743718593,3.3449414635617694
922.75,-49.49748743718593,3.1818615763833336
923.25,-49.04773869346734,2.9744427068334502
923.75,-48.80653266331658,2.8498742167217315
924.25,-48.99748743718593,2.6695274101218702
924.75,-49.0,2.4829521790164226
925.25,-49.005025125628144,2.3571811713021407
925.75,-49.01005025125628,2.189445382636856
926.25,-49.0,2.0158203410974784
926.75,-49.0,1.889925998244472
927.25,-49.49748743718593,1.7462713954151416
