CHANNEL,RSSI,PHASE
902.75,-49.99748743718593,2.249170423564183
903.25,-49.5,2.121580222553715
903.75,-49.5,2.0235287872677583
904.25,-49.005025125628144,1.92322648570008
904.75,-49.49748743718593,1.8033447308598916
905.25,-49.5,1.6850354990384402
905.75,-49.5,1.535214139272886
906.25,-49.00251256281407,1.434942671489889
906.75,-49.0,1.292552253832484
907.25,-48.5,1.182907315506427
907.75,-48.5,1.0422127560064836
908.25,-48.5,0.8843437784391572
908.75,-48.5,0.7465784284839202
909.25,-48.005025125628144,0.5740634031930627
909.75,-48.0,0.4196169757253405
910.25,-48.0,0.2560745817766884
910.75,-48.0,0.09795893393191321
911.25,-48.00251256281407,6.2293803529110345
911.75,-47.5,6.07567393627566
912.25,-47.5,5.890887064681716
912.75,-47.5,5.737488985893154
913.25,-47.5,5.575488281178556
913.75,-47.5,5.426499433599392
914.25,-47.5,5.241620060651406
914.75,-47.0,5.115386546166907
915.25,-47.0,4.977282024580178
915.75,-47.5,4.824500621485236
916.25,-47.5,4.662068243785105
916.75,-47.5,4.5094718433982495
917.25,-47.0,4.373217348892387
917.75,-47.00251256281407,4.222933482356615
918.25,-47.49748743718593,4.074222138839582
918.75,-47.5,3.899178743204873
919.25,-47.0,3.704987567283189
919.75,-47.0,3.558434588693833
920.25,-47.0,3.396433883979237
920.75,-47.00251256281407,3.220033801818558
921.25,-47.5,3.0512496644741165
921.75,-47.00251256281407,2.881725516297327
922.25,-47.0,2.7153464141580126
922.75,-46.994974874371856,2.5611158231830577
923.25,-47.0,2.392886693962876
923.75,-47.0,2.1923129246122004
924.25,-46.505025125628144,2.08476468364446
924.75,-46.5,1.9230106492073118
925.25,-47.0,1.7578340646705608
925.75,-47.494974874371856,1.615166142951026
926.25,-47.5,1.41594906012632
926.75,-47.0,1.2666210409156635
927.25,-47.00251256281407,1.1260806503391259
