CHANNEL,RSSI,PHASE
902.75,-50.49748743718593,1.0249458365850572
903.25,-50.5,0.9168117537083751
903.75,-50.99748743718593,0.7714612927215827
904.25,-50.5,0.666842261298548
904.75,-50.5,0.5286452383577752
905.25,-50.0,0.3870256653173984
905.75,-50.0,0.2819132933394657
906.25,-50.494974874371856,0.12416765091086386
906.75,-50.5,0.0
907.25,-50.494974874371856,6.169470309275622
907.75,-50.0,6.042095944757922
908.25,-49.5,5.8866628361804025
908.75,-49.5,5.764561048843174
909.25,-49.5,5.654237767254133
909.75,-49.5,5.515763240251229
910.25,-49.5,5.3783370619274855
910.75,-49.0,5.248742664912745
911.25,-48.982412060301506,5.1378027076300805
911.75,-48.56030150753769,5.022114347506524
912.25,-48.5,4.865848726742616
912.75,-49.0,4.757282970880398
913.25,-49.0,4.626578557617137
913.75,-48.49748743718593,4.511075200201667
914.25,-48.0,4.372354002921316
914.75,-48.0,4.221854299892777
915.25,-48.0,4.118345284718263
915.75,-48.0,3.960507140935617
916.25,-48.0,3.8617465286019947
916.75,-47.5,3.661696933590899
917.25,-47.00251256281407,3.5429868625685925
917.75,-47.0,3.418264203533469
918.25,-47.0,3.2627385936019073
918.75,-47.49748743718593,3.12192069896324
919.25,-47.0,2.9776185866556055
919.75,-46.5,2.830942272927525
920.25,-46.0,2.682693436180708
920.75,-46.0,2.559635801518364
921.25,-46.0,2.4079027471025802
921.75,-46.0,2.26233644962302
922.25,-45.5,2.103912463931434
922.75,-45.49748743718593,1.9585928367293228
923.25,-45.0,1.849256236250077
923.75,-45.01005025125628,1.6958581574615128
924.25,-45.5,1.5666954334323078
924.75,-45.0,1.4059589138896376
925.25,-44.5,1.2699510896612243
925.75,-44.5,1.1257723124923147
926.25,-44.5,0.9776776446689026
926.75,-44.50251256281407,0.8347630526719189
927.25,-44.50251256281407,0.6458136201460252
