CHANNEL,RSSI,PHASE
902.75,-40.5,4.9860696532142965
903.25,-40.51005025125628,4.854193556133153
903.75,-41.005025125628144,4.711618135767662
904.25,-41.0,4.5798962076099246
904.75,-41.0,4.4386774737704
905.25,-41.0,4.307048046966707
905.75,-41.0,4.165274305002925
906.25,-41.5,4.03558740663414
906.75,-41.50251256281407,3.899302078343597
907.25,-41.5,3.730579608568517
907.75,-41.5,3.5890833706668643
908.25,-41.5,3.454463066749102
908.75,-41.5,3.3012808244533054
909.25,-42.0,3.166691354320223
909.75,-42.0,3.024701775863673
910.25,-41.5,2.8779946283509115
910.75,-41.5,2.7389034256543865
911.25,-41.5,2.6076131704821846
911.75,-42.0,2.4756137382623162
912.25,-42.0,2.353234446862958
912.75,-42.0,2.1938854476309375
913.25,-41.5,2.059665982914029
913.75,-41.5,1.9256623546898883
914.25,-41.5,1.796653799584089
914.75,-42.0,1.6607076429250378
915.25,-42.0,1.5060145451798668
915.75,-42.0,1.3723809223718995
916.25,-41.5,1.2429715280652456
916.75,-41.5,1.1205922366658865
917.25,-41.50251256281407,0.9583140278891604
917.75,-42.0,0.8271471078556826
918.25,-42.0,0.6875933983889407
918.75,-41.5,0.5079249350520636
919.25,-41.5,0.3635919889597483
919.75,-41.5,0.2013754477523844
920.25,-42.0,0.06435010862949414
920.75,-42.0,6.171382003925851
921.25,-41.5,6.0221464860692375
921.75,-41.5,5.857709912364832
922.25,-41.5,5.705267680901383
922.75,-41.5,5.566083976850815
923.25,-41.5,5.404329942413668
923.75,-41.5,5.256235274590257
924.25,-41.5,5.090719518422013
924.75,-41.5,4.959213426757042
925.25,-41.5,4.801560285682484
925.75,-42.0,4.66496661954513
926.25,-41.5,4.496336651124093
926.75,-41.5,4.326534998885174
927.25,-41.5,4.184977093414159
