CHANNEL,RSSI,PHASE
902.75,-52.5,5.728670523474353
903.25,-53.0,5.644925964280435
903.75,-53.005025125628144,5.497139634303834
904.25,-52.99246231155779,5.345344912318688
904.75,-52.98994974874372,5.2398317011399005
905.25,-52.5,5.093679561751401
905.75,-52.5,4.954773361762961
906.25,-52.5,4.807665375049346
906.75,-52.51005025125628,4.6955537339488
907.25,-52.5,4.515268594918299
907.75,-52.0,4.361469676928881
908.25,-52.0,4.209428284666286
908.75,-52.005025125628144,4.072002106342542
909.25,-52.5,3.8903602807860724
909.75,-52.005025125628144,3.6842672639774774
910.25,-52.0,3.5250107660995007
910.75,-52.0,3.3465756541498686
911.25,-52.5,3.175848988370516
911.75,-52.5,3.043263714241707
912.25,-52.01005025125628,2.80516522893411
912.75,-52.005025125628144,2.7036604097638683
913.25,-52.5,2.5100550757511257
913.75,-52.99748743718593,2.335073347685779
914.25,-52.99748743718593,2.1811202607729547
914.75,-52.5,2.0379589984985214
915.25,-53.0,1.8929477091432216
915.75,-53.0,1.7211418609000302
916.25,-53.50251256281407,1.5952475180470236
916.75,-53.505025125628144,1.4202657899816766
917.25,-53.5,1.2676077220254593
917.75,-53.5,1.152474370026163
918.25,-54.0,1.0479786737418524
918.75,-54.00251256281407,0.8457090462337159
919.25,-54.5,0.7158988127262074
919.75,-54.5,0.5364770196667793
920.25,-54.5,0.4334613450471627
920.75,-54.527638190954775,0.2836091514969272
921.25,-54.99748743718593,0.1454429623408356
921.75,-55.49748743718593,0.10369401788260121
922.25,-55.5,6.131483086548484
922.75,-55.00251256281407,6.027079891618216
923.25,-54.99748743718593,5.848490610745179
923.75,-55.0,5.706161860657136
924.25,-55.005025125628144,5.617638064837645
924.75,-55.8643216080402,5.506420603492851
925.25,-55.49748743718593,5.382222118797307
925.75,-55.42462311557789,5.227559854836817
926.25,-54.99748743718593,5.110175636555798
926.75,-55.0,4.97290362715546
927.25,-54.99748743718593,4.892180778860292
