CHANNEL,RSSI,PHASE
902.75,-48.0,2.693300258111013
903.25,-48.0,2.523436938302731
903.75,-48.153266331658294,2.4227029637495168
904.25,-47.459798994974875,2.263878138857076
904.75,-47.5,2.1022166057739726
905.25,-47.06532663316583,1.9959325499781573
905.75,-47.54773869346734,1.8433978171606644
906.25,-47.505025125628144,1.7050774590811673
906.75,-47.5,1.5726463538757638
907.25,-47.5,1.410799818084573
907.75,-47.04773869346734,1.2309771858242906
908.25,-46.982412060301506,1.1163988419492545
908.75,-47.0,0.9852010881310954
909.25,-47.005025125628144,0.8404981366226069
909.75,-47.46482412060301,0.6895975943932134
910.25,-46.80653266331658,0.5350278317867667
910.75,-46.11557788944724,0.3819689246296949
911.25,-47.0,0.23612512308800482
911.75,-47.0,0.08001367124750229
912.25,-47.0,6.208906719882771
912.75,-46.5,6.0607195507053175
913.25,-46.005025125628144,5.92378671293647
913.75,-46.0,5.774427859941133
914.25,-46.005025125628144,5.6305882544037145
914.75,-46.5,5.493809585558273
915.25,-46.017587939698494,5.328540499667479
915.75,-45.5,5.176684110112971
916.25,-45.5,5.056987357980869
916.75,-45.505025125628144,4.908923523942138
917.25,-46.0,4.759410502023395
917.75,-46.0,4.615385893777891
918.25,-45.5,4.4629744960991236
918.75,-45.5,4.303995502283276
919.25,-45.06030150753769,4.198852296520662
919.75,-45.49748743718593,4.004229447613444
920.25,-45.5,3.8832068427400532
920.75,-45.00251256281407,3.6839589261306664
921.25,-45.0,3.5376526178187593
921.75,-45.0,3.3833603592744423
922.25,-45.0,3.231164798088442
922.75,-45.0,3.080880931552671
923.25,-44.5,2.898314092455769
923.75,-44.5,2.740784286519935
924.25,-44.0,2.5802636034700326
924.75,-44.5,2.431552259952998
925.25,-44.5,2.276334987868248
925.75,-43.994974874371856,2.0928739690155935
926.25,-43.5,1.9548311149982263
926.75,-43.5,1.8318813985822668
927.25,-43.517587939698494,1.6710986283625748
