CHANNEL,RSSI,PHASE
902.75,-40.48994974874372,0.7607928032219158
903.25,-40.0,0.5843618872765562
903.75,-39.994974874371856,0.43164215175097675
904.25,-40.0,0.29227344499232144
904.75,-40.0,0.13887536620375734
905.25,-40.494974874371856,6.182420498841691
905.75,-40.00251256281407,6.100649301867364
906.25,-39.994974874371856,5.952708802967359
906.75,-39.5,5.799958233657098
907.25,-39.505025125628144,5.645881811605549
907.75,-40.0,5.500500516834075
908.25,-39.517587939698494,5.316607824995887
908.75,-39.494974874371856,5.174494911400611
909.25,-39.5,5.0120316999157986
909.75,-39.5,4.8639370320923865
910.25,-40.0,4.700209635435646
910.75,-39.50251256281407,4.562475119265092
911.25,-39.5,4.40084441996667
911.75,-39.5,4.253212258913474
912.25,-39.5,4.086493985142667
912.75,-40.0,3.9431168863754666
913.25,-40.0,3.771804378687173
913.75,-39.5,3.605240273839771
914.25,-39.5,3.4525513720988723
914.75,-39.97989949748744,3.2568185069431332
915.25,-40.0,3.131263335721618
915.75,-39.99748743718593,2.9630342065014363
916.25,-39.5,2.7985976327970317
916.75,-39.5,2.6443053742527156
917.25,-39.5,2.484123862834305
917.75,-40.0,2.365506293166043
918.25,-39.5,2.1886745380198285
918.75,-39.482412060301506,2.0464382892858293
919.25,-39.49748743718593,1.888785148211271
919.75,-39.5,1.7333828734184338
920.25,-39.52010050251256,1.5865061400899263
920.75,-39.5,1.4173365804369702
921.25,-39.5,1.2501866336806273
921.75,-39.5,1.1229664380863327
922.25,-39.5,0.9495880668244038
922.75,-40.0,0.8179586400207093
923.25,-39.5,0.6277758561075709
923.75,-39.49748743718593,0.46025590393505456
924.25,-39.494974874371856,0.3112978901405716
924.75,-39.5,0.12728186316365683
925.25,-39.982412060301506,6.2456297574379835
925.75,-39.5,6.05335027616653
926.25,-39.0,5.903158910984801
926.75,-39.0,5.744919928001302
927.25,-39.0,5.585200923353109
