CHANNEL,RSSI,PHASE
902.75,-47.0,1.9236581586856156
903.25,-47.00251256281407,1.7828710978316291
903.75,-47.5,1.6075501981347897
904.25,-47.5,1.4590546911105235
904.75,-47.49748743718593,1.3244343871927606
905.25,-47.0,1.1596586418568637
905.75,-47.00251256281407,1.0025913426912463
906.25,-47.5,0.8668610225249631
906.75,-47.50251256281407,0.7121679247797921
907.25,-47.5,0.5479471875681554
907.75,-47.5,0.4073451294222554
908.25,-47.5,0.2553037371596605
908.75,-48.0,0.10005563129022926
909.25,-48.0,6.253615707670394
909.75,-48.0,6.110022772410424
910.25,-47.5,5.9622364424338254
910.75,-47.5,5.826197784420731
911.25,-47.5,5.702091801079228
911.75,-48.0,5.569629862089144
912.25,-48.0,5.433467868937325
912.75,-47.51005025125628,5.2813339753206865
913.25,-47.5,5.159725528538356
913.75,-47.5,5.034540362733015
914.25,-47.5,4.8972375195479945
914.75,-48.0,4.748927015231815
915.25,-48.0,4.6315427969507965
915.75,-47.5,4.488443202245728
916.25,-47.5,4.341551052024879
916.75,-47.5,4.180537028420078
917.25,-47.5,4.067253703501649
917.75,-48.0,3.9110189165224223
918.25,-47.5,3.7415564359149953
918.75,-47.5,3.5932767653834974
919.25,-47.5,3.458224788480198
919.75,-48.0,3.295823244564747
920.25,-48.0,3.157102047284395
920.75,-48.0,3.00943905244652
921.25,-48.00251256281407,2.8823421919909498
921.75,-47.505025125628144,2.7380709134679964
922.25,-47.98994974874372,2.6094323637783705
922.75,-48.0,2.470618665143975
923.25,-48.01005025125628,2.355392811790636
923.75,-48.47989949748744,2.221296682212452
924.25,-48.0,2.1045908071944184
924.75,-47.50251256281407,1.9959633837628385
925.25,-47.5,1.871333226081758
925.75,-48.0,1.723978569090693
926.25,-48.0,1.5879090772929172
926.75,-48.0,1.4525179287581265
927.25,-47.5,1.3161709328982207
