CHANNEL,RSSI,PHASE
902.75,-48.50251256281407,4.687691118855114
903.25,-48.5,4.568271870785142
903.75,-48.5,4.460908632525488
904.25,-48.5,4.372693174552808
904.75,-48.5,4.261999887547593
905.25,-48.5,4.163825117122912
905.75,-49.0,4.083780612090728
906.25,-49.0,3.9809499401791983
906.75,-49.0,3.877132587157873
907.25,-48.99748743718593,3.751546582151678
907.75,-48.5,3.644306679030748
908.25,-48.5,3.5364809340008767
908.75,-48.0,3.4198367265522056
909.25,-48.0,3.296409086473689
909.75,-48.494974874371856,3.159291245996755
910.25,-48.0,3.0276618191930607
910.75,-47.5,2.882558028483717
911.25,-47.0,2.7495410813693724
911.75,-47.0,2.6219817141435855
912.25,-47.0,2.4918014752199036
912.75,-47.0,2.343737641181173
913.25,-46.99748743718593,2.203752258728896
913.75,-46.5,2.060035988330202
914.25,-46.0,1.9160422138693796
914.75,-46.0,1.7861703127925084
915.25,-46.5,1.643348222149568
915.75,-46.5,1.5108862831594831
916.25,-46.0,1.3519689569129991
916.75,-45.5,1.2112743974130558
917.25,-45.5,1.0562421280363925
917.75,-46.0,0.9169042550624183
918.25,-46.0,0.7758088563616204
918.75,-45.50251256281407,0.5937661916042973
919.25,-45.5,0.4254137272453908
919.75,-45.5,0.27852157702454267
920.25,-45.5,0.13838202564885946
920.75,-46.0,6.244458073620103
921.25,-45.5,6.097565923399253
921.75,-45.0,5.945031190581761
922.25,-45.0,5.810133382601869
922.75,-45.0,5.6418117520276425
923.25,-45.5,5.502751383115799
923.75,-45.494974874371856,5.3442348960701676
924.25,-45.0,5.2035711703549055
924.75,-45.0,5.088869491341146
925.25,-45.0,4.940250649178154
925.75,-45.5,4.81108792514895
926.25,-45.51005025125628,4.695492066379436
926.75,-45.5,4.5391031104768045
927.25,-45.0,4.405931994439054
